meta_label,0
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
56150,1312050416,0,1331.528313800,0.000000000,0.823000,0.091000,0.555000,0.700000,-3.500000,0.200000
56151,1312069674,19258,1331.548463500,0.020149700,0.838000,0.066000,0.555000,2.700000,-7.300000,-1.700000
56152,1312088871,38455,1331.567337200,0.039023400,0.847000,0.053000,0.530000,3.100000,-9.200000,-7.400000
56153,1312108099,57683,1331.589437300,0.061123500,0.841000,0.066000,0.522000,2.600000,-9.300000,-20.100000
56154,1312127326,76910,1331.605368100,0.077054300,0.820000,0.109000,0.558000,4.700000,-11.400000,-14.000000
56155,1312146493,96077,1331.625406300,0.097092500,0.935000,0.141000,0.482000,-7.500000,-11.500000,-16.000000
56156,1312165721,115305,1331.644388200,0.116074400,0.861000,0.271000,0.435000,-22.000000,-8.600000,4.700000
56157,1312184948,134532,1331.663321900,0.135008100,0.861000,0.100000,0.509000,-14.500000,-3.200000,7.800000
56158,1312204145,153729,1331.682232300,0.153918500,0.860000,0.025000,0.540000,-5.500000,-4.200000,4.400000
56159,1312223495,173079,1331.702266200,0.173952400,0.863000,0.000000,0.537000,4.700000,-3.500000,-3.200000
56160,1312242631,192215,1331.721348000,0.193034200,0.862000,0.139000,0.515000,14.200000,-0.900000,5.200000
56161,1312261950,211534,1331.742819600,0.214505800,0.867000,0.211000,0.548000,19.600000,-4.900000,33.200000
56162,1312281117,230701,1331.759383600,0.231069800,0.901000,0.196000,0.433000,16.000000,-9.100000,17.400000
56163,1312300405,249989,1331.778549200,0.250235400,0.850000,0.117000,0.424000,-7.600000,-5.200000,13.100000
56164,1312319633,269217,1331.798384900,0.270071100,0.899000,0.050000,0.547000,-30.200000,-7.600000,0.900000
56165,1312338830,288414,1331.817327500,0.289013700,0.784000,-0.026000,0.453000,-35.700000,-4.700000,-38.300000
56166,1312358058,307642,1331.836435000,0.308121200,0.816000,0.056000,0.597000,-26.600000,0.000000,-25.000000
56167,1312377346,326930,1331.855326200,0.327012400,0.748000,-0.017000,0.518000,-9.100000,2.300000,-25.900000
56168,1312396513,346097,1331.875293300,0.346979500,0.933000,0.165000,0.435000,9.900000,-2.700000,-4.900000
56169,1312415679,365263,1331.894666200,0.366352400,0.880000,0.201000,0.452000,16.600000,9.000000,3.300000
56170,1312434998,384582,1331.913426400,0.385112600,0.911000,0.167000,0.553000,17.800000,5.000000,19.300000
56171,1312454165,403749,1331.932379900,0.404066100,0.986000,0.067000,0.394000,9.300000,-0.200000,20.100000
56172,1312473484,423068,1331.951280200,0.422966400,0.884000,0.216000,0.458000,-8.400000,19.000000,4.800000
56173,1312492773,442357,1331.971389600,0.443075800,0.804000,0.104000,0.536000,-16.200000,25.300000,11.000000
56174,1312511909,461493,1331.990294500,0.461980700,0.791000,0.054000,0.608000,-7.600000,16.400000,8.500000
56175,1312531136,480720,1332.009290300,0.480976500,0.781000,0.036000,0.614000,-0.300000,10.400000,6.100000
56176,1312550425,500009,1332.029459300,0.501145500,0.796000,0.038000,0.602000,2.600000,2.500000,1.300000
56177,1312569592,519176,1332.048264900,0.519951100,0.812000,0.065000,0.590000,5.600000,-2.000000,0.200000
56178,1312588758,538342,1332.067246500,0.538932700,0.848000,0.081000,0.555000,10.700000,-4.000000,-1.000000
56179,1312608077,557661,1332.088000600,0.559686800,0.865000,0.119000,0.513000,7.000000,-3.000000,1.200000
56180,1312627336,576920,1332.105336100,0.577022300,0.875000,0.104000,0.502000,2.900000,-0.200000,-0.200000
56181,1312646533,596117,1332.124385600,0.596071800,0.870000,0.095000,0.525000,2.100000,2.300000,0.400000
56182,1312665760,615344,1332.144396100,0.616082300,0.852000,0.069000,0.541000,2.600000,3.000000,-1.800000
56183,1312684988,634572,1332.163380400,0.635066600,0.828000,0.080000,0.560000,3.900000,1.000000,-4.200000
56184,1312704185,653769,1332.182435400,0.654121600,0.827000,0.088000,0.561000,4.900000,-0.600000,-5.300000
56185,1312723504,673088,1332.201360900,0.673047100,0.828000,0.083000,0.554000,3.000000,-2.500000,-8.700000
56186,1312742640,692224,1332.221276400,0.692962600,0.831000,0.085000,0.557000,2.000000,-4.800000,-10.000000
56187,1312761837,711421,1332.240326800,0.712013000,0.848000,0.098000,0.548000,4.600000,-5.000000,-9.600000
56188,1312781065,730649,1332.259293500,0.730979700,0.861000,0.096000,0.532000,5.400000,-3.000000,-11.100000
56189,1312800445,750029,1332.278339900,0.750026100,0.855000,0.090000,0.536000,6.300000,-0.500000,-12.600000
56190,1312819612,769196,1332.298893900,0.770580100,0.838000,0.105000,0.546000,8.400000,0.900000,-15.500000
56191,1312838778,788362,1332.317382600,0.789068800,0.827000,0.130000,0.552000,8.100000,-0.700000,-13.200000
56192,1312858067,807651,1332.336245500,0.807931700,0.836000,0.113000,0.554000,9.100000,-1.100000,-14.900000
56193,1312877294,826878,1332.355307000,0.826993200,0.828000,0.125000,0.554000,12.600000,-4.800000,-15.900000
56194,1312896491,846075,1332.374251400,0.845937600,0.844000,0.122000,0.548000,12.800000,-4.000000,-15.400000
56195,1312915719,865303,1332.395610700,0.867296900,0.856000,0.119000,0.541000,13.400000,-4.200000,-20.700000
56196,1312935008,884592,1332.413380900,0.885067100,0.851000,0.153000,0.530000,12.300000,-4.900000,-22.700000
56197,1312954174,903758,1332.432423000,0.904109200,0.850000,0.167000,0.520000,11.900000,-1.500000,-23.300000
