meta_label,8
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
57894,831392025,0,5145.159420500,0.000000000,0.851000,0.001000,0.528000,4.500000,-7.300000,3.200000
57895,831411192,19167,5145.179164200,0.019743700,0.871000,0.038000,0.506000,6.800000,-7.400000,3.400000
57896,831430511,38486,5145.197082300,0.037661800,0.894000,0.041000,0.491000,5.300000,-5.800000,3.300000
57897,831449708,57683,5145.216129800,0.056709300,0.875000,0.049000,0.502000,2.700000,-5.900000,-1.800000
57898,831468997,76972,5145.236835700,0.077415200,0.840000,0.005000,0.533000,0.700000,-12.100000,-5.600000
57899,831488285,96260,5145.255258100,0.095837600,0.832000,-0.052000,0.563000,0.000000,-20.100000,-15.300000
57900,831507421,115396,5145.274239400,0.114818900,0.944000,0.015000,0.442000,-0.200000,-26.000000,-25.300000
57901,831526649,134624,5145.293113700,0.133693200,0.875000,0.162000,0.469000,-13.500000,-6.300000,-10.500000
57902,831545937,153912,5145.312249000,0.152828500,0.872000,0.065000,0.486000,-8.800000,-2.000000,-0.900000
57903,831565043,173018,5145.332156500,0.172736000,0.858000,-0.026000,0.519000,8.400000,1.300000,-4.000000
57904,831584393,192368,5145.351115900,0.191695400,0.807000,-0.017000,0.554000,10.700000,6.200000,0.300000
57905,831603590,211565,5145.373346000,0.213925500,0.903000,0.054000,0.480000,16.500000,-7.000000,-4.900000
57906,831622878,230853,5145.389181800,0.229761300,0.952000,0.184000,0.349000,16.600000,-10.200000,-21.800000
57907,831642045,250020,5145.409103900,0.249683400,1.012000,0.261000,0.429000,-12.500000,2.500000,2.300000
57908,831661273,269248,5145.429011000,0.269590500,0.843000,0.023000,0.488000,-20.700000,-29.200000,35.400000
57909,831680500,288475,5145.447202100,0.287781600,0.848000,0.000000,0.445000,0.300000,-8.800000,10.900000
57910,831699697,307672,5145.466510200,0.307089700,0.810000,0.010000,0.646000,4.000000,-5.200000,11.300000
57911,831719016,326991,5145.485317700,0.325897200,0.841000,-0.098000,0.506000,4.200000,-9.400000,26.000000
57912,831738152,346127,5145.505311900,0.345891400,0.824000,0.161000,0.519000,8.600000,-4.500000,2.500000
57913,831757349,365324,5145.524896300,0.365475800,0.911000,0.070000,0.501000,2.400000,-6.000000,9.300000
57914,831776608,384583,5145.543089900,0.383669400,0.874000,0.037000,0.470000,-10.400000,1.200000,11.200000
57915,831795866,403841,5145.562224300,0.402803800,0.884000,0.063000,0.489000,-11.200000,-9.800000,1.900000
57916,831815063,423038,5145.584176800,0.424756300,0.874000,-0.075000,0.370000,-27.700000,6.500000,-23.100000
57917,831834412,442387,5145.601268200,0.441847700,0.917000,-0.063000,0.422000,-35.700000,-4.000000,-65.000000
57918,831853579,461554,5145.620374200,0.460953700,0.790000,-0.015000,0.539000,-34.900000,3.200000,-49.700000
57919,831872807,480782,5145.639074500,0.479654000,0.880000,0.180000,0.585000,-20.600000,-0.100000,-9.200000
57920,831892065,500040,5145.658179000,0.498758500,0.868000,0.137000,0.413000,-5.200000,0.700000,9.200000
57921,831911231,519206,5145.678152800,0.518732300,0.877000,0.014000,0.434000,4.000000,8.800000,13.400000
57922,831930459,538434,5145.697131400,0.537710900,0.902000,0.021000,0.546000,8.300000,9.900000,10.100000
57923,831949717,557692,5145.716071700,0.556651200,0.974000,0.104000,0.456000,-4.100000,12.000000,15.300000
57924,831968975,576950,5145.738214500,0.578794000,0.884000,0.133000,0.473000,-14.600000,17.400000,20.700000
57925,831988203,596178,5145.755123300,0.595702800,0.837000,0.037000,0.527000,-11.600000,17.800000,21.600000
57926,832007369,615344,5145.774155200,0.614734700,0.793000,-0.077000,0.592000,-3.800000,13.200000,20.000000
57927,832026658,634633,5145.793193900,0.633773400,0.811000,-0.103000,0.590000,7.800000,5.200000,9.800000
57928,832045947,653922,5145.812069900,0.652649400,0.831000,-0.069000,0.555000,14.900000,-2.900000,4.900000
57929,832065144,673119,5145.832049700,0.672629200,0.868000,0.023000,0.505000,12.400000,-2.400000,3.000000
57930,832084310,692285,5145.851147800,0.691727300,0.874000,0.079000,0.504000,5.100000,0.400000,6.800000
57931,832103599,711574,5145.871450300,0.712029800,0.891000,-0.001000,0.513000,-3.100000,-0.600000,6.400000
57932,832122826,730801,5145.889234600,0.729814100,0.867000,0.014000,0.513000,-5.700000,2.800000,3.300000
57933,832142054,750029,5145.908113800,0.748693300,0.832000,-0.013000,0.545000,-6.300000,2.100000,2.600000
57934,832161251,769226,5145.928706200,0.769285700,0.831000,-0.010000,0.555000,-4.600000,-1.600000,0.700000
57935,832180540,788515,5145.947245400,0.787824900,0.871000,-0.017000,0.527000,-0.700000,-3.400000,0.300000
57936,832199676,807651,5145.966093500,0.806673000,0.834000,0.036000,0.541000,-0.200000,-2.100000,4.500000
