meta_label,9
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
16813,1583990746,0,1395.585144300,0.000000000,0.914000,-0.166000,0.389000,0.800000,-2.700000,-5.000000
16814,1584010035,19289,1395.603706100,0.018561800,0.910000,-0.165000,0.376000,0.700000,-1.400000,-8.600000
16815,1584029232,38486,1395.623440400,0.038296100,0.909000,-0.141000,0.402000,2.500000,-0.700000,-7.700000
16816,1584048521,57775,1395.642669100,0.057524800,0.910000,-0.115000,0.402000,2.400000,-4.300000,-5.300000
16817,1584067718,76972,1395.661806800,0.076662500,0.912000,-0.140000,0.394000,2.300000,-4.900000,-5.200000
16818,1584086884,96138,1395.683368900,0.098224600,0.916000,-0.141000,0.377000,0.500000,-4.600000,-10.100000
16819,1584106173,115427,1395.699796300,0.114652000,0.911000,-0.128000,0.368000,-2.300000,-1.600000,-16.100000
16820,1584125401,134655,1395.719646500,0.134502200,0.914000,-0.102000,0.396000,-6.600000,0.800000,-18.200000
16821,1584144628,153882,1395.738733700,0.153589400,0.897000,-0.139000,0.418000,-8.000000,-1.200000,-15.400000
16822,1584163825,173079,1395.757815800,0.172671500,0.970000,-0.131000,0.379000,-8.800000,-5.700000,-16.800000
16823,1584183053,192307,1395.779160900,0.194016600,0.887000,-0.127000,0.388000,-9.400000,-4.100000,-7.100000
16824,1584202250,211504,1395.795545900,0.210401600,0.929000,-0.150000,0.360000,1.500000,-2.500000,-9.400000
16825,1584221508,230762,1395.815648500,0.230504200,0.911000,-0.078000,0.396000,11.300000,1.000000,-3.700000
16826,1584240736,249990,1395.839582300,0.254438000,0.954000,-0.094000,0.376000,18.600000,-5.300000,5.600000
16827,1584259963,269217,1395.853660900,0.268516600,0.955000,0.015000,0.370000,15.300000,-14.900000,15.800000
16828,1584279252,288506,1395.872619700,0.287475400,0.910000,-0.041000,0.349000,5.500000,-22.100000,11.100000
16829,1584298571,307825,1395.892588100,0.307443800,0.908000,-0.126000,0.387000,-13.200000,-9.100000,11.400000
16830,1584317738,326992,1395.911574300,0.326430000,0.927000,-0.185000,0.371000,-20.700000,-6.300000,-7.000000
16831,1584336904,346158,1395.932808700,0.347664400,0.931000,-0.139000,0.312000,-22.500000,-1.100000,-17.700000
16832,1584356193,365447,1395.949647000,0.364502700,0.894000,-0.208000,0.395000,-17.700000,5.700000,-10.800000
16833,1584375359,384613,1395.968640200,0.383495900,0.939000,-0.141000,0.412000,-15.000000,-7.300000,-2.500000
16834,1584394648,403902,1395.988822200,0.403677900,0.919000,-0.105000,0.279000,1.500000,-2.400000,-7.800000
16835,1584413815,423069,1396.007590900,0.422446600,0.925000,-0.080000,0.352000,4.800000,-1.100000,-2.300000
16836,1584433042,442296,1396.026706100,0.441561800,0.985000,-0.074000,0.431000,5.300000,-0.900000,-1.500000
16837,1584452300,461554,1396.045723000,0.460578700,0.905000,-0.006000,0.523000,4.300000,-53.000000,18.800000
16838,1584471528,480782,1396.065594300,0.480450000,0.900000,-0.130000,0.211000,13.000000,-38.100000,22.200000
16839,1584490755,500009,1396.086635700,0.501491400,0.905000,-0.088000,0.348000,6.800000,-21.600000,13.000000
16840,1584509953,519207,1396.103716000,0.518571700,0.941000,-0.204000,0.248000,6.100000,4.500000,5.800000
16841,1584529272,538526,1396.122716200,0.537571900,0.927000,-0.195000,0.266000,9.300000,1.300000,-3.600000
16842,1584548560,557814,1396.144266800,0.559122500,0.925000,-0.094000,0.353000,11.500000,4.700000,-0.100000
16843,1584567605,576859,1396.161703700,0.576559400,0.943000,-0.165000,0.317000,10.800000,5.400000,2.600000
16844,1584586893,596147,1396.181930800,0.596786500,0.945000,-0.119000,0.365000,8.300000,3.100000,-2.100000
16845,1584606182,615436,1396.199601400,0.614457100,0.954000,-0.115000,0.324000,8.000000,7.400000,-0.900000
16846,1584625379,634633,1396.218706900,0.633562600,0.956000,-0.075000,0.335000,-3.300000,12.000000,0.200000
16847,1584644546,653800,1396.241463900,0.656319600,0.914000,-0.096000,0.339000,-10.000000,15.500000,0.700000
16848,1584663834,673088,1396.257559500,0.672415200,0.916000,-0.110000,0.378000,-7.200000,16.100000,4.100000
16849,1584683062,692316,1396.276832100,0.691687800,0.917000,-0.140000,0.391000,-0.100000,8.600000,5.800000
16850,1584702290,711544,1396.295736500,0.710592200,0.917000,-0.132000,0.367000,4.100000,5.700000,8.200000
16851,1584721487,730741,1396.314755300,0.729611000,0.922000,-0.139000,0.373000,4.200000,6.500000,9.100000
16852,1584740775,750029,1396.338266800,0.753122500,0.914000,-0.152000,0.382000,2.300000,4.800000,8.300000
16853,1584759942,769196,1396.353709600,0.768565300,0.900000,-0.152000,0.382000,4.700000,4.000000,6.400000
16854,1584779231,788485,1396.372737500,0.787593200,0.910000,-0.152000,0.386000,7.100000,2.400000,4.800000
16855,1584798458,807712,1396.391603900,0.806459600,0.918000,-0.134000,0.390000,4.900000,1.200000,3.700000
16856,1584817716,826970,1396.411581900,0.826437600,0.909000,-0.134000,0.384000,3.000000,1.200000,5.100000
16857,1584836913,846167,1396.431830900,0.846686600,0.906000,-0.163000,0.388000,2.100000,1.200000,4.700000
16858,1584856202,865456,1396.449714300,0.864570000,0.904000,-0.172000,0.387000,1.300000,-0.300000,2.700000
16859,1584875369,884623,1396.468776600,0.883632300,0.913000,-0.183000,0.375000,2.400000,0.700000,0.800000
16860,1584894566,903820,1396.492917400,0.907773100,0.909000,-0.161000,0.389000,3.200000,-0.600000,-1.000000
16861,1584913854,923108,1396.507629900,0.922485600,0.915000,-0.143000,0.384000,4.800000,-1.100000,-0.900000
16862,1584933021,942275,1396.526858600,0.941714300,0.919000,-0.140000,0.386000,5.000000,0.000000,-0.600000
16863,1584952187,961441,1396.545714700,0.960570400,0.909000,-0.131000,0.388000,6.400000,1.200000,-1.400000
16864,1584971507,980761,1396.564794300,0.979650000,0.908000,-0.134000,0.398000,7.100000,1.400000,-1.800000
16865,1584990795,1000049,1396.588803600,1.003659300,0.900000,-0.135000,0.406000,7.900000,1.800000,-2.700000
16866,1585009962,1019216,1396.603668800,1.018524500,0.886000,-0.138000,0.408000,5.800000,0.600000,-3.900000
16867,1585029159,1038413,1396.622932700,1.037788400,0.902000,-0.175000,0.398000,6.200000,0.400000,-7.200000
16868,1585048417,1057671,1396.641631400,1.056487100,0.917000,-0.146000,0.383000,6.800000,0.900000,-8.600000
