meta_label,A
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
55444,38216697,0,57.924427100,0.000000000,0.849000,-0.005000,0.540000,0.600000,-3.300000,-1.600000
55445,38235864,19167,57.940884500,0.016457400,0.854000,-0.010000,0.540000,0.500000,-3.100000,0.200000
55446,38255213,38516,57.959982300,0.035555200,0.844000,-0.027000,0.545000,0.700000,-2.200000,-0.300000
55447,38274471,57774,57.983666800,0.059239700,0.843000,-0.032000,0.546000,0.400000,-2.700000,-1.500000
55448,38293607,76910,57.998942300,0.074515200,0.850000,-0.021000,0.541000,0.300000,-2.800000,-1.100000
55449,38312835,96138,58.017935600,0.093508500,0.844000,-0.016000,0.541000,0.500000,-2.900000,-1.200000
55450,38332124,115427,58.039846800,0.115419700,0.850000,-0.011000,0.546000,0.400000,-2.500000,0.200000
55451,38351351,134654,58.055933800,0.131506700,0.843000,-0.024000,0.548000,0.600000,-2.800000,0.500000
55452,38370548,153851,58.075983600,0.151556500,0.842000,-0.038000,0.543000,0.600000,-3.100000,-0.300000
55453,38389776,173079,58.096842400,0.172415300,0.850000,-0.024000,0.548000,0.700000,-3.400000,-2.900000
55454,38409065,192368,58.113990700,0.189563600,0.862000,0.003000,0.528000,0.900000,-2.800000,-1.800000
55455,38428201,211504,58.133040100,0.208613000,0.864000,-0.002000,0.530000,0.000000,-1.000000,1.200000
55456,38447581,230884,58.154264300,0.229837200,0.848000,-0.025000,0.535000,-0.800000,-0.100000,1.300000
55457,38466717,250020,58.171911600,0.247484500,0.836000,-0.038000,0.554000,-0.700000,0.100000,-0.800000
55458,38485914,269217,58.190955800,0.266528700,0.824000,-0.035000,0.562000,-0.400000,-0.900000,-2.900000
55459,38505233,288536,58.214989600,0.290562500,0.828000,-0.035000,0.566000,0.300000,-4.600000,-3.400000
55460,38524369,307672,58.228905600,0.304478500,0.844000,-0.028000,0.546000,3.700000,-4.600000,-1.900000
55461,38543536,326839,58.248977600,0.324550500,0.859000,0.000000,0.532000,2.500000,-4.000000,-1.000000
55462,38562855,346158,58.270611300,0.346184200,0.845000,-0.007000,0.541000,1.200000,-2.900000,1.100000
55463,38582144,365447,58.287114100,0.362687000,0.832000,-0.034000,0.560000,2.700000,-4.500000,1.300000
55464,38601310,384613,58.308131900,0.383704800,0.818000,-0.053000,0.574000,2.500000,-7.300000,-0.400000
55465,38620477,403780,58.325984200,0.401557100,0.816000,-0.074000,0.571000,7.900000,-11.600000,-4.200000
55466,38639796,423099,58.344945400,0.420518300,0.816000,-0.065000,0.574000,13.200000,-16.300000,-3.100000
55467,38659084,442387,58.366690200,0.442263100,0.795000,-0.141000,0.594000,22.100000,-24.600000,-6.900000
55468,38678220,461523,58.383079300,0.458652200,1.046000,0.005000,0.427000,24.100000,-2.800000,-26.400000
55469,38697418,480721,58.401911600,0.477484500,0.856000,0.223000,0.448000,1.300000,-5.900000,-11.200000
55470,38716737,500040,58.423605000,0.499177900,0.866000,0.173000,0.556000,-25.000000,-6.700000,3.700000
55471,38735903,519206,58.441002700,0.516575600,0.902000,0.076000,0.492000,-34.200000,-15.900000,-25.600000
55472,38755192,538495,58.459962600,0.535535500,0.813000,-0.085000,0.468000,-42.700000,0.100000,-61.300000
55473,38774358,557661,58.478943500,0.554516400,0.846000,-0.011000,0.534000,-32.900000,0.600000,-26.800000
55474,38793525,576828,58.501862200,0.577435100,0.861000,-0.183000,0.582000,-6.900000,-8.000000,-2.500000
55475,38812875,596178,58.518033900,0.593606800,0.867000,-0.043000,0.480000,20.600000,-4.600000,-16.400000
55476,38832163,615466,58.536957500,0.612530400,0.866000,0.210000,0.511000,21.200000,-1.800000,-8.300000
55477,38851330,634633,58.556000800,0.631573700,0.879000,0.202000,0.561000,4.200000,-15.400000,24.800000
55478,38870496,653799,58.575025400,0.650598300,0.908000,0.075000,0.528000,13.800000,-22.900000,40.900000
55479,38889816,673119,58.594863700,0.670436600,0.801000,0.006000,0.461000,11.700000,-30.100000,58.300000
55480,38909104,692407,58.616544900,0.692117800,0.862000,-0.163000,0.473000,7.000000,-10.500000,30.600000
55481,38928271,711574,58.632908700,0.708481600,0.851000,-0.087000,0.458000,4.200000,0.200000,0.400000
55482,38947437,730740,58.651988100,0.727561000,0.866000,0.025000,0.461000,-1.600000,6.000000,0.100000
55483,38966726,750029,58.676622000,0.752194900,0.871000,0.004000,0.390000,-10.500000,23.600000,5.200000
55484,38985862,769165,58.690954500,0.766527400,0.990000,0.099000,0.495000,-26.700000,39.200000,7.200000
55485,39005242,788545,58.715318700,0.790891600,0.738000,-0.039000,0.614000,-30.500000,25.000000,5.000000
55486,39024378,807681,58.728919100,0.804492000,0.711000,-0.221000,0.770000,1.500000,0.000000,-6.900000
55487,39043545,826848,58.747887800,0.823460700,0.718000,-0.258000,0.699000,24.200000,-30.500000,-0.300000
55488,39062864,846167,58.778473400,0.854046300,1.122000,-0.124000,0.359000,32.500000,-33.100000,-28.300000
55489,39082031,865334,58.787028500,0.862601400,0.870000,0.227000,0.430000,6.300000,-15.500000,-23.100000
55490,39101289,884592,58.808550000,0.884122900,0.875000,0.044000,0.432000,-21.200000,-0.300000,-17.000000
55491,39120516,903819,58.824984700,0.900557600,0.997000,-0.043000,0.494000,-12.100000,-13.000000,-29.300000
55492,39139805,923108,58.844915000,0.920487900,0.811000,0.382000,0.419000,-5.500000,-20.600000,-37.100000
55493,39159002,942305,58.864048800,0.939621700,0.860000,0.175000,0.488000,-7.200000,-13.500000,9.000000
55494,39178138,961441,58.884644700,0.960217600,0.750000,-0.049000,0.566000,-8.100000,-16.000000,31.500000
55495,39197457,980760,58.901921700,0.977494600,0.847000,-0.277000,0.647000,4.100000,-2.400000,18.700000
55496,39216746,1000049,58.921993700,0.997566600,0.778000,-0.035000,0.444000,2.300000,-3.300000,4.000000
55497,39235882,1019185,58.941099900,1.016672800,0.936000,-0.005000,0.395000,-16.400000,20.200000,-1.400000
55498,39255079,1038382,58.962847000,1.038419900,1.109000,0.145000,0.340000,-38.900000,25.800000,4.300000
55499,39274398,1057701,58.978980000,1.054552900,0.983000,0.269000,0.479000,-55.400000,43.300000,45.200000
55500,39293565,1076868,58.999076300,1.074649200,0.729000,-0.254000,0.658000,-38.700000,30.500000,32.200000
55501,39312853,1096156,59.018096600,1.093669500,0.682000,-0.362000,0.674000,-9.400000,6.200000,16.400000
55502,39332020,1115323,59.036987800,1.112560700,0.746000,-0.243000,0.639000,11.500000,-2.700000,-1.300000
55503,39351186,1134489,59.055971900,1.131544800,0.852000,-0.060000,0.548000,17.900000,-5.400000,-8.700000
55504,39370536,1153839,59.075043200,1.150616100,0.854000,0.065000,0.544000,10.200000,-0.400000,-6.300000
55505,39389825,1173128,59.095013200,1.170586100,0.854000,0.046000,0.547000,4.600000,-1.600000,1.300000
55506,39408930,1192233,59.120068400,1.195641300,0.849000,-0.017000,0.555000,-0.300000,-2.100000,8.200000
55507,39428280,1211583,59.133066700,1.208639600,0.830000,-0.110000,0.541000,2.200000,-3.500000,7.100000
55508,39447447,1230750,59.152160700,1.227733600,0.838000,-0.136000,0.542000,5.500000,-5.300000,1.500000
55509,39466674,1249977,59.175005700,1.250578600,0.860000,-0.108000,0.527000,8.600000,-4.000000,-8.000000
55510,39485932,1269235,59.190980900,1.266553800,0.864000,-0.039000,0.533000,6.000000,-1.600000,-6.900000
55511,39505160,1288463,59.210512200,1.286085100,0.873000,0.037000,0.515000,-2.500000,2.100000,1.200000
