meta_label,A
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
9884,4203127093,0,4222.090546900,0.000000000,0.855000,-0.166000,0.498000,3.600000,-2.200000,-3.500000
9885,4203146260,19167,4222.110446600,0.019899700,0.863000,-0.138000,0.501000,6.000000,-3.500000,-3.700000
9886,4203165548,38455,4222.132242700,0.041695800,0.867000,-0.129000,0.490000,6.800000,-4.400000,-1.100000
9887,4203184776,57683,4222.148444500,0.057897600,0.879000,-0.124000,0.482000,6.500000,-4.300000,-0.700000
9888,4203204004,76911,4222.167339800,0.076792900,0.864000,-0.126000,0.490000,4.200000,-4.000000,0.300000
9889,4203223170,96077,4222.190061300,0.099514400,0.845000,-0.144000,0.517000,5.000000,-6.200000,1.700000
9890,4203242489,115396,4222.206471200,0.115924300,0.805000,-0.225000,0.549000,5.600000,-10.900000,1.800000
9891,4203261625,134532,4222.225422700,0.134875800,0.924000,-0.379000,0.505000,15.700000,-23.700000,-12.200000
9892,4203280822,153729,4222.244344500,0.153797600,0.921000,-0.096000,0.476000,4.300000,-11.200000,-32.800000
9893,4203300111,173018,4222.263445400,0.172898500,0.864000,0.007000,0.425000,-22.800000,-6.500000,-21.000000
9894,4203319308,192215,4222.283459900,0.192913000,0.872000,0.006000,0.478000,-32.400000,-4.600000,-19.000000
9895,4203338627,211534,4222.302480100,0.211933200,0.931000,0.068000,0.445000,-23.400000,13.200000,-63.500000
9896,4203357763,230670,4222.321976800,0.231429900,0.807000,-0.037000,0.451000,-35.000000,5.100000,-23.200000
9897,4203376960,249867,4222.340480000,0.249933100,0.841000,-0.122000,0.586000,-20.200000,-1.500000,-5.900000
9898,4203396249,269156,4222.360473900,0.269927000,0.873000,-0.376000,0.479000,-5.600000,-5.100000,10.000000
9899,4203415538,288445,4222.379525100,0.288978200,0.884000,-0.226000,0.461000,13.700000,-5.200000,-12.400000
9900,4203434735,307642,4222.398500100,0.307953200,0.886000,-0.104000,0.439000,21.800000,-1.400000,-18.400000
9901,4203453901,326808,4222.419272900,0.328726000,0.904000,0.158000,0.587000,13.200000,-16.000000,8.800000
9902,4203473190,346097,4222.436676100,0.346129200,0.871000,-0.078000,0.452000,9.000000,-24.900000,36.800000
9903,4203492418,365325,4222.457302500,0.366755600,0.861000,-0.061000,0.434000,13.400000,-13.400000,22.300000
9904,4203511676,384583,4222.479269600,0.388722700,0.841000,-0.066000,0.401000,8.500000,-12.100000,28.000000
9905,4203530842,403749,4222.494576800,0.404029900,0.881000,-0.105000,0.428000,2.900000,5.400000,16.700000
9906,4203550131,423038,4222.514017700,0.423470800,0.882000,-0.120000,0.442000,-9.100000,12.200000,16.300000
9907,4203569297,442204,4222.534333800,0.443786900,0.957000,-0.201000,0.407000,-30.100000,38.600000,2.100000
9908,4203588525,461432,4222.552484600,0.461937700,0.693000,-0.332000,0.677000,-15.800000,27.900000,-2.900000
9909,4203607753,480660,4222.571356900,0.480810000,0.652000,-0.425000,0.750000,21.000000,-11.200000,-14.400000
9910,4203626950,499857,4222.590429800,0.499882900,1.060000,-0.108000,0.409000,21.600000,-6.600000,-33.300000
9911,4203646269,519176,4222.609437300,0.518890400,0.913000,0.157000,0.468000,1.900000,-19.500000,-23.300000
9912,4203665557,538464,4222.632317900,0.541771000,0.872000,0.027000,0.410000,-17.200000,-12.200000,0.200000
9913,4203684755,557662,4222.648455900,0.557909000,0.939000,-0.208000,0.485000,-23.300000,-14.700000,-2.500000
9914,4203703921,576828,4222.667353200,0.576806300,0.910000,-0.035000,0.351000,-11.900000,-18.000000,-30.400000
9915,4203723210,596117,4222.689405600,0.598858700,0.836000,0.014000,0.330000,-8.400000,-11.300000,-15.700000
9916,4203742437,615344,4222.706394200,0.615847300,0.858000,-0.088000,0.506000,-6.200000,0.200000,16.100000
9917,4203761665,634572,4222.726032500,0.635485600,0.897000,-0.112000,0.429000,9.100000,7.500000,14.000000
9918,4203780862,653769,4222.744311300,0.653764400,0.915000,-0.176000,0.504000,7.900000,16.900000,11.400000
9919,4203800151,673058,4222.764182200,0.673635300,1.024000,0.032000,0.408000,-44.500000,47.300000,26.100000
9920,4203819317,692224,4222.783464100,0.692917200,0.880000,-0.035000,0.574000,-40.000000,44.900000,37.500000
9921,4203838545,711452,4222.802500400,0.711953500,0.723000,-0.257000,0.671000,-28.400000,20.200000,42.400000
9922,4203857772,730679,4222.821840900,0.731294000,0.678000,-0.397000,0.667000,-6.400000,-9.200000,29.000000
9923,4203877000,749907,4222.840615500,0.750068600,0.795000,-0.437000,0.516000,14.800000,-8.900000,10.000000
9924,4203896289,769196,4222.859528400,0.768981500,0.822000,-0.304000,0.521000,25.600000,-16.500000,-2.100000
9925,4203915577,788484,4222.880881300,0.790334400,0.873000,-0.189000,0.476000,28.900000,-18.600000,-9.400000
9926,4203934774,807681,4222.898499900,0.807953000,0.905000,-0.087000,0.454000,24.100000,-15.200000,-7.300000
9927,4203953941,826848,4222.917656300,0.827109400,0.913000,-0.039000,0.454000,15.900000,-10.400000,0.000000
9928,4203973230,846137,4222.936445800,0.845898900,0.926000,-0.045000,0.448000,6.400000,-2.900000,6.100000
9929,4203992396,865303,4222.956409200,0.865862300,0.879000,-0.120000,0.482000,-0.100000,3.200000,10.500000
9930,4204011563,884470,4222.977512800,0.886965900,0.830000,-0.207000,0.513000,-0.200000,3.700000,5.900000
9931,4204030851,903758,4222.994508800,0.903961900,0.805000,-0.241000,0.545000,5.800000,-3.700000,-0.100000
9932,4204050079,922986,4223.013449300,0.922902400,0.818000,-0.249000,0.528000,11.300000,-6.600000,-4.900000
9933,4204069307,942214,4223.034920000,0.944373100,0.830000,-0.186000,0.503000,14.300000,-8.900000,-6.900000
9934,4204088504,961411,4223.052486900,0.961940000,0.904000,-0.125000,0.452000,13.000000,-5.800000,-7.200000
9935,4204107792,980699,4223.071548600,0.981001700,0.903000,-0.088000,0.450000,6.100000,-0.800000,-5.400000
9936,4204126959,999866,4223.090622900,1.000076000,0.893000,-0.110000,0.464000,-2.200000,3.300000,-4.800000
9937,4204146309,1019216,4223.117062200,1.026515300,0.875000,-0.150000,0.482000,-9.200000,6.900000,-7.700000
9938,4204165475,1038382,4223.129449200,1.038902300,0.846000,-0.177000,0.520000,-9.300000,7.000000,-8.600000
9939,4204184733,1057640,4223.148519400,1.057972500,0.823000,-0.176000,0.545000,-6.000000,3.100000,-6.700000
9940,4204203961,1076868,4223.174184900,1.083638000,0.827000,-0.162000,0.537000,-1.200000,-0.700000,-4.900000
9941,4204223097,1096004,4223.186544100,1.095997200,0.844000,-0.146000,0.520000,0.500000,-2.500000,-4.700000
9942,4204242416,1115323,4223.206368400,1.115821500,0.859000,-0.132000,0.506000,0.000000,-2.100000,-3.000000
9943,4204261583,1134490,4223.226044900,1.135498000,0.872000,-0.137000,0.491000,-2.700000,1.800000,-2.000000
9944,4204280871,1153778,4223.244437600,1.153890700,0.858000,-0.136000,0.502000,-1.700000,0.900000,-1.100000
9945,4204300099,1173006,4223.263450500,1.172903600,0.858000,-0.149000,0.509000,0.200000,-0.400000,0.000000
9946,4204319326,1192233,4223.282566200,1.192019300,0.862000,-0.151000,0.505000,3.200000,-0.400000,0.000000
