meta_label,a
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
33154,637970943,0,449.732125800,0.000000000,0.891000,-0.008000,0.472000,0.100000,-1.400000,-7.300000
33155,637990232,19289,449.753027600,0.020901800,0.876000,0.022000,0.481000,2.300000,-3.600000,-11.400000
33156,638009399,38456,449.769811200,0.037685400,0.879000,0.052000,0.488000,1.900000,-8.600000,-10.300000
33157,638028565,57622,449.789743900,0.057618100,0.860000,0.047000,0.489000,0.000000,-13.500000,-12.300000
33158,638047854,76911,449.808740900,0.076615100,0.966000,0.063000,0.414000,-7.700000,-17.100000,-15.300000
33159,638067081,96138,449.827953600,0.095827800,0.887000,0.187000,0.415000,-13.700000,-2.900000,2.300000
33160,638086736,115793,449.855850500,0.123724700,0.893000,0.059000,0.464000,-6.500000,-3.900000,5.400000
33161,638105537,134594,449.867333600,0.135207800,0.883000,-0.020000,0.467000,4.300000,-1.100000,2.300000
33162,638124856,153913,449.884714800,0.152589000,0.842000,0.006000,0.491000,11.800000,0.100000,11.000000
33163,638144022,173079,449.911218000,0.179092200,0.885000,0.015000,0.397000,15.300000,-8.700000,9.600000
33164,638163189,192246,449.923755200,0.191629400,0.935000,0.246000,0.448000,10.300000,-4.000000,1.000000
33165,638182478,211535,449.942742700,0.210616900,0.957000,0.111000,0.371000,-4.100000,-7.900000,2.800000
33166,638201797,230854,449.961722100,0.229596300,0.920000,0.040000,0.367000,-18.500000,-14.400000,-1.200000
33167,638220933,249990,449.980689700,0.248563900,0.828000,-0.081000,0.439000,-23.400000,-4.400000,-14.000000
33168,638240557,269614,450.000722700,0.268596900,0.885000,-0.086000,0.609000,-9.700000,-0.200000,-11.100000
33169,638259419,288476,450.019753400,0.287627600,0.905000,0.026000,0.466000,-2.000000,-6.500000,-16.800000
33170,638278585,307642,450.038689500,0.306563700,0.890000,0.116000,0.319000,1.700000,-4.700000,-4.000000
33171,638297874,326931,450.064068100,0.331942300,0.910000,0.068000,0.427000,5.500000,0.400000,0.000000
33172,638317040,346097,450.076697800,0.344572000,0.918000,0.221000,0.546000,2.300000,-22.800000,45.200000
33173,638336268,365325,450.096815100,0.364689300,0.903000,0.033000,0.381000,-3.000000,-14.900000,31.900000
33174,638355557,384614,450.117340500,0.385214700,0.893000,-0.053000,0.380000,-2.900000,-0.300000,8.200000
33175,638374723,403780,450.134798900,0.402673100,0.944000,-0.103000,0.368000,-6.100000,3.900000,-3.000000
33176,638394042,423099,450.153816000,0.421690200,1.028000,0.077000,0.226000,-9.100000,29.600000,-39.200000
33177,638413209,442266,450.173875100,0.441749300,0.929000,0.221000,0.410000,-33.300000,47.100000,-6.100000
33178,638432497,461554,450.192756100,0.460630300,0.855000,0.069000,0.565000,-29.400000,36.900000,2.400000
33179,638451664,480721,450.212966900,0.480841100,0.794000,0.007000,0.618000,-18.300000,15.600000,21.400000
33180,638470831,499888,450.230863000,0.498737200,0.824000,-0.093000,0.577000,-6.300000,1.300000,19.100000
33181,638490150,519207,450.250760700,0.518634900,0.857000,-0.091000,0.520000,-0.300000,-4.400000,11.200000
33182,638509438,538495,450.274160900,0.542035100,0.868000,-0.046000,0.486000,1.100000,-3.300000,3.200000
33183,638528605,557662,450.288929400,0.556803600,0.895000,0.004000,0.470000,2.900000,-2.600000,-1.000000
33184,638548107,577164,450.311686700,0.579560900,0.942000,-0.008000,0.414000,6.000000,-1.100000,1.000000
33185,638567060,596117,450.326801800,0.594676000,0.933000,0.027000,0.434000,3.300000,7.700000,0.600000
33186,638586227,615284,450.346773800,0.614648000,0.964000,0.001000,0.431000,-5.100000,15.700000,-5.600000
33187,638605515,634572,450.369989700,0.637863900,0.983000,-0.033000,0.449000,-8.200000,25.400000,-17.800000
33188,638624743,653800,450.384725900,0.652600100,0.950000,-0.033000,0.475000,-12.400000,29.500000,-29.700000
33189,638644001,673058,450.404364800,0.672239000,0.935000,-0.019000,0.536000,-7.600000,28.000000,-40.200000
33190,638663198,692255,450.423800800,0.691675000,0.909000,-0.021000,0.589000,2.500000,16.700000,-37.900000
33191,638682517,711574,450.442662400,0.710536600,0.825000,0.024000,0.577000,13.000000,3.000000,-50.800000
33192,638701897,730954,450.465720100,0.733594300,0.717000,0.174000,0.513000,11.500000,-1.700000,-44.900000
33193,638720911,749968,450.480788100,0.748662300,0.634000,0.265000,0.487000,6.900000,-12.600000,-25.100000
33194,638740139,769196,450.500700400,0.768574600,0.621000,0.192000,0.407000,-1.500000,-14.300000,-0.800000
33195,638759458,788515,450.520641600,0.788515800,0.652000,0.096000,0.426000,-4.100000,-10.600000,18.000000
33196,638778594,807651,450.538773900,0.806648100,0.709000,0.016000,0.492000,-11.400000,-8.600000,25.700000
33197,638797791,826848,450.557706900,0.825581100,0.754000,-0.041000,0.672000,-2.900000,-20.300000,28.500000
33198,638817080,846137,450.576653800,0.844528000,1.052000,-0.088000,0.786000,24.900000,-35.800000,13.600000
