meta_label,a
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
25039,3234300427,0,3253.436468200,0.000000000,0.876000,-0.050000,0.495000,4.800000,-8.600000,3.900000
25040,3234319685,19258,3253.456393000,0.019924800,0.888000,-0.101000,0.490000,4.700000,-6.400000,3.600000
25041,3234338882,38455,3253.475528800,0.039060600,0.867000,-0.090000,0.491000,3.300000,-4.000000,-2.600000
25042,3234358171,57744,3253.494404500,0.057936300,0.851000,-0.091000,0.515000,-0.100000,-4.600000,-6.300000
25043,3234377368,76941,3253.513586200,0.077118000,0.839000,-0.084000,0.530000,2.300000,-8.400000,-9.700000
25044,3234396534,96107,3253.535597700,0.099129500,0.843000,-0.081000,0.529000,3.900000,-13.000000,-8.900000
25045,3234415823,115396,3253.552628700,0.116160500,0.895000,-0.108000,0.494000,2.900000,-15.800000,-12.500000
25046,3234435050,134623,3253.571374200,0.134906000,0.894000,0.011000,0.467000,-5.500000,-4.200000,-5.400000
25047,3234454278,153851,3253.597597300,0.161129100,0.899000,-0.068000,0.497000,-10.800000,-4.400000,-3.700000
25048,3234473475,173048,3253.609481300,0.173013100,0.868000,-0.103000,0.493000,1.500000,-1.400000,-5.700000
25049,3234492764,192337,3253.629565100,0.193096900,0.885000,-0.092000,0.476000,12.600000,-4.900000,-5.500000
25050,3234511930,211503,3253.654434900,0.217966700,0.909000,-0.051000,0.555000,13.600000,-7.700000,24.600000
25051,3234531158,230731,3253.667730800,0.231262600,0.903000,-0.002000,0.380000,12.600000,-16.700000,20.200000
25052,3234550386,249959,3253.688901500,0.252433300,0.871000,0.093000,0.510000,-2.800000,-9.000000,2.900000
25053,3234569583,269156,3253.708280100,0.271811900,0.957000,-0.168000,0.403000,-17.500000,-14.500000,7.000000
25054,3234588871,288444,3253.725448900,0.288980700,0.872000,-0.171000,0.379000,-16.800000,-3.300000,-23.500000
25055,3234608190,307763,3253.745251400,0.308783200,0.828000,-0.084000,0.600000,-8.200000,6.400000,-30.200000
25056,3234627388,326961,3253.763346300,0.326878100,0.862000,-0.170000,0.592000,-2.600000,-4.400000,-7.300000
25057,3234646554,346127,3253.782423600,0.345955400,0.866000,-0.013000,0.468000,11.300000,-5.200000,-13.700000
25058,3234665843,365416,3253.802485900,0.366017700,0.884000,0.094000,0.438000,7.100000,-2.500000,-4.600000
25059,3234685009,384582,3253.821434500,0.384966300,0.902000,0.089000,0.515000,5.600000,-5.300000,28.600000
25060,3234704176,403749,3253.840521500,0.404053300,0.900000,0.091000,0.528000,-1.600000,-24.200000,44.300000
25061,3234723434,423007,3253.861319600,0.424851400,0.899000,-0.117000,0.380000,0.100000,-11.800000,30.400000
25062,3234742662,442235,3253.878418900,0.441950700,0.828000,-0.285000,0.509000,8.200000,7.000000,0.000000
25063,3234761950,461523,3253.898494000,0.462025800,0.896000,-0.159000,0.419000,5.400000,9.000000,-17.400000
25064,3234781178,480751,3253.917322300,0.480854100,0.937000,0.062000,0.423000,-4.200000,19.400000,-21.300000
25065,3234800405,499978,3253.936462200,0.499994000,0.923000,0.153000,0.465000,-19.000000,29.100000,-1.300000
25066,3234819602,519175,3253.956040900,0.519572700,0.845000,0.029000,0.571000,-19.500000,17.200000,21.200000
25067,3234838922,538495,3253.975413700,0.538945500,0.826000,-0.152000,0.569000,-12.700000,8.500000,24.200000
25068,3234858058,557631,3253.994440700,0.557972500,0.793000,-0.257000,0.571000,-6.400000,-0.200000,13.200000
25069,3234877255,576828,3254.015146600,0.578678400,0.807000,-0.203000,0.564000,5.100000,-8.700000,0.000000
25070,3234896543,596116,3254.032575900,0.596107700,0.857000,-0.109000,0.500000,9.400000,-11.300000,-1.500000
25071,3234915863,615436,3254.053620300,0.617152100,0.906000,-0.033000,0.447000,6.100000,-8.300000,-1.300000
25072,3234935029,634602,3254.071402000,0.634933800,0.925000,-0.011000,0.425000,-3.200000,1.100000,3.200000
25073,3234954196,653769,3254.090439300,0.653971100,0.896000,-0.034000,0.470000,-8.800000,7.100000,5.700000
25074,3234973484,673057,3254.109455600,0.672987400,0.903000,-0.093000,0.492000,-7.000000,11.100000,6.500000
25075,3234992712,692285,3254.128439500,0.691971300,0.849000,-0.123000,0.530000,-6.600000,9.800000,5.600000
25076,3235011909,711482,3254.149858700,0.713390500,0.828000,-0.149000,0.567000,-1.500000,3.100000,3.100000
25077,3235031137,730710,3254.167336400,0.730868200,0.819000,-0.140000,0.551000,0.400000,-2.400000,1.200000
25078,3235050425,749998,3254.186264500,0.749796300,0.824000,-0.127000,0.547000,0.300000,-6.800000,-0.800000
25079,3235069592,769165,3254.208548100,0.772079900,0.859000,-0.121000,0.527000,2.300000,-9.500000,-3.600000
25080,3235088819,788392,3254.225372300,0.788904100,0.891000,-0.109000,0.472000,2.400000,-6.900000,-3.000000
25081,3235108047,807620,3254.244443500,0.807975300,0.877000,-0.076000,0.484000,0.800000,-4.100000,-3.600000
25082,3235127244,826817,3254.264838400,0.828370200,0.885000,-0.086000,0.480000,1.500000,-2.000000,-1.500000
25083,3235146563,846136,3254.282415500,0.845947300,0.872000,-0.090000,0.483000,2.400000,0.700000,0.700000
25084,3235165852,865425,3254.302328800,0.865860600,0.866000,-0.092000,0.503000,3.900000,1.400000,0.700000
