meta_label,E
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
15510,298676838,0,110.497534200,0.000000000,0.859000,-0.295000,0.397000,-1.400000,-2.600000,-5.000000
15511,298695974,19136,110.518288500,0.020754300,0.874000,-0.286000,0.390000,2.900000,-4.000000,-8.100000
15512,298715263,38425,110.539195400,0.041661200,0.894000,-0.246000,0.400000,6.700000,-7.000000,-5.600000
15513,298734673,57835,110.554435900,0.056901700,0.886000,-0.253000,0.375000,2.300000,-3.500000,-10.100000
15514,298753809,76971,110.573437000,0.075902800,0.859000,-0.312000,0.406000,-0.700000,-0.600000,-19.900000
15515,298772945,96107,110.593636700,0.096102500,0.852000,-0.331000,0.433000,1.400000,-3.200000,-27.900000
15516,298792264,115426,110.612486000,0.114951800,1.036000,-0.027000,0.363000,-16.700000,-5.300000,-12.000000
15517,298811431,134593,110.631906800,0.134372600,0.909000,-0.123000,0.360000,-6.000000,-8.000000,1.100000
15518,298830598,153760,110.650539800,0.153005600,0.926000,-0.279000,0.466000,1.000000,-22.700000,23.800000
15519,298849886,173048,110.672509500,0.174975300,0.902000,-0.336000,0.296000,11.900000,-29.100000,10.500000
15520,298869114,192276,110.689671100,0.192136900,0.888000,-0.268000,0.208000,9.700000,-16.100000,-4.100000
15521,298888769,211931,110.709172000,0.211637800,0.912000,-0.216000,0.433000,-10.100000,4.600000,-5.700000
15522,298907539,230701,110.728292000,0.230757800,0.920000,-0.168000,0.392000,-9.500000,-10.700000,-11.800000
15523,298926827,249989,110.746653700,0.249119500,0.950000,-0.205000,0.326000,-5.400000,-2.500000,-14.600000
15524,298945994,269156,110.767640500,0.270106300,0.863000,-0.200000,0.342000,-1.300000,2.600000,1.500000
15525,298965282,288444,110.787761400,0.290227200,0.888000,-0.216000,0.402000,9.300000,1.300000,4.400000
15526,298984449,307611,110.804482200,0.306948000,0.915000,-0.190000,0.303000,-2.600000,9.100000,10.300000
15527,299003677,326839,110.823441600,0.325907400,0.896000,-0.189000,0.351000,-32.700000,29.600000,28.400000
15528,299022965,346127,110.843665700,0.346131500,0.804000,-0.378000,0.412000,-33.900000,32.900000,22.100000
15529,299042132,365294,110.862481600,0.364947400,0.735000,-0.539000,0.526000,-6.800000,10.000000,4.300000
15530,299061390,384552,110.887304700,0.389770500,0.770000,-0.532000,0.449000,16.600000,-13.500000,-17.500000
15531,299080617,403779,110.900534400,0.403000200,1.021000,-0.338000,0.268000,31.000000,-22.300000,-41.400000
15532,299099906,423068,110.920529000,0.422994800,0.873000,0.151000,0.382000,-14.200000,7.300000,-16.500000
15533,299119073,442235,110.939389500,0.441855300,0.959000,-0.102000,0.384000,-20.000000,-6.000000,-6.900000
15534,299138239,461401,110.958483400,0.460949200,0.906000,-0.299000,0.304000,-22.300000,1.300000,2.500000
15535,299157528,480690,110.977432800,0.479898600,0.967000,-0.231000,0.390000,-14.400000,-1.400000,-18.900000
15536,299176847,500009,110.996472800,0.498938600,0.886000,-0.041000,0.412000,-13.000000,-6.900000,-5.000000
15537,299196838,520000,111.016954500,0.519420300,0.897000,-0.185000,0.401000,-1.500000,-5.900000,6.800000
15538,299215241,538403,111.035534200,0.538000000,0.869000,-0.348000,0.344000,11.600000,-3.300000,1.800000
15539,299234499,557661,111.054420800,0.556886600,0.871000,-0.268000,0.356000,15.000000,1.200000,3.400000
15540,299253696,576858,111.073457900,0.575923700,0.907000,-0.265000,0.346000,12.600000,-2.500000,20.900000
15541,299272985,596147,111.093527900,0.595993700,0.822000,-0.344000,0.449000,15.800000,-7.200000,20.000000
15542,299292152,615314,111.112382700,0.614848500,0.898000,-0.444000,0.347000,26.900000,-17.800000,-3.500000
15543,299311410,634572,111.135961800,0.638427600,0.958000,-0.136000,0.351000,-1.600000,2.500000,-16.100000
15544,299330607,653769,111.150457300,0.652923100,0.915000,-0.143000,0.345000,-18.200000,-5.300000,-14.100000
15545,299350475,673637,111.170457600,0.672923400,0.919000,-0.188000,0.380000,-26.600000,-0.900000,-7.300000
15546,299369123,692285,111.189502900,0.691968700,0.958000,-0.144000,0.332000,-16.600000,-4.300000,-13.000000
15547,299388320,711482,111.208474500,0.710940300,0.906000,-0.035000,0.479000,-4.600000,-3.600000,-5.000000
15548,299407578,730740,111.230528000,0.732993800,0.883000,-0.235000,0.304000,12.400000,-6.900000,6.300000
15549,299426745,749907,111.246480800,0.748946600,1.056000,-0.126000,0.227000,-1.600000,10.400000,41.500000
15550,299446033,769195,111.266359400,0.768825200,0.909000,-0.097000,0.425000,-34.400000,20.600000,58.000000
15551,299465200,788362,111.285397700,0.787863500,0.929000,-0.166000,0.422000,-38.500000,15.700000,71.100000
15552,299484519,807681,111.304365700,0.806831500,0.811000,-0.469000,0.423000,-23.600000,2.000000,54.100000
15553,299503930,827092,111.324559600,0.827025400,0.786000,-0.539000,0.372000,-13.900000,-1.400000,30.700000
15554,299522944,846106,111.342340300,0.844806100,0.792000,-0.511000,0.365000,-6.500000,-1.600000,11.700000
15555,299542171,865333,111.362381100,0.864846900,0.859000,-0.373000,0.381000,-1.200000,-0.700000,-3.800000
15556,299561430,884592,111.384491300,0.886957100,0.925000,-0.220000,0.363000,-5.500000,4.400000,-0.700000
15557,299580627,903789,111.400354900,0.902820700,0.873000,-0.237000,0.417000,-12.500000,6.000000,10.500000
15558,299599946,923108,111.419438800,0.921904600,0.842000,-0.342000,0.402000,-10.800000,0.300000,13.600000
15559,299619112,942274,111.439503300,0.941969100,0.840000,-0.411000,0.375000,-8.400000,-2.300000,8.800000
15560,299638279,961441,111.458450600,0.960916400,0.861000,-0.392000,0.358000,-4.000000,0.800000,1.200000
15561,299657934,981096,111.479445900,0.981911700,0.864000,-0.348000,0.371000,-3.700000,1.400000,3.400000
15562,299676765,999927,111.496488200,0.998954000,0.856000,-0.336000,0.377000,-2.800000,0.400000,7.400000
15563,299695992,1019154,111.515355000,1.017820800,0.866000,-0.319000,0.388000,-1.000000,-2.100000,10.000000
15564,299715220,1038382,111.537482000,1.039947800,0.879000,-0.314000,0.379000,-3.500000,-1.100000,14.400000
15565,299734508,1057670,111.554386200,1.056852000,0.864000,-0.393000,0.368000,-8.000000,1.300000,15.200000
15566,299753675,1076837,111.573462400,1.075928200,0.815000,-0.445000,0.383000,-6.700000,1.600000,7.200000
