meta_label,e
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
39046,751274093,0,563.014497200,0.000000000,0.898000,0.136000,0.427000,5.600000,-8.800000,1.900000
39047,751293321,19228,563.035551700,0.021054500,0.902000,0.111000,0.432000,5.100000,-7.800000,0.000000
39048,751312549,38456,563.053508400,0.039011200,0.870000,0.100000,0.467000,2.200000,-9.300000,-7.100000
39049,751331868,57775,563.072819200,0.058322000,0.833000,0.068000,0.519000,5.700000,-17.000000,-11.900000
39050,751351004,76911,563.091551500,0.077054300,0.873000,0.106000,0.492000,14.500000,-23.700000,-11.400000
39051,751370262,96169,563.110408700,0.095911500,0.929000,0.164000,0.387000,18.300000,-20.000000,-4.500000
39052,751389490,115397,563.131374700,0.116877500,0.906000,0.194000,0.375000,17.000000,-14.700000,-1.300000
39053,751409022,134929,563.149535100,0.135037900,0.983000,0.168000,0.356000,6.800000,-9.600000,-8.700000
39054,751428006,153913,563.170564800,0.156067600,0.890000,0.238000,0.367000,-13.500000,-7.400000,-0.200000
39055,751447142,173049,563.187554100,0.173056900,0.928000,0.081000,0.410000,-5.900000,-10.600000,-6.400000
39056,751466430,192337,563.206311600,0.191814400,0.915000,0.111000,0.353000,3.800000,-10.900000,-11.600000
39057,751485628,211535,563.228878700,0.214381500,0.918000,0.211000,0.375000,-1.100000,-8.300000,-10.500000
39058,751504947,230854,563.245219600,0.230722400,0.929000,0.267000,0.340000,-13.900000,-15.800000,-4.100000
39059,751524113,250020,563.265593500,0.251096300,0.888000,0.120000,0.342000,-14.600000,-10.200000,-17.300000
39060,751543280,269187,563.283481800,0.268984600,0.875000,0.176000,0.379000,-14.400000,-3.600000,-9.800000
39061,751563026,288933,563.303400200,0.288903000,0.866000,0.132000,0.528000,-9.300000,2.900000,-0.800000
39062,751581796,307703,563.322418100,0.307920900,0.903000,0.170000,0.512000,-2.300000,-3.600000,-6.900000
39063,751601024,326931,563.341380600,0.326883400,0.910000,0.039000,0.364000,7.700000,0.900000,-3.200000
39064,751620190,346097,563.360893200,0.346396000,0.922000,0.223000,0.360000,16.500000,0.700000,4.800000
39065,751639509,365416,563.379422100,0.364924900,0.919000,0.162000,0.383000,12.300000,0.500000,5.300000
39066,751658676,384583,563.399311800,0.384814600,0.974000,0.495000,0.357000,8.200000,-18.300000,61.000000
39067,751677965,403872,563.422643300,0.408146100,0.875000,-0.044000,0.272000,-18.900000,-7.300000,4.800000
39068,751697131,423038,563.437398700,0.422901500,0.907000,0.046000,0.386000,-28.500000,-16.800000,-0.400000
39069,751716664,442571,563.457270100,0.442772900,0.913000,0.134000,0.321000,-16.000000,-9.600000,-4.500000
39070,751735678,461585,563.479405200,0.464908000,0.891000,0.166000,0.298000,-4.700000,-2.200000,-15.300000
39071,751754814,480721,563.495336200,0.480839000,0.960000,0.119000,0.358000,-0.200000,9.800000,-6.200000
39072,751774072,499979,563.517592200,0.503095000,1.045000,0.173000,0.278000,-14.600000,29.700000,-9.200000
39073,751793208,519115,563.533371300,0.518874100,0.898000,0.166000,0.403000,-24.900000,40.600000,-0.900000
39074,751812588,538495,563.553249000,0.538751800,0.859000,0.179000,0.470000,-19.700000,35.900000,8.100000
39075,751831755,557662,563.574954200,0.560457000,0.804000,0.128000,0.558000,-11.000000,27.100000,20.000000
39076,751850921,576828,563.591228300,0.576731100,0.806000,0.042000,0.583000,-0.500000,12.100000,20.300000
39077,751870210,596117,563.612168000,0.597670800,0.825000,0.018000,0.566000,10.700000,0.000000,13.400000
39078,751889529,615436,563.629403200,0.614906000,0.872000,0.042000,0.495000,19.200000,-8.800000,5.000000
39079,751908696,634603,563.649384900,0.634887700,0.904000,0.113000,0.424000,21.300000,-8.000000,2.700000
39080,751927984,653891,563.669857600,0.655360400,0.935000,0.165000,0.342000,13.700000,-2.000000,2.000000
39081,751947151,673058,563.687286200,0.672789000,0.949000,0.149000,0.377000,7.500000,6.900000,2.400000
39082,751966318,692225,563.707371800,0.692874600,0.913000,0.122000,0.417000,4.600000,7.800000,-1.900000
39083,751985606,711513,563.725414200,0.710917000,0.899000,0.099000,0.452000,3.000000,7.900000,-4.800000
39084,752004834,730741,563.745450200,0.730953000,0.893000,0.084000,0.474000,1.600000,6.400000,-8.100000
39085,752024519,750426,563.771442100,0.756944900,0.894000,0.041000,0.498000,0.200000,4.300000,-14.300000
39086,752043228,769135,563.783396700,0.768899500,0.925000,-0.025000,0.513000,6.500000,-2.800000,-30.500000
39087,752062608,788515,563.802362400,0.787865200,0.960000,-0.024000,0.482000,15.800000,-11.000000,-54.400000
39088,752081775,807682,563.824264000,0.809766800,0.940000,0.017000,0.462000,24.800000,-6.400000,-72.100000
39089,752100941,826848,563.841588300,0.827091100,0.871000,0.126000,0.506000,29.700000,-6.000000,-84.000000
39090,752120230,846137,563.861459900,0.846962700,0.842000,0.269000,0.485000,34.100000,-7.300000,-74.700000
