meta_label,e
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
5154,4112169100,0,4131.149295000,0.000000000,0.888000,0.089000,0.485000,1.300000,-5.800000,4.600000
5155,4112188389,19289,4131.168449100,0.019154100,0.859000,0.063000,0.519000,-0.300000,-5.000000,-2.800000
5156,4112207586,38486,4131.194991200,0.045696200,0.855000,0.097000,0.523000,1.500000,-7.500000,-2.000000
5157,4112226905,57805,4131.207856700,0.058561700,0.863000,0.111000,0.509000,1.100000,-3.700000,0.400000
5158,4112246041,76941,4131.226106700,0.076811700,0.804000,0.100000,0.594000,5.100000,-4.100000,1.900000
5159,4112265238,96138,4131.245866200,0.096571200,0.735000,0.000000,0.662000,13.000000,-9.800000,-2.800000
5160,4112284527,115427,4131.264283900,0.114988900,1.070000,-0.026000,0.494000,9.100000,-34.300000,-10.600000
5161,4112303815,134715,4131.284370300,0.135075300,0.851000,0.284000,0.375000,-5.700000,-12.500000,-14.300000
5162,4112323012,153912,4131.306866500,0.157571500,0.869000,0.177000,0.397000,1.400000,-7.400000,-9.000000
5163,4112342179,173079,4131.322292100,0.172997100,0.880000,0.136000,0.514000,-1.600000,-8.000000,-5.100000
5164,4112361468,192368,4131.343467700,0.194172700,0.888000,0.165000,0.421000,-5.800000,-14.200000,-4.500000
5165,4112380695,211595,4131.360312600,0.211017600,0.867000,0.118000,0.427000,-11.600000,-8.600000,-21.100000
5166,4112399892,230792,4131.381258900,0.231963900,0.836000,0.126000,0.538000,-13.800000,-0.700000,-18.400000
5167,4112419120,250020,4131.405811900,0.256516900,0.817000,0.041000,0.628000,-4.700000,-1.200000,-16.600000
5168,4112438409,269309,4131.418302800,0.269007800,0.862000,0.056000,0.568000,-5.500000,6.200000,-17.400000
5169,4112457575,288475,4131.438510400,0.289215400,0.805000,0.088000,0.552000,5.100000,-1.600000,-1.100000
5170,4112476803,307703,4131.456426900,0.307131900,0.904000,0.198000,0.445000,21.500000,-5.300000,12.800000
5171,4112496030,326930,4131.476320400,0.327025400,0.952000,0.752000,0.344000,17.100000,-5.400000,17.200000
5172,4112515227,346127,4131.496033600,0.346738600,0.860000,0.040000,0.439000,-3.900000,-16.600000,40.200000
5173,4112534577,365477,4131.516753500,0.367458500,0.888000,-0.019000,0.488000,-35.500000,-18.900000,32.600000
5174,4112553713,384613,4131.533109400,0.383814400,0.837000,-0.055000,0.472000,-21.200000,-6.000000,-8.700000
5175,4112572971,403871,4131.553152800,0.403857800,0.813000,0.052000,0.463000,-8.000000,1.400000,-28.000000
5176,4112592199,423099,4131.572319400,0.423024400,0.903000,0.115000,0.472000,-1.800000,13.900000,-29.000000
5177,4112611488,442388,4131.591286800,0.441991800,1.049000,0.276000,0.381000,-19.700000,21.400000,-6.000000
5178,4112630654,461554,4131.610580300,0.461285300,0.895000,0.269000,0.422000,-21.800000,34.700000,17.600000
5179,4112649821,480721,4131.629173000,0.479878000,0.821000,0.173000,0.528000,-20.700000,35.700000,27.200000
5180,4112669109,500009,4131.650499200,0.501204200,0.775000,0.000000,0.636000,-18.400000,25.300000,24.900000
5181,4112688337,519237,4131.668156700,0.518861700,0.716000,-0.035000,0.667000,-9.200000,12.600000,6.000000
5182,4112707595,538495,4131.687419500,0.538124500,0.765000,-0.032000,0.638000,5.800000,-2.600000,-1.200000
5183,4112726823,557723,4131.706125600,0.556830600,0.838000,0.046000,0.555000,9.400000,-2.100000,-2.300000
5184,4112746050,576950,4131.726118800,0.576823800,0.831000,0.098000,0.525000,12.600000,-4.500000,-2.200000
5185,4112765247,596147,4131.747935100,0.598640100,0.880000,0.136000,0.500000,10.400000,-1.700000,-1.600000
5186,4112784536,615436,4131.764204900,0.614909900,0.840000,0.124000,0.534000,4.600000,0.200000,1.700000
5187,4112803702,634602,4131.783187100,0.633892100,0.880000,0.041000,0.536000,6.600000,-2.000000,-1.400000
5188,4112822900,653800,4131.802221100,0.652926100,0.861000,0.103000,0.526000,4.300000,1.600000,-3.100000
5189,4112842188,673088,4131.822199100,0.672904100,0.830000,0.079000,0.539000,1.200000,1.300000,-3.700000
5190,4112861477,692377,4131.841228000,0.691933000,0.850000,0.069000,0.541000,0.500000,-0.800000,-7.300000
5191,4112880674,711574,4131.862922300,0.713627300,0.843000,0.113000,0.533000,0.800000,-0.200000,-9.200000
5192,4112899840,730740,4131.879280200,0.729985200,0.837000,0.108000,0.541000,-2.800000,-0.100000,-7.400000
5193,4112919129,750029,4131.899356900,0.750061900,0.856000,0.087000,0.522000,-3.200000,0.200000,-11.700000
