meta_label,e
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
25363,205820869,0,4519.698823300,0.000000000,0.863000,0.114000,0.513000,3.500000,-5.000000,0.500000
25364,205840066,19197,4519.717833100,0.019009800,0.862000,0.128000,0.496000,5.200000,-5.800000,0.200000
25365,205859385,38516,4519.737738800,0.038915500,0.876000,0.142000,0.456000,3.000000,-4.600000,-2.600000
25366,205878582,57713,4519.756828800,0.058005500,0.873000,0.151000,0.463000,-1.700000,-1.800000,-2.400000
25367,205897871,77002,4519.775867200,0.077043900,0.847000,0.130000,0.516000,-0.300000,-2.300000,-1.500000
25368,205917159,96290,4519.794746900,0.095923600,0.817000,0.105000,0.555000,1.000000,-5.100000,-1.600000
25369,205936356,115487,4519.814758700,0.115935400,0.799000,0.050000,0.612000,14.600000,-15.500000,-0.600000
25370,205955523,134654,4519.835185000,0.136361700,0.984000,0.092000,0.415000,19.900000,-14.000000,-6.300000
25371,205974812,153943,4519.852961500,0.154138200,0.928000,0.212000,0.411000,12.100000,-15.800000,-10.600000
25372,205993917,173048,4519.871742300,0.172919000,0.879000,0.236000,0.341000,4.100000,-8.000000,-4.700000
25373,206013267,192398,4519.893315500,0.194492200,0.942000,0.112000,0.466000,-1.400000,-8.100000,-5.600000
25374,206032433,211564,4519.910784700,0.211961400,0.854000,0.122000,0.370000,-6.700000,-12.300000,-15.200000
25375,206051661,230792,4519.929672000,0.230848700,0.899000,0.222000,0.407000,-9.000000,-7.500000,-19.900000
25376,206070919,250050,4519.948879000,0.250055700,0.829000,0.100000,0.532000,-6.300000,0.200000,-11.500000
25377,206090147,269278,4519.969278000,0.270454700,0.849000,0.193000,0.596000,-5.500000,-2.800000,-3.000000
25378,206109374,288505,4519.987715900,0.288892600,0.839000,0.132000,0.499000,-4.700000,0.000000,-8.200000
25379,206128571,307702,4520.006702000,0.307878700,0.881000,0.143000,0.512000,12.300000,-4.100000,0.700000
25380,206147891,327022,4520.026240100,0.327416800,0.884000,0.155000,0.490000,26.900000,0.200000,11.300000
25381,206167027,346158,4520.044871000,0.346047700,0.884000,0.316000,0.315000,17.100000,-2.100000,26.500000
25382,206186224,365355,4520.063676600,0.364853300,0.826000,0.249000,0.404000,12.000000,-15.000000,19.000000
25383,206205512,384643,4520.084910200,0.386086900,1.026000,0.136000,0.504000,-9.000000,-11.500000,9.300000
25384,206224801,403932,4520.102924300,0.404101000,0.772000,0.064000,0.341000,-27.800000,-12.200000,0.900000
25385,206243937,423068,4520.121904600,0.423081300,0.899000,0.070000,0.486000,-12.000000,-4.700000,-13.500000
25386,206263165,442296,4520.140842400,0.442019100,0.883000,0.116000,0.361000,-16.500000,14.500000,-2.600000
25387,206282453,461584,4520.160693200,0.461869900,1.026000,0.219000,0.336000,-21.100000,25.200000,-6.800000
25388,206301681,480812,4520.179841500,0.481018200,0.935000,0.234000,0.405000,-35.600000,50.300000,4.300000
25389,206320939,500070,4520.198701300,0.499878000,0.860000,0.162000,0.476000,-32.300000,46.900000,12.400000
25390,206340167,519298,4520.217681300,0.518858000,0.747000,0.121000,0.671000,-22.100000,28.700000,17.800000
25391,206359394,538525,4520.240245700,0.541422400,0.747000,-0.030000,0.662000,-8.900000,6.300000,2.400000
25392,206378561,557692,4520.256810000,0.557986700,0.745000,0.014000,0.621000,8.000000,-10.300000,-1.400000
25393,206397788,576919,4520.275747900,0.576924600,0.840000,0.093000,0.495000,14.800000,-13.000000,-5.200000
25394,206417016,596147,4520.296496500,0.597673200,0.901000,0.156000,0.463000,12.400000,-8.500000,-5.200000
25395,206436213,615344,4520.313808000,0.614984700,0.905000,0.166000,0.450000,7.600000,-4.100000,-2.500000
25396,206455563,634694,4520.333791300,0.634968000,0.901000,0.124000,0.450000,5.300000,2.500000,-3.700000
25397,206474699,653830,4520.352835700,0.654012400,0.860000,0.119000,0.510000,3.700000,4.800000,-4.800000
25398,206493957,673088,4520.371839400,0.673016100,0.854000,0.087000,0.534000,3.100000,0.900000,-7.200000
25399,206513184,692315,4520.393390400,0.694567100,0.842000,0.096000,0.537000,4.200000,-1.600000,-9.100000
25400,206532473,711604,4520.410750800,0.711927500,0.845000,0.085000,0.551000,4.400000,-5.300000,-12.100000
25401,206551701,730832,4520.432240700,0.733417400,0.854000,0.106000,0.528000,4.200000,-8.900000,-15.100000
