meta_label,G
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
7696,1408670834,0,1220.295789600,0.000000000,0.890000,-0.148000,0.439000,-1.300000,-5.100000,-7.500000
7697,1408690123,19289,1220.314587900,0.018798300,0.886000,-0.120000,0.436000,-1.000000,-5.700000,-12.700000
7698,1408709259,38425,1220.334403100,0.038613500,0.870000,-0.097000,0.449000,-2.900000,-5.500000,-12.300000
7699,1408728609,57775,1220.353618700,0.057829100,0.876000,-0.104000,0.469000,-0.600000,-11.200000,-12.300000
7700,1408747775,76941,1220.372607500,0.076817900,0.899000,-0.113000,0.441000,1.100000,-12.500000,-13.700000
7701,1408767064,96230,1220.391563300,0.095773700,0.914000,-0.072000,0.409000,-5.500000,-10.900000,-22.300000
7702,1408786230,115396,1220.410583400,0.114793800,0.900000,-0.045000,0.411000,-12.000000,-4.000000,-21.100000
7703,1408805397,134563,1220.432234000,0.136444400,0.877000,-0.086000,0.465000,-11.100000,-8.900000,-20.400000
7704,1408824716,153882,1220.449483700,0.153694100,0.986000,-0.061000,0.362000,-13.000000,-5.300000,-6.400000
7705,1408844005,173171,1220.468515000,0.172725400,0.940000,-0.062000,0.420000,-9.700000,-6.000000,-5.400000
7706,1408863171,192337,1220.487704100,0.191914500,0.913000,-0.100000,0.364000,-1.300000,-4.900000,-5.300000
7707,1408882460,211626,1220.506572600,0.210783000,0.890000,-0.090000,0.434000,2.700000,-3.600000,4.800000
7708,1408901627,230793,1220.532660300,0.236870700,0.952000,-0.043000,0.413000,16.200000,-8.200000,1.800000
7709,1408920854,250020,1220.545375700,0.249586100,0.912000,0.098000,0.434000,11.100000,-22.700000,25.000000
7710,1408940143,269309,1220.564625900,0.268836300,0.906000,-0.073000,0.317000,12.900000,-11.400000,9.200000
7711,1408959279,288445,1220.587268300,0.291478700,0.922000,-0.071000,0.413000,-14.600000,-20.000000,17.100000
7712,1408978476,307642,1220.602615100,0.306825500,0.914000,-0.138000,0.395000,-17.000000,-0.200000,1.400000
7713,1408997765,326931,1220.626768000,0.330978400,0.908000,-0.142000,0.397000,-15.800000,-5.900000,-18.900000
7714,1409017084,346250,1220.641567800,0.345778200,0.885000,-0.108000,0.427000,-10.500000,8.600000,-10.200000
