meta_label,g
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
13319,1516801119,0,1328.410846100,0.000000000,0.914000,-0.088000,0.416000,-0.500000,-1.200000,-6.700000
13320,1516820408,19289,1328.426130900,0.015284800,0.896000,-0.092000,0.436000,-5.100000,-4.400000,-10.000000
13321,1516839666,38547,1328.445215000,0.034368900,0.882000,-0.101000,0.438000,-8.000000,-7.800000,-11.300000
13322,1516858863,57744,1328.464112400,0.053266300,0.877000,-0.127000,0.443000,-8.200000,-10.400000,-13.700000
13323,1516878151,77032,1328.484026600,0.073180500,0.986000,-0.023000,0.361000,-12.200000,-6.100000,-11.100000
13324,1516897348,96229,1328.506364600,0.095518500,0.916000,-0.048000,0.378000,-12.400000,-1.700000,-1.200000
13325,1516916515,115396,1328.522030000,0.111183900,0.884000,-0.113000,0.401000,-9.300000,-4.100000,0.200000
13326,1516935804,134685,1328.542966300,0.132120200,0.935000,-0.140000,0.451000,-3.600000,-2.000000,-3.700000
13327,1516954970,153851,1328.559957600,0.149111500,0.927000,-0.171000,0.375000,3.400000,0.100000,-4.000000
13328,1516974137,173018,1328.580237400,0.169391300,0.891000,0.007000,0.410000,6.100000,-8.900000,13.700000
13329,1516993456,192337,1328.599588600,0.188742500,0.945000,-0.004000,0.414000,1.600000,-14.000000,11.200000
13330,1517012745,211626,1328.618098800,0.207252700,0.941000,0.041000,0.342000,-6.200000,-4.200000,0.000000
13331,1517031911,230792,1328.642506600,0.231660500,0.906000,-0.076000,0.422000,-19.800000,-10.400000,-3.600000
13332,1517051139,250020,1328.657178100,0.246332000,0.866000,-0.161000,0.376000,-16.900000,4.200000,-17.600000
13333,1517070366,269247,1328.676110800,0.265264700,0.898000,-0.211000,0.536000,-8.400000,8.200000,-11.000000
13334,1517089594,288475,1328.695476200,0.284630100,0.940000,-0.137000,0.426000,-1.400000,-10.200000,-13.000000
13335,1517108883,307764,1328.714138400,0.303292300,0.919000,-0.053000,0.258000,4.400000,-4.800000,-10.500000
13336,1517128019,326900,1328.733161500,0.322315400,0.952000,0.048000,0.449000,5.900000,1.200000,-3.500000
13337,1517147307,346188,1328.753108400,0.342262300,0.934000,-0.074000,0.428000,1.600000,-33.500000,22.600000
13338,1517166535,365416,1328.772098700,0.361252600,0.898000,-0.062000,0.295000,4.300000,-25.300000,19.500000
13339,1517185824,384705,1328.796194700,0.385348600,0.899000,-0.112000,0.425000,-1.400000,-21.200000,15.000000
13340,1517204990,403871,1328.810225200,0.399379100,0.910000,-0.233000,0.367000,9.800000,-0.300000,4.300000
13341,1517224157,423038,1328.830038600,0.419192500,0.895000,-0.145000,0.303000,14.600000,-11.900000,-8.600000
13342,1517243445,442326,1328.851252400,0.440406300,0.851000,-0.032000,0.345000,-1.500000,-6.200000,12.300000
13343,1517262673,461554,1328.868120900,0.457274800,0.894000,0.063000,0.279000,1.800000,8.100000,12.400000
13344,1517281900,480781,1328.889180200,0.478334100,0.961000,-0.056000,0.332000,2.600000,5.800000,4.700000
13345,1517301098,499979,1328.907242200,0.496396100,1.032000,-0.147000,0.329000,11.500000,17.100000,2.000000
13346,1517320386,519267,1328.926106400,0.515260300,1.030000,0.067000,0.361000,-16.200000,16.600000,4.100000
13347,1517339614,538495,1328.949236000,0.538389900,0.876000,-0.081000,0.360000,-22.700000,29.200000,22.700000
13348,1517358902,557783,1328.964088500,0.553242400,0.871000,-0.176000,0.466000,-17.700000,14.900000,16.500000
13349,1517378038,576919,1328.983105000,0.572258900,0.886000,-0.211000,0.385000,-9.500000,15.200000,16.800000
13350,1517397236,596117,1329.003280600,0.592434500,0.881000,-0.229000,0.431000,-6.100000,15.000000,9.900000
13351,1517416524,615405,1329.022228700,0.611382600,0.864000,-0.197000,0.437000,-2.100000,12.700000,3.100000
13352,1517435843,634724,1329.046942100,0.636096000,0.880000,-0.200000,0.445000,1.100000,10.900000,-6.500000
13353,1517455010,653891,1329.060276200,0.649430100,0.889000,-0.152000,0.437000,4.300000,10.100000,-8.200000
13354,1517474176,673057,1329.080819900,0.669973800,0.911000,-0.118000,0.420000,9.000000,11.400000,-6.800000
13355,1517493465,692346,1329.102339900,0.691493800,0.908000,-0.084000,0.410000,13.500000,15.900000,-5.800000
13356,1517512632,711513,1329.118285000,0.707438900,0.913000,-0.077000,0.418000,14.600000,21.300000,-3.400000
13357,1517531798,730679,1329.138637500,0.727791400,0.903000,-0.083000,0.432000,15.000000,26.400000,-2.300000
13358,1517551087,749968,1329.156196700,0.745350600,0.880000,-0.095000,0.465000,13.100000,28.100000,0.700000
13359,1517570406,769287,1329.176079700,0.765233600,0.862000,-0.133000,0.482000,15.700000,26.400000,1.300000
13360,1517589573,788454,1329.198035100,0.787189000,0.871000,-0.158000,0.487000,19.600000,23.500000,0.000000
13361,1517608861,807742,1329.214206600,0.803360500,0.901000,-0.162000,0.468000,24.500000,23.300000,-2.800000
13362,1517628028,826909,1329.238626800,0.827780700,0.872000,-0.120000,0.463000,16.000000,25.800000,-4.500000
13363,1517647255,846136,1329.253364300,0.842518200,0.853000,-0.106000,0.505000,3.200000,25.200000,-1.300000
13364,1517666544,865425,1329.272221400,0.861375300,0.839000,-0.143000,0.532000,3.800000,19.400000,-3.100000
13365,1517685680,884561,1329.291484900,0.880638800,0.845000,-0.133000,0.532000,9.100000,12.000000,-5.200000
13366,1517704877,903758,1329.310241500,0.899395400,0.844000,-0.111000,0.524000,6.700000,9.700000,-5.600000
13367,1517724166,923047,1329.333648400,0.922802300,0.850000,-0.107000,0.535000,5.200000,7.100000,-5.900000
13368,1517743485,942366,1329.349285300,0.938439200,0.848000,-0.091000,0.533000,4.500000,5.200000,-6.000000
13369,1517762652,961533,1329.368297000,0.957450900,0.856000,-0.105000,0.531000,5.000000,4.300000,-4.700000
13370,1517781818,980699,1329.389524500,0.978678400,0.864000,-0.109000,0.521000,5.900000,4.400000,-4.600000
13371,1517801137,1000018,1329.406070500,0.995224400,0.860000,-0.106000,0.521000,3.700000,5.700000,-6.600000
13372,1517820426,1019307,1329.426080600,1.015234500,0.866000,-0.112000,0.515000,0.800000,6.800000,-7.700000
13373,1517839592,1038473,1329.446532600,1.035686500,0.855000,-0.099000,0.545000,13.600000,6.500000,-14.400000
13374,1517858820,1057701,1329.464106800,1.053260700,0.867000,-0.079000,0.527000,1.200000,8.000000,-11.100000
13375,1517878048,1076929,1329.486903100,1.076057000,0.874000,-0.065000,0.519000,5.300000,10.800000,-13.200000
13376,1517897275,1096156,1329.503089000,1.092242900,0.893000,-0.075000,0.537000,6.100000,12.800000,-18.200000
13377,1517916564,1115445,1329.522061600,1.111215500,0.885000,-0.031000,0.539000,10.100000,14.700000,-23.100000
13378,1517935700,1134581,1329.541424300,1.130578200,0.865000,0.010000,0.546000,7.400000,17.900000,-17.900000
13379,1517954989,1153870,1329.560058600,1.149212500,0.836000,-0.007000,0.579000,9.100000,15.400000,-15.500000
13380,1517974186,1173067,1329.583448100,1.172602000,0.814000,-0.038000,0.581000,15.000000,9.400000,-17.500000
13381,1517993474,1192355,1329.599142700,1.188296600,0.803000,-0.035000,0.575000,19.400000,4.500000,-22.400000
13382,1518012671,1211552,1329.618036300,1.207190200,0.803000,-0.034000,0.584000,20.100000,0.100000,-28.200000
13383,1518031838,1230719,1329.640479500,1.229633400,0.811000,-0.027000,0.571000,21.800000,-3.100000,-34.100000
13384,1518051127,1250008,1329.656165700,1.245319600,0.809000,-0.026000,0.526000,37.000000,1.200000,-38.400000
