meta_label,H
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
10515,3701065728,0,847.300601100,0.000000000,0.875000,-0.015000,0.585000,7.400000,-19.300000,-26.800000
10516,3701084956,19228,847.315301900,0.014700800,0.946000,0.150000,0.469000,0.000000,-7.800000,-28.500000
10517,3701104153,38425,847.334187600,0.033586500,0.885000,0.105000,0.404000,-2.500000,-8.700000,-13.300000
10518,3701123472,57744,847.365609800,0.065008700,0.931000,0.208000,0.503000,12.100000,-3.800000,-14.400000
10519,3701142608,76880,847.372195100,0.071594000,0.834000,0.219000,0.454000,6.600000,-7.600000,19.000000
10520,3701161805,96077,847.391650100,0.091049000,0.854000,0.216000,0.415000,2.700000,-9.500000,22.500000
10521,3701181094,115366,847.413471000,0.112869900,0.834000,0.048000,0.491000,-0.400000,4.300000,16.600000
10522,3701200413,134685,847.430176700,0.129575600,0.851000,0.022000,0.610000,-16.400000,-3.700000,2.100000
10523,3701219580,153852,847.449194800,0.148593700,0.853000,-0.121000,0.511000,-12.200000,2.000000,-35.000000
10524,3701238746,173018,847.468242900,0.167641800,0.914000,0.264000,0.543000,-12.400000,-10.700000,-22.000000
10525,3701258035,192307,847.488158200,0.187557100,0.889000,0.196000,0.406000,-8.000000,-11.300000,-15.600000
10526,3701277262,211534,847.512021500,0.211420400,0.898000,0.135000,0.529000,-5.400000,-9.900000,3.800000
10527,3701296520,230792,847.526263700,0.225662600,0.899000,0.180000,0.439000,-4.400000,2.600000,9.700000
10528,3701315656,249928,847.545211500,0.244610400,0.842000,0.054000,0.441000,-3.500000,6.600000,11.400000
10529,3701334976,269248,847.566331100,0.265730000,0.862000,-0.071000,0.451000,-4.400000,4.600000,-1.600000
10530,3701354142,288414,847.584210300,0.283609200,0.836000,-0.003000,0.536000,-7.900000,14.100000,-30.000000
10531,3701373370,307642,847.603370700,0.302769600,0.754000,0.065000,0.627000,-12.400000,8.000000,-34.500000
10532,3701392597,326869,847.622213200,0.321612100,0.961000,0.079000,0.593000,0.000000,-8.700000,-26.100000
10533,3701411794,346066,847.645216900,0.344615800,0.877000,0.149000,0.458000,3.800000,-10.800000,-6.100000
10534,3701431144,365416,847.661330100,0.360729000,0.945000,0.277000,0.580000,2.600000,-25.700000,38.500000
10535,3701450280,384552,847.680220300,0.379619200,0.778000,0.301000,0.395000,0.700000,-17.400000,63.600000
10536,3701469538,403810,847.700214400,0.399613300,0.819000,0.060000,0.301000,-6.000000,-13.500000,65.500000
10537,3701488766,423038,847.718339600,0.417738500,0.834000,-0.163000,0.538000,-2.100000,-2.900000,25.600000
10538,3701508055,442327,847.738206100,0.437605000,0.869000,-0.091000,0.583000,1.900000,-1.800000,-15.400000
10539,3701527252,461524,847.759948200,0.459347100,0.887000,-0.015000,0.408000,-1.300000,10.000000,-33.200000
10540,3701546449,480721,847.776242400,0.475641300,0.954000,0.302000,0.431000,-2.800000,17.000000,-31.700000
10541,3701565676,499948,847.799782100,0.499181000,0.883000,0.260000,0.452000,-17.500000,23.300000,5.100000
10542,3701584904,519176,847.814256900,0.513655800,0.856000,0.124000,0.534000,-15.300000,20.100000,14.200000
10543,3701604162,538434,847.834211300,0.533610200,0.825000,0.037000,0.575000,-11.400000,15.200000,15.400000
10544,3701623390,557662,847.854792000,0.554190900,0.811000,-0.030000,0.582000,-6.200000,7.600000,11.400000
10545,3701642617,576889,847.872179500,0.571578400,0.829000,-0.025000,0.569000,-0.800000,2.600000,-1.600000
10546,3701661845,596117,847.893462500,0.592861400,0.835000,0.045000,0.537000,3.200000,-1.700000,-0.800000
10547,3701681133,615405,847.911523900,0.610922800,0.884000,0.078000,0.481000,1.600000,3.500000,1.200000
10548,3701700270,634542,847.930912700,0.630311600,0.884000,0.105000,0.505000,-1.800000,7.900000,3.800000
10549,3701719467,653739,847.949120800,0.648519700,0.857000,0.077000,0.520000,-3.700000,8.000000,5.000000
10550,3701738755,673027,847.968251200,0.667650100,0.879000,0.052000,0.513000,-4.100000,9.200000,4.700000
10551,3701758044,692316,847.989024500,0.688423400,0.843000,0.067000,0.540000,-4.900000,10.600000,3.300000
10552,3701777180,711452,848.007302800,0.706701700,0.819000,0.053000,0.568000,-5.300000,9.400000,4.700000
