meta_label,h
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
23343,449305398,0,261.098784200,0.000000000,0.894000,0.141000,0.426000,3.200000,-5.300000,-1.000000
23344,449324718,19320,261.123455600,0.024671400,0.888000,0.129000,0.439000,1.500000,-5.200000,-1.300000
23345,449343884,38486,261.137547300,0.038763100,0.890000,0.109000,0.444000,4.100000,-4.800000,-0.400000
23346,449363051,57653,261.156608600,0.057824400,0.885000,0.107000,0.452000,6.400000,-7.200000,1.400000
23347,449382339,76941,261.183184100,0.084399900,0.902000,0.125000,0.424000,7.400000,-8.000000,2.000000
23348,449401659,96261,261.196458100,0.097673900,0.909000,0.152000,0.393000,7.900000,-5.800000,1.800000
23349,449420795,115397,261.214814500,0.116030300,0.912000,0.161000,0.386000,-1.200000,-1.300000,-2.300000
23350,449439992,134594,261.234674200,0.135890000,0.871000,0.092000,0.449000,-7.300000,0.000000,-7.300000
23351,449459280,153882,261.252619400,0.153835200,0.855000,0.089000,0.486000,-8.100000,-4.300000,-17.400000
23352,449478447,173049,261.271768100,0.172983900,0.903000,0.114000,0.475000,-9.800000,-11.400000,-25.400000
23353,449497735,192337,261.291736800,0.192952600,0.930000,0.218000,0.414000,-14.700000,-6.700000,-15.700000
23354,449516902,211504,261.311157100,0.212372900,0.906000,0.076000,0.374000,-3.200000,-7.500000,-0.600000
23355,449536130,230732,261.329691300,0.230907100,0.913000,0.212000,0.447000,9.100000,-1.900000,0.300000
23356,449555418,250020,261.354120200,0.255336000,0.920000,0.142000,0.447000,11.200000,-9.800000,34.900000
23357,449574585,269187,261.367684800,0.268900600,0.883000,0.149000,0.396000,14.600000,-4.900000,28.500000
23358,449593843,288445,261.387742700,0.288958500,0.874000,0.096000,0.464000,0.900000,1.500000,-1.500000
23359,449613040,307642,261.407309900,0.308525700,0.897000,0.044000,0.475000,-10.000000,-6.300000,-2.400000
23360,449632329,326931,261.429572300,0.330788100,0.939000,0.025000,0.375000,-9.100000,-10.100000,-21.600000
23361,449651526,346128,261.444781900,0.345997700,0.884000,0.206000,0.385000,-12.900000,-9.000000,-27.500000
23362,449670692,365294,261.464685800,0.365901600,0.908000,0.190000,0.427000,-10.200000,-8.000000,-13.400000
23363,449690011,384613,261.483955200,0.385171000,0.873000,0.067000,0.482000,0.000000,-4.100000,1.400000
23364,449709300,403902,261.502761400,0.403977200,0.904000,0.179000,0.437000,8.600000,-7.800000,-2.300000
23365,449729047,423649,261.522884200,0.424100000,0.918000,0.276000,0.420000,9.100000,-8.900000,26.500000
23366,449747694,442296,261.544927200,0.446143000,0.892000,0.022000,0.284000,13.000000,3.200000,28.200000
23367,449766952,461554,261.560792100,0.462007900,0.898000,0.076000,0.393000,-4.200000,0.000000,12.700000
23368,449786088,480690,261.579697400,0.480913200,0.951000,-0.016000,0.401000,-9.400000,2.000000,-19.100000
23369,449805347,499949,261.599526900,0.500742700,1.026000,0.262000,0.269000,-24.600000,27.500000,-20.100000
23370,449824605,519207,261.617625400,0.518841200,0.857000,0.265000,0.430000,-21.800000,24.200000,5.300000
23371,449843863,538465,261.638578500,0.539794300,0.841000,0.164000,0.534000,-14.800000,16.500000,14.400000
23372,449863060,557662,261.656738900,0.557954700,0.846000,0.010000,0.534000,-6.400000,4.900000,10.700000
23373,449882623,577225,261.675661200,0.576877000,0.869000,0.037000,0.498000,-2.100000,0.900000,-0.700000
23374,449901546,596148,261.698406800,0.599622600,0.893000,0.100000,0.457000,-1.300000,-2.500000,-6.800000
23375,449920773,615375,261.714764900,0.615980700,0.894000,0.136000,0.435000,-1.400000,-0.400000,-2.300000
23376,449940001,634603,261.733883100,0.635098900,0.870000,0.106000,0.478000,0.400000,-1.200000,1.900000
23377,449959167,653769,261.752624400,0.653840200,0.888000,0.089000,0.465000,2.600000,-4.100000,-0.700000
23378,449978487,673089,261.771610500,0.672826300,0.913000,0.097000,0.434000,0.700000,-4.400000,-3.200000
