meta_label,h
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
43254,1064060248,0,1083.582542900,0.000000000,0.844000,0.324000,0.424000,2.900000,-4.700000,4.600000
43255,1064079567,19319,1083.607021200,0.024478300,0.860000,0.303000,0.431000,2.800000,-3.800000,5.500000
43256,1064098794,38546,1083.621750100,0.039207200,0.850000,0.295000,0.446000,4.800000,-3.500000,6.100000
43257,1064117991,57743,1083.640700800,0.058157900,0.851000,0.281000,0.440000,7.100000,-2.300000,6.400000
43258,1064137188,76940,1083.659625400,0.077082500,0.835000,0.296000,0.430000,4.500000,-4.700000,1.500000
43259,1064156477,96229,1083.678651200,0.096108300,0.833000,0.300000,0.430000,2.200000,-5.600000,-3.800000
43260,1064175644,115396,1083.698959700,0.116416800,0.826000,0.296000,0.444000,-0.200000,-7.400000,-9.900000
43261,1064194871,134623,1083.721765400,0.139222500,0.805000,0.269000,0.469000,-3.200000,-10.800000,-28.700000
43262,1064214099,153851,1083.736639100,0.154096200,0.766000,0.323000,0.544000,2.200000,-26.700000,-17.500000
43263,1064233296,173048,1083.760008900,0.177466000,1.030000,0.326000,0.353000,-6.400000,-10.800000,-5.800000
43264,1064252646,192398,1083.775728400,0.193185500,0.888000,0.400000,0.323000,5.900000,-1.900000,-8.300000
43265,1064271782,211534,1083.794654300,0.212111400,0.897000,0.361000,0.388000,7.200000,2.400000,31.000000
43266,1064291101,230853,1083.813715100,0.231172200,0.840000,0.362000,0.412000,7.300000,6.600000,55.800000
43267,1064310267,250019,1083.834551100,0.252008200,0.791000,0.285000,0.406000,9.000000,5.300000,39.500000
43268,1064329556,269308,1083.851678300,0.269135400,0.869000,0.161000,0.466000,4.800000,-2.200000,-12.300000
43269,1064348784,288536,1083.871767900,0.289225000,0.872000,0.266000,0.465000,-18.500000,-8.800000,-9.000000
43270,1064367981,307733,1083.896371900,0.313829000,0.828000,0.124000,0.323000,-13.300000,-8.800000,-36.600000
43271,1064387208,326960,1083.909758700,0.327215800,0.919000,0.560000,0.378000,-17.700000,-20.700000,-32.800000
43272,1064406497,346249,1083.928514600,0.345971700,0.804000,0.252000,0.546000,-9.000000,3.900000,-5.700000
43273,1064425663,365415,1083.952052400,0.369509500,0.856000,0.329000,0.460000,10.600000,-9.700000,-3.400000
43274,1064444891,384643,1083.967683400,0.385140500,0.895000,0.507000,0.283000,4.600000,-3.600000,43.800000
43275,1064464119,403871,1083.986630600,0.404087700,0.818000,0.315000,0.341000,1.800000,8.500000,26.600000
43276,1064483316,423068,1084.012590800,0.430047900,0.842000,0.259000,0.434000,-4.300000,-3.600000,23.700000
43277,1064502635,442387,1084.024776600,0.442233700,0.887000,0.167000,0.500000,-10.100000,1.500000,-9.300000
43278,1064521863,461615,1084.044501300,0.461958400,1.006000,0.292000,0.259000,-21.700000,0.400000,-49.900000
43279,1064541121,480873,1084.066614600,0.484071700,0.880000,0.482000,0.281000,-41.000000,20.000000,-26.900000
43280,1064560287,500039,1084.083491000,0.500948100,0.792000,0.371000,0.492000,-33.600000,29.900000,-7.700000
43281,1064579576,519328,1084.102110700,0.519567800,0.745000,0.240000,0.612000,-22.100000,17.500000,7.100000
43282,1064598742,538494,1084.121668000,0.539125100,0.779000,0.175000,0.606000,-3.100000,4.400000,0.400000
43283,1064617909,557661,1084.140567400,0.558024500,0.811000,0.270000,0.507000,5.400000,-5.100000,-2.200000
43284,1064637198,576950,1084.162647100,0.580104200,0.875000,0.321000,0.398000,4.200000,-2.300000,-3.500000
43285,1064656425,596177,1084.178697700,0.596154800,0.859000,0.351000,0.395000,-0.900000,1.000000,-1.600000
43286,1064675683,615435,1084.198575100,0.616032200,0.867000,0.264000,0.460000,-3.000000,5.600000,3.500000
43287,1064694850,634602,1084.217665500,0.635122600,0.843000,0.290000,0.464000,-1.400000,6.800000,1.800000
43288,1064714139,653891,1084.239637800,0.657094900,0.823000,0.297000,0.479000,-4.200000,5.800000,3.900000
43289,1064733336,673088,1084.255812400,0.673269500,0.829000,0.278000,0.482000,-1.300000,2.800000,1.700000
43290,1064752594,692346,1084.274614900,0.692072000,0.813000,0.313000,0.492000,-2.100000,1.700000,2.300000
43291,1064771791,711543,1084.299780800,0.717237900,0.832000,0.272000,0.495000,-3.300000,-0.900000,0.300000
43292,1064790988,730740,1084.318462100,0.735919200,0.847000,0.251000,0.482000,-0.800000,-2.400000,-2.500000
