meta_label,L
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
41091,1022465882,0,1041.996914200,0.000000000,0.849000,-0.411000,0.351000,4.400000,-2.900000,-6.600000
41092,1022485049,19167,1042.014857900,0.017943700,0.870000,-0.350000,0.361000,3.900000,-2.400000,-4.100000
41093,1022504216,38334,1042.033923600,0.037009400,0.864000,-0.351000,0.358000,4.000000,0.000000,-4.300000
41094,1022523535,57653,1042.058562400,0.061648200,0.822000,-0.444000,0.357000,0.500000,5.800000,-12.400000
41095,1022542823,76941,1042.072926500,0.076012300,0.761000,-0.542000,0.367000,3.700000,11.300000,-32.600000
41096,1022561990,96108,1042.092610900,0.095696700,1.018000,-0.328000,0.326000,11.300000,6.000000,-51.000000
41097,1022581217,115335,1042.111608900,0.114694700,0.864000,-0.110000,0.491000,-18.300000,-0.900000,-11.400000
41098,1022600445,134563,1042.129881000,0.132966800,0.873000,-0.193000,0.376000,-1.800000,-7.800000,-1.500000
41099,1022619612,153730,1042.150072600,0.153158400,0.932000,-0.318000,0.539000,8.300000,-17.500000,11.500000
41100,1022638839,172957,1042.169524500,0.172610300,0.862000,-0.497000,0.199000,18.900000,-68.000000,28.000000
41101,1022658067,192185,1042.188003300,0.191089100,0.822000,-0.341000,0.149000,28.000000,-15.400000,-2.200000
41102,1022677264,211382,1042.210482000,0.213567800,0.856000,-0.298000,0.467000,-3.800000,-14.900000,2.600000
41103,1022696614,230732,1042.227024500,0.230110300,0.883000,-0.290000,0.354000,-15.800000,1.700000,-6.200000
41104,1022715750,249868,1042.248833100,0.251918900,0.891000,-0.298000,0.299000,-21.100000,-1.600000,-4.500000
41105,1022735069,269187,1042.264860500,0.267946300,0.995000,-0.275000,0.290000,-18.000000,5.000000,-21.500000
41106,1022754235,288353,1042.284036100,0.287121900,0.853000,-0.261000,0.354000,-8.300000,8.200000,0.700000
41107,1022773524,307642,1042.302989900,0.306075700,0.886000,-0.358000,0.452000,4.300000,-6.400000,10.400000
41108,1022792752,326870,1042.322984300,0.326070100,0.946000,-0.372000,0.279000,15.700000,-0.400000,13.400000
41109,1022811979,346097,1042.344233500,0.347319300,1.107000,0.047000,0.282000,-25.000000,29.400000,42.900000
41110,1022831176,365294,1042.361082400,0.364168200,0.986000,-0.084000,0.361000,-71.800000,41.000000,94.200000
41111,1022850404,384522,1042.379979700,0.383065500,0.759000,-0.486000,0.432000,-63.800000,28.600000,93.100000
41112,1022869601,403719,1042.408520100,0.411605900,0.598000,-0.758000,0.405000,-35.300000,4.300000,62.000000
41113,1022888798,422916,1042.418931800,0.422017600,0.655000,-0.746000,0.324000,-6.900000,-6.800000,26.700000
41114,1022908117,442235,1042.437833600,0.440919400,0.748000,-0.644000,0.300000,10.600000,-12.300000,6.300000
41115,1022927314,461432,1042.458631100,0.461716900,0.794000,-0.500000,0.323000,15.300000,-7.300000,-2.500000
41116,1022946572,480690,1042.476973000,0.480058800,0.837000,-0.412000,0.350000,10.700000,-0.800000,-5.900000
41117,1022965831,499949,1042.496029900,0.499115700,0.847000,-0.367000,0.397000,3.700000,0.600000,2.900000
41118,1022985089,519207,1042.515138800,0.518224600,0.834000,-0.418000,0.377000,3.200000,-3.900000,4.100000
41119,1023004255,538373,1042.534069700,0.537155500,0.816000,-0.469000,0.346000,6.600000,-5.900000,1.600000
41120,1023023544,557662,1042.555593600,0.558679400,0.819000,-0.497000,0.324000,11.200000,-9.000000,-2.400000
41121,1023042710,576828,1042.573079200,0.576165000,0.826000,-0.465000,0.349000,14.000000,-6.200000,-2.900000
41122,1023061877,595995,1042.592012000,0.595097800,0.846000,-0.452000,0.326000,13.600000,-4.400000,-5.200000
41123,1023081166,615284,1042.611753700,0.614839500,0.859000,-0.388000,0.357000,9.900000,2.800000,-5.100000
41124,1023100393,634511,1042.629992700,0.633078500,0.863000,-0.362000,0.376000,3.700000,4.300000,1.100000
41125,1023119651,653769,1042.650753700,0.653839500,0.840000,-0.394000,0.375000,-1.800000,-0.300000,9.100000
41126,1023138879,672997,1042.668898100,0.671983900,0.854000,-0.469000,0.324000,0.000000,-2.300000,8.400000
41127,1023158107,692225,1042.694607900,0.697693700,0.820000,-0.439000,0.329000,0.600000,-0.200000,8.200000
41128,1023177304,711422,1042.707212800,0.710298600,0.819000,-0.464000,0.337000,-3.400000,1.700000,7.400000
41129,1023196623,730741,1042.727065500,0.730151300,0.842000,-0.461000,0.343000,-1.400000,5.400000,2.400000
41130,1023215759,749877,1042.753277700,0.756363500,0.810000,-0.433000,0.382000,-4.800000,6.200000,4.900000
