meta_label,L
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
60962,1636451505,0,3077.251260600,0.000000000,0.814000,-0.079000,0.575000,0.500000,-1.300000,-2.100000
60963,1636470702,19197,3077.271209900,0.019949300,0.826000,-0.081000,0.571000,1.600000,-1.300000,-3.000000
60964,1636489961,38456,3077.290305900,0.039045300,0.822000,-0.084000,0.573000,2.300000,-1.600000,-3.000000
60965,1636509158,57653,3077.311475800,0.060215200,0.816000,-0.085000,0.570000,0.100000,-1.700000,-6.700000
60966,1636528446,76941,3077.328389300,0.077128700,0.813000,-0.093000,0.575000,-3.600000,-0.700000,-19.100000
60967,1636547704,96199,3077.347370100,0.096109500,0.771000,-0.137000,0.606000,-3.800000,-5.500000,-31.000000
60968,1636566963,115458,3077.371217700,0.119957100,0.775000,-0.146000,0.530000,-0.300000,-12.400000,-35.900000
60969,1636586129,134624,3077.386231700,0.134971100,0.945000,0.027000,0.551000,-10.900000,-7.000000,-9.300000
60970,1636605418,153913,3077.405308800,0.154048200,0.848000,-0.057000,0.516000,10.500000,-4.200000,-9.700000
60971,1636624584,173079,3077.425784300,0.174523700,0.866000,0.086000,0.654000,17.800000,-12.300000,23.800000
60972,1636643751,192246,3077.444332000,0.193071400,0.835000,-0.016000,0.568000,16.600000,-21.500000,45.000000
60973,1636663070,211565,3077.463415200,0.212154600,0.840000,-0.180000,0.465000,18.100000,-13.900000,28.700000
60974,1636682359,230854,3077.482447600,0.231187000,0.776000,-0.033000,0.529000,-4.500000,-3.800000,0.000000
60975,1636701525,250020,3077.501375000,0.250114400,0.836000,-0.081000,0.619000,-28.900000,-7.200000,-7.900000
60976,1636720753,269248,3077.522265700,0.271005100,0.849000,-0.014000,0.503000,-25.300000,-7.600000,-14.500000
60977,1636739980,288475,3077.540355200,0.289094600,0.920000,-0.031000,0.495000,-16.100000,-5.800000,-4.400000
60978,1636759147,307642,3077.559509500,0.308248900,0.849000,0.098000,0.489000,-4.300000,-3.300000,-2.900000
60979,1636778497,326992,3077.579968600,0.328708000,0.844000,-0.067000,0.629000,-3.400000,-10.700000,14.900000
60980,1636797633,346128,3077.597300700,0.346040100,0.759000,-0.108000,0.576000,-6.400000,-2.800000,11.000000
60981,1636816830,365325,3077.617589800,0.366329200,0.854000,-0.211000,0.443000,-10.000000,16.900000,-14.700000
60982,1636836118,384613,3077.638277000,0.387016400,0.929000,0.072000,0.491000,-30.200000,31.500000,9.600000
60983,1636855407,403902,3077.655441000,0.404180400,0.855000,-0.103000,0.549000,-29.600000,27.300000,28.900000
60984,1636874604,423099,3077.674499800,0.423239200,0.777000,-0.180000,0.597000,-13.500000,15.400000,30.200000
60985,1636893771,442266,3077.698922200,0.447661600,0.797000,-0.231000,0.590000,-4.400000,8.000000,27.400000
60986,1636913059,461554,3077.717528900,0.466268300,0.775000,-0.196000,0.612000,5.100000,3.100000,14.000000
60987,1636932287,480782,3077.732545500,0.481284900,0.785000,-0.169000,0.608000,8.200000,-1.900000,3.900000
60988,1636951484,499979,3077.751354500,0.500093900,0.839000,-0.104000,0.565000,6.500000,0.900000,-5.400000
60989,1636970681,519176,3077.770364000,0.519103400,0.860000,-0.047000,0.545000,-4.400000,13.300000,-8.200000
60990,1636989909,538404,3077.790270300,0.539009700,0.805000,-0.053000,0.581000,-8.900000,19.800000,-8.200000
60991,1637009167,557662,3077.814167800,0.562907200,0.768000,-0.099000,0.626000,-5.000000,17.100000,-0.300000
60992,1637028394,576889,3077.828359600,0.577099000,0.758000,-0.143000,0.648000,-0.100000,3.800000,2.600000
60993,1637047622,596117,3077.847382400,0.596121800,0.806000,-0.217000,0.603000,9.000000,4.300000,-5.100000
60994,1637066819,615314,3077.868807300,0.617546700,0.837000,-0.184000,0.587000,8.900000,9.200000,-14.300000
60995,1637086138,634633,3077.886448200,0.635187600,0.810000,-0.065000,0.591000,7.700000,9.100000,-14.700000
60996,1637105366,653861,3077.908309600,0.657049000,0.833000,-0.051000,0.578000,3.900000,7.900000,-8.800000
