meta_label,l
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
30566,1848460952,0,1660.008525900,0.000000000,0.859000,-0.221000,0.460000,-0.800000,-0.200000,0.100000
30567,1848480149,19197,1660.034921800,0.026395900,0.855000,-0.234000,0.472000,-0.300000,-1.800000,-1.000000
30568,1848499437,38485,1660.046631600,0.038105700,0.859000,-0.223000,0.467000,1.400000,-3.100000,-1.700000
30569,1848518757,57805,1660.066518400,0.057992500,0.861000,-0.209000,0.467000,1.700000,-4.100000,-0.600000
30570,1848537923,76971,1660.087463000,0.078937100,0.868000,-0.211000,0.462000,2.200000,-3.900000,-0.200000
30571,1848557090,96138,1660.104525700,0.095999800,0.858000,-0.242000,0.463000,2.900000,-3.700000,-4.400000
30572,1848576378,115426,1660.127297100,0.118771200,0.832000,-0.267000,0.475000,1.200000,-5.100000,-13.600000
30573,1848595545,134593,1660.142560200,0.134034300,0.807000,-0.271000,0.506000,3.800000,-10.300000,-21.200000
30574,1848614712,153760,1660.161504700,0.152978800,0.982000,-0.233000,0.392000,4.500000,-14.800000,-30.100000
30575,1848634031,173079,1660.184283200,0.175757300,0.904000,-0.045000,0.466000,-10.500000,-2.100000,-15.600000
30576,1848653319,192367,1660.200582600,0.192056700,0.883000,-0.076000,0.400000,-6.900000,-2.900000,-2.800000
30577,1848672486,211534,1660.221614600,0.213088700,0.917000,-0.158000,0.527000,-0.600000,-5.600000,4.800000
30578,1848691775,230823,1660.238818400,0.230292500,0.885000,-0.051000,0.533000,-1.600000,-25.200000,15.800000
30579,1848710941,249989,1660.258492800,0.249966900,0.884000,-0.292000,0.414000,18.900000,-52.800000,28.200000
30580,1848730169,269217,1660.278116500,0.269590600,0.845000,-0.224000,0.318000,15.400000,-32.100000,32.100000
30581,1848749457,288505,1660.296553600,0.288027700,0.846000,-0.276000,0.298000,13.700000,-8.900000,6.200000
30582,1848768593,307641,1660.316528900,0.308003000,0.897000,-0.301000,0.477000,-13.400000,4.800000,1.200000
30583,1848787790,326838,1660.334594300,0.326068400,0.898000,-0.270000,0.220000,-11.100000,20.700000,-31.600000
30584,1848807079,346127,1660.354680900,0.346155000,1.068000,0.108000,0.414000,-29.600000,47.300000,15.700000
30585,1848826398,365446,1660.373623700,0.365097800,0.907000,-0.012000,0.553000,-32.500000,36.700000,42.500000
30586,1848845565,384613,1660.392718900,0.384193000,0.809000,-0.308000,0.562000,-19.800000,9.400000,40.200000
30587,1848864731,403779,1660.411640000,0.403114100,0.794000,-0.372000,0.490000,-9.900000,0.500000,30.800000
30588,1848884020,423068,1660.433088100,0.424562200,0.793000,-0.378000,0.484000,-7.000000,0.000000,25.200000
30589,1848903339,442387,1660.450507500,0.441981600,0.815000,-0.371000,0.451000,-3.900000,-4.000000,10.800000
30590,1848922506,461554,1660.470937000,0.462411100,0.836000,-0.319000,0.436000,-0.900000,-0.800000,3.300000
30591,1848941733,480781,1660.488668400,0.480142500,0.835000,-0.297000,0.462000,0.200000,-0.700000,1.000000
30592,1848960961,500009,1660.508463800,0.499937900,0.835000,-0.292000,0.459000,3.700000,-0.400000,-1.500000
30593,1848980158,519206,1660.529085400,0.520559500,0.847000,-0.267000,0.475000,5.000000,-2.600000,-2.400000
30594,1848999447,538495,1660.546563400,0.538037500,0.866000,-0.261000,0.454000,4.100000,-2.300000,-1.100000
30595,1849018613,557661,1660.565523800,0.556997900,0.863000,-0.252000,0.478000,5.300000,-3.300000,2.800000
30596,1849037902,576950,1660.585549400,0.577023500,0.858000,-0.261000,0.456000,5.100000,-4.200000,5.100000
30597,1849057099,596147,1660.604403700,0.595877800,0.854000,-0.276000,0.449000,2.000000,-0.300000,4.900000
30598,1849076418,615466,1660.624702900,0.616177000,0.844000,-0.300000,0.450000,-0.600000,1.700000,1.400000
30599,1849095585,634633,1660.642500800,0.633974900,0.839000,-0.304000,0.453000,-0.900000,2.100000,-2.200000
30600,1849114751,653799,1660.661522800,0.652996900,0.842000,-0.279000,0.469000,-0.200000,0.900000,-3.300000
30601,1849134009,673057,1660.681447800,0.672921900,0.841000,-0.280000,0.473000,2.800000,-1.900000,-2.100000
30602,1849153267,692315,1660.700448900,0.691923000,0.847000,-0.289000,0.473000,9.200000,-5.300000,-1.000000
30603,1849172495,711543,1660.719948100,0.711422200,0.860000,-0.280000,0.451000,10.200000,-6.400000,-0.500000
