meta_label,M
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
35967,923931330,0,943.478747400,0.000000000,0.766000,-0.067000,0.634000,16.100000,-21.800000,-7.700000
35968,923950496,19166,943.501971200,0.023223800,0.813000,0.046000,0.563000,17.600000,-30.200000,-22.900000
35969,923969785,38455,943.516963600,0.038216200,0.830000,0.091000,0.554000,14.700000,-32.700000,-27.800000
35970,923989013,57683,943.537203800,0.058456400,1.074000,0.338000,0.371000,-9.500000,-11.400000,-18.600000
35971,924008240,76910,943.556309600,0.077562200,0.879000,0.067000,0.373000,-10.600000,-6.300000,9.100000
35972,924027437,96107,943.574815600,0.096068200,0.897000,0.059000,0.560000,8.100000,-7.100000,33.600000
35973,924046726,115396,943.593830500,0.115083100,0.795000,0.015000,0.595000,12.700000,-10.600000,36.500000
35974,924065893,134563,943.614073500,0.135326100,0.899000,-0.006000,0.482000,1.800000,-10.000000,-11.000000
35975,924085059,153729,943.632908600,0.154161200,0.858000,0.054000,0.426000,-28.000000,-1.400000,2.100000
35976,924104378,173048,943.651744000,0.172996600,0.805000,-0.118000,0.411000,-10.600000,10.600000,-80.200000
35977,924123575,192245,943.674806700,0.196059300,0.858000,0.274000,0.667000,-16.100000,-7.400000,-26.200000
35978,924142864,211534,943.689779200,0.211031800,0.861000,-0.021000,0.505000,-0.500000,-3.400000,-2.600000
35979,924162061,230731,943.709751400,0.231004000,0.974000,0.245000,0.551000,20.800000,-5.200000,-7.700000
35980,924181350,250020,943.729083000,0.250335600,0.794000,0.179000,0.392000,10.600000,-19.300000,51.700000
35981,924200516,269186,943.747921400,0.269174000,0.813000,0.018000,0.513000,5.400000,-16.500000,31.800000
35982,924219805,288475,943.767811600,0.289064200,0.867000,0.095000,0.581000,-7.800000,-2.100000,2.500000
35983,924238972,307642,943.786816300,0.308068900,0.893000,-0.019000,0.425000,-14.300000,-13.800000,-6.800000
35984,924258138,326808,943.807629000,0.328881600,0.823000,-0.007000,0.441000,-8.700000,10.900000,-45.600000
35985,924277457,346127,943.824755100,0.346007700,0.835000,0.119000,0.568000,-10.000000,0.400000,-19.800000
35986,924296715,365385,943.844389100,0.365641700,0.862000,0.027000,0.619000,-6.800000,-11.300000,-10.000000
35987,924315912,384582,943.863908800,0.385161400,0.869000,0.145000,0.454000,0.100000,-6.400000,-3.400000
35988,924335140,403810,943.882835200,0.404087800,0.897000,0.212000,0.531000,7.600000,-12.000000,7.700000
35989,924354368,423038,943.903296100,0.424548700,0.849000,0.212000,0.429000,-0.500000,-37.200000,70.100000
35990,924373565,442235,943.920842400,0.442095000,0.914000,0.186000,0.434000,1.600000,-8.800000,56.200000
35991,924392853,461523,943.939785800,0.461038400,0.792000,-0.144000,0.439000,5.800000,7.600000,29.100000
35992,924412020,480690,943.963049900,0.484302500,0.912000,-0.163000,0.476000,2.300000,9.500000,-5.700000
35993,924431186,499856,943.978806300,0.500058900,1.031000,0.175000,0.285000,-22.300000,35.100000,-41.100000
35994,924450536,519206,943.997947800,0.519200400,0.932000,0.363000,0.378000,-52.400000,58.300000,-4.400000
35995,924469672,538342,944.016957100,0.538209700,0.855000,0.183000,0.588000,-53.100000,61.000000,13.500000
35996,924488991,557661,944.036800500,0.558053100,0.721000,-0.004000,0.709000,-40.700000,41.200000,26.200000
35997,924508158,576828,944.056317600,0.577570200,0.759000,-0.052000,0.690000,-21.400000,21.000000,24.600000
35998,924527447,596117,944.074774400,0.596027000,0.798000,-0.022000,0.606000,-18.500000,14.900000,23.000000
35999,924546674,615344,944.093807200,0.615059800,0.796000,-0.083000,0.600000,-18.600000,14.400000,10.600000
36000,924565871,634541,944.115673600,0.636926200,0.801000,-0.084000,0.585000,-17.400000,13.900000,0.600000
36001,924585068,653738,944.132866400,0.654119000,0.816000,-0.060000,0.577000,-12.300000,14.600000,-6.400000
36002,924604387,673057,944.151904100,0.673156700,0.829000,-0.076000,0.588000,-7.500000,11.500000,-11.700000
36003,924623554,692224,944.170694600,0.691947200,0.859000,-0.061000,0.567000,1.200000,9.300000,-19.700000
36004,924642782,711452,944.189821100,0.711073700,0.866000,0.012000,0.554000,1.000000,12.200000,-23.000000
36005,924662009,730679,944.209991000,0.731243600,0.870000,0.056000,0.556000,-1.300000,19.800000,-21.600000
36006,924681206,749876,944.231719400,0.752972000,0.819000,0.039000,0.592000,-1.600000,22.700000,-21.500000
36007,924700556,769226,944.247771600,0.769024200,0.803000,0.008000,0.623000,-7.900000,20.300000,-27.100000
