meta_label,m
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
32929,351315141,0,4665.168323400,0.000000000,0.840000,0.092000,0.518000,-1.200000,-3.500000,-6.600000
32930,351334369,19228,4665.186946700,0.018623300,0.827000,0.061000,0.549000,3.100000,-4.700000,-6.900000
32931,351353566,38425,4665.205962500,0.037639100,0.804000,0.032000,0.575000,7.900000,-9.500000,-11.300000
32932,351372855,57714,4665.224923300,0.056599900,0.974000,0.154000,0.437000,-3.100000,-9.600000,-19.700000
32933,351392021,76880,4665.246964800,0.078641400,0.891000,0.149000,0.455000,-17.600000,-6.800000,-7.800000
32934,351411249,96108,4665.263003200,0.094679800,0.883000,0.046000,0.478000,-0.500000,-1.300000,-4.400000
32935,351430476,115335,4665.283691300,0.115367900,0.892000,0.150000,0.499000,19.000000,-2.700000,14.900000
32936,351449674,134533,4665.308327900,0.140004500,0.885000,0.233000,0.511000,16.800000,-12.100000,38.600000
32937,351468993,153852,4665.320932700,0.152609300,0.826000,0.042000,0.472000,-0.400000,3.700000,-0.700000
32938,351488129,172988,4665.339855500,0.171532100,0.864000,0.015000,0.528000,-18.600000,-2.200000,0.100000
32939,351507326,192185,4665.360157900,0.191834500,0.852000,-0.244000,0.463000,-19.700000,-5.900000,-44.800000
32940,351526584,211443,4665.379007900,0.210684500,0.876000,0.384000,0.440000,-19.300000,-3.400000,-69.600000
32941,351545842,230701,4665.398629600,0.230306200,0.878000,0.174000,0.522000,-18.800000,-4.800000,-34.400000
32942,351565100,249959,4665.416961900,0.248638500,0.857000,0.102000,0.530000,6.700000,-2.300000,-5.200000
32943,351584267,269126,4665.436089100,0.267765700,0.941000,0.349000,0.541000,19.400000,-4.800000,5.200000
32944,351603555,288414,4665.456063500,0.287740100,0.851000,0.137000,0.468000,17.300000,-14.600000,49.200000
32945,351622752,307611,4665.475757400,0.307434000,0.786000,0.066000,0.460000,7.200000,-6.500000,45.900000
32946,351642011,326870,4665.493972700,0.325649300,0.866000,0.118000,0.470000,-4.000000,0.000000,6.500000
32947,351661208,346067,4665.513006600,0.344683200,0.887000,-0.055000,0.500000,-17.100000,-5.500000,-11.500000
32948,351680435,365294,4665.534937100,0.366613700,0.887000,-0.084000,0.408000,-11.500000,0.800000,-40.400000
32949,351699663,384522,4665.551990800,0.383667400,0.853000,0.189000,0.505000,-16.100000,-7.600000,-44.200000
32950,351718890,403749,4665.570962700,0.402639300,0.901000,0.271000,0.566000,-7.700000,-5.500000,-8.600000
32951,351738118,422977,4665.596581100,0.428257700,0.919000,0.180000,0.643000,9.600000,-5.400000,0.600000
32952,351757315,442174,4665.609112300,0.440788900,0.843000,0.232000,0.430000,8.800000,-14.100000,23.400000
32953,351776665,461524,4665.629008300,0.460684900,0.867000,0.181000,0.385000,7.200000,-9.800000,51.000000
32954,351795801,480660,4665.648939400,0.480616000,0.844000,-0.069000,0.363000,9.300000,2.800000,31.300000
32955,351815120,499979,4665.667061600,0.498738200,0.872000,0.056000,0.533000,3.000000,13.300000,4.500000
32956,351834287,519146,4665.686098000,0.517774600,0.907000,-0.062000,0.493000,-9.200000,5.300000,-8.200000
32957,351853575,538434,4665.705991900,0.537668500,0.967000,0.216000,0.340000,-24.200000,8.700000,-42.900000
32958,351872803,557662,4665.725027400,0.556704000,0.902000,0.334000,0.426000,-40.100000,26.300000,-12.300000
32959,351892030,576889,4665.744052500,0.575729100,0.795000,0.245000,0.590000,-31.900000,27.600000,12.600000
32960,351911227,596086,4665.766074700,0.597751300,0.812000,-0.027000,0.626000,-18.100000,9.700000,21.100000
32961,351930516,615375,4665.782891700,0.614568300,0.794000,-0.101000,0.637000,-1.600000,-3.100000,8.700000
32962,351949652,634511,4665.801962200,0.633638800,0.808000,-0.027000,0.542000,10.200000,-8.000000,0.300000
32963,351968849,653708,4665.821379000,0.653055600,0.853000,0.125000,0.493000,9.700000,-5.000000,-2.200000
32964,351988168,673027,4665.840062200,0.671738800,0.882000,0.146000,0.477000,6.100000,-5.100000,4.000000
32965,352007304,692163,4665.858934800,0.690611400,0.920000,0.110000,0.449000,4.400000,-0.400000,6.300000
32966,352026654,711513,4665.885240100,0.716916700,0.877000,0.077000,0.496000,0.400000,4.300000,5.700000
32967,352045790,730649,4665.897934200,0.729610800,0.853000,0.049000,0.525000,0.200000,4.100000,0.000000
32968,352064987,749846,4665.916984900,0.748661500,0.851000,0.036000,0.545000,0.300000,2.000000,-2.600000
32969,352084276,769135,4665.942367600,0.774044200,0.835000,0.067000,0.541000,1.000000,1.000000,-6.600000
32970,352103565,788424,4665.956965000,0.788641600,0.858000,0.065000,0.518000,1.400000,-2.500000,-5.500000
