meta_label,O
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
6031,1840385657,0,3281.149320800,0.000000000,0.838000,-0.180000,0.527000,3.300000,-2.400000,-2.500000
6032,1840404885,19228,3281.170410000,0.021089200,0.844000,-0.183000,0.523000,3.300000,-1.800000,-1.000000
6033,1840424112,38455,3281.188260200,0.038939400,0.838000,-0.184000,0.524000,4.100000,-1.600000,-2.100000
6034,1840443309,57652,3281.207353300,0.058032500,0.830000,-0.188000,0.534000,1.400000,-2.200000,-2.600000
6035,1840462598,76941,3281.227191000,0.077870200,0.830000,-0.195000,0.531000,0.900000,-1.400000,-5.800000
6036,1840481826,96169,3281.245397500,0.096076700,0.832000,-0.191000,0.530000,-0.900000,-1.700000,-7.800000
6037,1840501053,115396,3281.265294800,0.115974000,0.830000,-0.191000,0.531000,-0.100000,-1.500000,-8.100000
6038,1840520281,134624,3281.287426900,0.138106100,0.827000,-0.181000,0.542000,0.000000,-3.400000,-9.300000
6039,1840539569,153912,3281.303259800,0.153939000,0.821000,-0.189000,0.542000,-0.400000,-4.900000,-11.300000
6040,1840558675,173018,3281.322227200,0.172906400,0.859000,-0.179000,0.516000,-0.500000,-5.300000,-15.000000
6041,1840578025,192368,3281.342297100,0.192976300,0.827000,-0.145000,0.538000,-7.500000,0.800000,-8.700000
6042,1840597191,211534,3281.362320800,0.213000000,0.878000,-0.155000,0.549000,-6.200000,-2.900000,-3.600000
6043,1840616419,230762,3281.380318200,0.230997400,0.856000,-0.202000,0.518000,-1.100000,-1.300000,0.700000
6044,1840635677,250020,3281.399297000,0.249976200,0.802000,-0.176000,0.508000,8.600000,-4.400000,3.800000
6045,1840654905,269248,3281.419753600,0.270432800,0.892000,-0.186000,0.562000,15.000000,-11.400000,13.600000
6046,1840674132,288475,3281.438215900,0.288895100,0.923000,-0.099000,0.536000,25.300000,-30.100000,26.700000
6047,1840693299,307642,3281.457254800,0.307934000,0.832000,-0.036000,0.415000,-6.800000,-18.600000,6.500000
6048,1840712526,326869,3281.476324700,0.327003900,0.861000,-0.134000,0.509000,-35.500000,-19.900000,2.800000
6049,1840731815,346158,3281.495303100,0.345982300,0.785000,-0.261000,0.430000,-35.200000,0.000000,-18.500000
6050,1840751073,365416,3281.515243800,0.365923000,0.742000,-0.438000,0.518000,-28.000000,17.100000,-33.200000
6051,1840770301,384644,3281.534229000,0.384908200,0.802000,-0.268000,0.487000,-12.500000,9.300000,-18.900000
6052,1840789437,403780,3281.553110900,0.403790100,0.706000,-0.185000,0.520000,5.900000,28.800000,-23.700000
6053,1840808756,423099,3281.575393500,0.426072700,1.002000,0.010000,0.574000,5.100000,13.000000,-2.700000
6054,1840827922,442265,3281.591327900,0.442007100,0.882000,0.059000,0.492000,18.600000,3.000000,4.800000
6055,1840847211,461554,3281.611261000,0.461940200,0.981000,-0.123000,0.578000,6.700000,-19.800000,39.800000
6056,1840866439,480782,3281.631626100,0.482305300,0.887000,-0.225000,0.411000,2.100000,-3.700000,28.700000
6057,1840885636,499979,3281.649339100,0.500018300,0.786000,-0.236000,0.513000,-4.200000,3.300000,22.200000
6058,1840904863,519206,3281.669385400,0.520064600,0.757000,-0.286000,0.563000,-0.600000,7.200000,5.600000
6059,1840924121,538464,3281.688321800,0.539001000,0.772000,-0.258000,0.571000,3.400000,0.300000,0.200000
6060,1840943288,557631,3281.707253000,0.557932200,0.808000,-0.222000,0.544000,1.900000,1.000000,-3.900000
6061,1840962485,576828,3281.726165800,0.576845000,0.817000,-0.199000,0.537000,2.100000,0.400000,-5.500000
6062,1840981804,596147,3281.745227700,0.595906900,0.858000,-0.132000,0.540000,4.900000,-1.700000,0.400000
6063,1841001001,615344,3281.765122200,0.615801400,0.860000,-0.138000,0.524000,0.000000,-0.500000,4.400000
6064,1841020290,634633,3281.784281400,0.634960600,0.862000,-0.179000,0.508000,-1.200000,0.100000,5.400000
6065,1841039579,653922,3281.804540900,0.655220100,0.853000,-0.194000,0.518000,1.100000,2.100000,7.300000
6066,1841058776,673119,3281.822331700,0.673010900,0.835000,-0.219000,0.526000,1.600000,1.400000,7.500000
6067,1841077942,692285,3281.841310900,0.691990100,0.823000,-0.237000,0.532000,1.600000,1.800000,4.800000
6068,1841097231,711574,3281.862061700,0.712740900,0.827000,-0.230000,0.532000,2.200000,2.100000,1.600000
6069,1841116397,730740,3281.880189500,0.730868700,0.829000,-0.214000,0.528000,-1.500000,3.700000,-2.600000
6070,1841135564,749907,3281.899194800,0.749874000,0.842000,-0.190000,0.522000,-3.100000,4.300000,-5.400000
6071,1841154883,769226,3281.922245200,0.772924400,0.853000,-0.169000,0.529000,-1.700000,6.300000,0.000000
6072,1841174172,788515,3281.938172200,0.788851400,0.852000,-0.178000,0.533000,-1.900000,6.700000,0.400000
6073,1841193338,807681,3281.957278200,0.807957400,0.847000,-0.182000,0.534000,-4.600000,8.500000,0.700000
6074,1841212566,826909,3281.978268300,0.828947500,0.848000,-0.219000,0.531000,-4.400000,10.500000,0.000000
