meta_label,o
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
5324,4115438280,0,4134.417416200,0.000000000,0.817000,0.139000,0.548000,0.200000,-0.700000,1.000000
5325,4115457447,19167,4134.436946100,0.019529900,0.814000,0.120000,0.545000,3.800000,-1.400000,-0.800000
5326,4115476736,38456,4134.456521400,0.039105200,0.820000,0.130000,0.535000,2.800000,-4.000000,-0.900000
5327,4115495902,57622,4134.475345700,0.057929500,0.814000,0.123000,0.543000,3.400000,-6.000000,-2.600000
5328,4115515130,76850,4134.497660400,0.080244200,0.797000,0.096000,0.563000,3.900000,-10.700000,-2.800000
5329,4115534357,96077,4134.513429400,0.096013200,0.808000,0.069000,0.579000,8.800000,-13.300000,-6.700000
5330,4115553554,115274,4134.533359800,0.115943600,0.837000,0.034000,0.552000,10.500000,-18.200000,-17.000000
5331,4115572874,134594,4134.562922100,0.145505900,1.046000,0.148000,0.410000,-0.400000,-22.100000,-24.700000
5332,4115592162,153882,4134.571461400,0.154045200,0.860000,0.208000,0.430000,-14.600000,-8.700000,-8.100000
5333,4115611359,173079,4134.591419500,0.174003300,0.865000,0.132000,0.499000,-0.600000,-5.800000,-3.800000
5334,4115630526,192246,4134.611953400,0.194537200,0.854000,0.159000,0.509000,8.400000,-3.300000,3.600000
5335,4115649815,211535,4134.629437400,0.212021200,0.877000,0.270000,0.584000,10.600000,-9.400000,33.600000
5336,4115669042,230762,4134.648767400,0.231351200,0.858000,0.077000,0.361000,11.500000,-11.800000,9.300000
5337,4115688239,249959,4134.667521900,0.250105700,0.983000,0.124000,0.429000,-12.000000,-21.200000,24.100000
5338,4115707436,269156,4134.686391600,0.268975400,0.840000,0.082000,0.459000,-16.800000,-12.600000,-15.100000
5339,4115726755,288475,4134.706432600,0.289016400,0.811000,-0.051000,0.502000,-24.900000,-4.600000,-29.800000
5340,4115745922,307642,4134.725366900,0.307950700,0.827000,0.078000,0.693000,-14.100000,-2.600000,-25.200000
5341,4115765150,326870,4134.745565200,0.328149000,0.807000,0.049000,0.425000,-1.600000,5.100000,-26.400000
5342,4115784377,346097,4134.763388400,0.345972200,0.847000,0.350000,0.502000,2.000000,12.300000,-12.200000
5343,4115803574,365294,4134.789120400,0.371704200,0.922000,0.273000,0.393000,2.900000,10.200000,11.000000
5344,4115822893,384613,4134.802294800,0.384878600,0.921000,0.160000,0.501000,8.700000,8.700000,25.700000
5345,4115842030,403750,4134.821432100,0.404015900,1.071000,0.046000,0.361000,4.200000,-0.200000,15.800000
5346,4115861227,422947,4134.845126900,0.427710700,0.966000,0.243000,0.360000,-23.400000,27.500000,-3.600000
5347,4115880515,442235,4134.859469900,0.442053700,0.801000,0.137000,0.528000,-33.700000,39.000000,1.700000
5348,4115899804,461524,4134.879405900,0.461989700,0.721000,0.114000,0.615000,-23.000000,16.600000,2.900000
5349,4115918940,480660,4134.898318000,0.480901800,0.726000,0.102000,0.652000,-15.500000,0.800000,8.400000
5350,4115938290,500010,4134.917448900,0.500032700,0.780000,0.024000,0.614000,-8.200000,-3.000000,3.600000
5351,4115957456,519176,4134.936375500,0.518959300,0.814000,0.064000,0.575000,-3.300000,-1.500000,0.800000
5352,4115976684,538404,4134.956494700,0.539078500,0.846000,0.118000,0.547000,-1.600000,-3.500000,3.000000
5353,4115995881,557601,4134.975359600,0.557943400,0.881000,0.158000,0.500000,0.200000,-1.200000,9.100000
5354,4116015108,576828,4134.998896900,0.581480700,0.895000,0.171000,0.474000,-1.100000,2.100000,16.100000
5355,4116034336,596056,4135.013481200,0.596065000,0.895000,0.149000,0.471000,-6.100000,7.100000,19.800000
5356,4116053594,615314,4135.033399800,0.615983600,0.886000,0.073000,0.494000,-11.500000,12.300000,15.000000
5357,4116072913,634633,4135.061470000,0.644053800,0.841000,0.053000,0.542000,-15.200000,16.100000,4.400000
5358,4116092049,653769,4135.071440600,0.654024400,0.793000,0.040000,0.596000,-21.700000,15.800000,-0.900000
5359,4116111246,672966,4135.090334200,0.672918000,0.768000,0.012000,0.634000,-16.600000,10.500000,-3.800000
5360,4116130535,692255,4135.116003500,0.698587300,0.773000,0.012000,0.633000,-8.400000,0.000000,-5.800000
5361,4116149824,711544,4135.129340300,0.711924100,0.795000,0.036000,0.607000,1.400000,-2.800000,-4.300000
5362,4116169021,730741,4135.148333300,0.730917100,0.825000,0.038000,0.562000,4.100000,-2.200000,-7.100000
