meta_label,o
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
58932,851352746,0,5165.115902100,0.000000000,0.849000,0.020000,0.523000,6.100000,-5.000000,0.900000
58933,851371974,19228,5165.134867500,0.018965400,0.866000,-0.003000,0.513000,6.200000,-7.900000,-4.400000
58934,851391262,38516,5165.154885400,0.038983300,0.860000,0.024000,0.503000,3.500000,-9.200000,-9.800000
58935,851410490,57744,5165.175422800,0.059520700,0.863000,0.017000,0.504000,2.600000,-12.800000,-13.900000
58936,851429748,77002,5165.192933600,0.077031500,0.863000,0.038000,0.513000,5.900000,-15.500000,-11.900000
58937,851448915,96169,5165.214516900,0.098614800,0.940000,0.102000,0.439000,-4.900000,-5.300000,-5.200000
58938,851468203,115457,5165.230887500,0.114985400,0.880000,0.106000,0.517000,-11.600000,-7.200000,0.500000
58939,851487370,134624,5165.251720500,0.135818400,0.878000,-0.010000,0.510000,-14.100000,-7.800000,-1.000000
58940,851506597,153851,5165.269934100,0.154032000,0.884000,0.003000,0.463000,-4.200000,-8.700000,-4.800000
58941,851525825,173079,5165.288851500,0.172949400,0.889000,0.018000,0.445000,9.100000,-2.800000,-2.000000
58942,851545022,192276,5165.312854200,0.196952100,0.892000,0.126000,0.438000,22.500000,-3.200000,-4.300000
58943,851564372,211626,5165.328002500,0.212100400,0.891000,0.107000,0.562000,11.200000,-10.900000,53.400000
58944,851583508,230762,5165.346719100,0.230817000,0.929000,-0.029000,0.381000,19.700000,-16.300000,12.200000
58945,851602766,250020,5165.366188300,0.250286200,0.889000,0.112000,0.493000,-2.800000,-12.600000,3.000000
58946,851621993,269247,5165.384935700,0.269033600,0.845000,-0.059000,0.435000,-20.100000,-12.100000,-1.200000
58947,851641282,288536,5165.406158500,0.290256400,0.874000,0.007000,0.441000,-27.100000,-4.300000,-35.700000
58948,851660510,307764,5165.426866500,0.310964400,0.769000,-0.160000,0.564000,-16.500000,1.500000,-38.100000
58949,851679707,326961,5165.442910700,0.327008600,0.845000,0.130000,0.462000,-4.700000,9.900000,-14.600000
58950,851698934,346188,5165.463313400,0.347411300,0.894000,0.123000,0.463000,8.500000,11.700000,-5.900000
58951,851718223,365477,5165.480961100,0.365059000,0.898000,0.201000,0.386000,7.300000,2.900000,10.800000
58952,851737390,384644,5165.500975300,0.385073200,0.903000,0.020000,0.473000,-6.500000,3.800000,36.800000
58953,851756617,403871,5165.522714800,0.406812700,0.969000,-0.121000,0.421000,0.000000,3.800000,-8.300000
58954,851775845,423099,5165.538904100,0.423002000,0.932000,0.116000,0.403000,-19.000000,21.000000,-19.500000
58955,851795042,442296,5165.557891400,0.441989300,0.831000,0.182000,0.521000,-21.700000,18.800000,-6.900000
58956,851814361,461615,5165.580856800,0.464954700,0.828000,0.138000,0.534000,-17.300000,13.900000,7.900000
58957,851833497,480751,5165.596789900,0.480887800,0.838000,0.035000,0.562000,-10.300000,7.300000,19.300000
58958,851852694,499948,5165.615886600,0.499984500,0.855000,-0.059000,0.539000,-4.400000,3.700000,18.300000
58959,851871983,519237,5165.634741700,0.518839600,0.815000,-0.042000,0.571000,-1.300000,0.300000,9.900000
58960,851891271,538525,5165.656786100,0.540884000,0.826000,-0.009000,0.536000,-1.200000,-4.900000,3.000000
58961,851910468,557722,5165.673863300,0.557961200,0.842000,0.025000,0.518000,-1.300000,-5.700000,-0.300000
58962,851929635,576889,5165.692941400,0.577039300,0.888000,0.049000,0.490000,3.000000,-6.700000,2.700000
