meta_label,P
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
6319,1099862060,0,5413.581303300,0.000000000,0.861000,-0.217000,0.458000,-0.100000,1.400000,-4.200000
6320,1099881257,19197,5413.605044800,0.023741500,0.821000,-0.338000,0.484000,1.000000,-0.100000,-16.500000
6321,1099900484,38424,5413.619385900,0.038082600,0.775000,-0.358000,0.505000,6.800000,-4.200000,-36.400000
6322,1099919803,57743,5413.642637500,0.061334200,1.027000,-0.188000,0.334000,4.300000,-7.300000,-51.700000
6323,1099939092,77032,5413.660937600,0.079634300,0.909000,-0.016000,0.476000,-13.200000,-3.200000,-23.700000
6324,1099958259,96199,5413.677527400,0.096224100,0.890000,-0.008000,0.426000,0.200000,-7.000000,-13.200000
6325,1099977425,115365,5413.697446300,0.116143000,0.902000,-0.084000,0.545000,4.700000,-15.300000,12.900000
6326,1099996714,134654,5413.715368500,0.134065200,0.905000,-0.024000,0.481000,7.900000,-33.600000,20.100000
6327,1100015880,153820,5413.734450300,0.153147000,0.848000,-0.203000,0.290000,3.400000,-19.800000,25.000000
6328,1100035108,173048,5413.756607600,0.175304300,0.894000,-0.177000,0.348000,-5.000000,-3.100000,18.000000
6329,1100054336,192276,5413.773586400,0.192283100,0.900000,-0.319000,0.421000,-13.700000,5.500000,1.500000
6330,1100073533,211473,5413.792405000,0.211101700,0.828000,-0.359000,0.315000,-19.100000,40.200000,-45.500000
6331,1100092882,230822,5413.811528800,0.230225500,0.826000,-0.273000,0.599000,-13.500000,28.700000,-44.000000
6332,1100112018,249958,5413.835341000,0.254037700,0.964000,-0.064000,0.517000,-13.200000,-6.200000,-21.800000
6333,1100131338,269278,5413.850391600,0.269088300,0.886000,-0.061000,0.297000,-6.100000,-1.800000,-5.300000
6334,1100150504,288444,5413.869480500,0.288177200,0.987000,-0.135000,0.465000,-0.500000,-4.000000,-8.900000
6335,1100169793,307733,5413.895063500,0.313760200,0.841000,-0.006000,0.453000,-6.100000,-19.400000,-6.200000
6336,1100188990,326930,5413.908536000,0.327232700,0.895000,-0.238000,0.441000,-4.100000,-19.800000,9.900000
6337,1100208126,346066,5413.927539400,0.346236100,0.805000,-0.386000,0.489000,11.100000,-3.900000,7.600000
6338,1100227445,365385,5413.951183200,0.369879900,0.786000,-0.005000,0.650000,20.700000,-6.300000,-7.900000
6339,1100246734,384674,5413.965374600,0.384071300,0.780000,-0.384000,0.333000,13.100000,-13.300000,26.000000
6340,1100265900,403840,5413.984438300,0.403135000,0.970000,0.034000,0.399000,7.000000,0.900000,7.900000
6341,1100285128,423068,5414.004718800,0.423415500,0.924000,0.240000,0.273000,-5.500000,1.300000,10.600000
6342,1100304355,442295,5414.023411600,0.442108300,1.060000,-0.274000,0.447000,-7.300000,3.500000,18.700000
6343,1100323553,461493,5414.042458500,0.461155200,1.058000,-0.032000,0.290000,-20.200000,34.000000,23.800000
6344,1100342902,480842,5414.063011700,0.481708400,0.813000,-0.199000,0.519000,-29.300000,24.400000,21.100000
6345,1100362038,499978,5414.081388300,0.500085000,0.754000,-0.300000,0.580000,-19.200000,9.400000,13.000000
6346,1100381296,519236,5414.101057200,0.519753900,0.766000,-0.330000,0.512000,-10.700000,-1.000000,4.800000
6347,1100400524,538464,5414.119370800,0.538067500,0.852000,-0.293000,0.467000,-3.500000,0.100000,0.400000
6348,1100419813,557753,5414.138390800,0.557087500,0.858000,-0.190000,0.466000,-1.500000,-0.300000,-3.800000
6349,1100438979,576919,5414.164246600,0.582943300,0.877000,-0.156000,0.454000,-2.900000,-0.700000,3.000000
6350,1100458146,596086,5414.177488700,0.596185400,0.897000,-0.197000,0.442000,0.100000,-2.600000,7.100000
6351,1100477434,615374,5414.202320000,0.621016700,0.889000,-0.189000,0.453000,3.700000,-2.300000,12.200000
6352,1100496662,634602,5414.215280800,0.633977500,0.871000,-0.233000,0.456000,4.400000,-2.600000,14.200000
6353,1100515920,653860,5414.234834700,0.653531400,0.856000,-0.218000,0.472000,2.800000,-0.800000,12.000000
6354,1100535148,673088,5414.254426000,0.673122700,0.859000,-0.211000,0.482000,-0.900000,-1.200000,10.000000
6355,1100554375,692315,5414.273353700,0.692050400,0.898000,-0.184000,0.456000,-2.500000,1.100000,10.100000
6356,1100573542,711482,5414.294850300,0.713547000,0.889000,-0.177000,0.437000,-8.400000,11.800000,10.400000
6357,1100592892,730832,5414.311464300,0.730161000,0.897000,-0.212000,0.432000,-12.200000,19.600000,6.400000
6358,1100612028,749968,5414.331586200,0.750282900,0.883000,-0.203000,0.463000,-14.100000,22.300000,7.800000
