meta_label,p
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
24218,2986646211,0,2797.993159500,0.000000000,0.837000,-0.028000,0.556000,2.400000,-2.100000,-0.100000
24219,2986665500,19289,2798.014787400,0.021627900,0.819000,-0.049000,0.571000,1.600000,-2.400000,-1.800000
24220,2986684666,38455,2798.031085400,0.037925900,0.792000,-0.064000,0.583000,2.200000,-3.700000,-5.400000
24221,2986703955,57744,2798.052979000,0.059819500,0.778000,-0.077000,0.600000,4.600000,-7.000000,-9.100000
24222,2986723122,76911,2798.070177200,0.077017700,0.788000,-0.094000,0.604000,10.600000,-11.100000,-12.700000
24223,2986742349,96138,2798.089069700,0.095910200,1.026000,0.001000,0.472000,6.700000,-19.900000,-19.200000
24224,2986761638,115427,2798.113280800,0.120121300,0.854000,0.179000,0.474000,-7.200000,-3.600000,-3.500000
24225,2986780774,134563,2798.127163900,0.134004400,0.869000,0.010000,0.500000,0.000000,-0.700000,2.400000
24226,2986800062,153851,2798.147063700,0.153904200,0.900000,0.110000,0.657000,-1.000000,-12.900000,24.100000
24227,2986819290,173079,2798.169341700,0.176182200,0.818000,-0.064000,0.465000,1.100000,-23.500000,45.900000
24228,2986838579,192368,2798.185146900,0.191987400,0.862000,-0.058000,0.554000,11.000000,-11.700000,24.300000
24229,2986857745,211534,2798.207630700,0.214471200,0.803000,-0.113000,0.485000,-2.500000,-2.000000,1.300000
24230,2986876973,230762,2798.223188600,0.230029100,0.846000,-0.086000,0.551000,-17.800000,-5.100000,-3.100000
24231,2986896200,249989,2798.243008300,0.249848800,0.753000,-0.286000,0.385000,-6.300000,16.000000,-51.100000
24232,2986915367,269156,2798.263437200,0.270277700,0.893000,0.067000,0.635000,-13.000000,13.600000,-49.400000
24233,2986934686,288475,2798.281178000,0.288018500,0.911000,0.112000,0.587000,-16.800000,4.700000,-34.200000
24234,2986953853,307642,2798.303559600,0.310400100,0.880000,0.075000,0.529000,-11.700000,-3.600000,-7.200000
24235,2986973141,326930,2798.320310000,0.327150500,0.872000,0.112000,0.530000,-7.300000,-7.400000,0.600000
24236,2986992308,346097,2798.339225200,0.346065700,0.834000,-0.049000,0.553000,-9.400000,-9.800000,15.900000
24237,2987011597,365386,2798.358413800,0.365254300,0.788000,-0.138000,0.516000,-3.500000,-10.800000,10.100000
24238,2987030824,384613,2798.377172600,0.384013100,0.856000,-0.161000,0.608000,8.900000,1.000000,-1.200000
24239,2987050082,403871,2798.397979500,0.404820000,0.852000,-0.081000,0.545000,15.500000,-4.100000,-1.600000
24240,2987069249,423038,2798.416282700,0.423123200,0.771000,0.095000,0.540000,6.900000,1.100000,31.900000
24241,2987088568,442357,2798.435088600,0.441929100,0.892000,-0.109000,0.541000,18.600000,-1.900000,6.300000
24242,2987107765,461554,2798.457842000,0.464682500,0.856000,0.098000,0.454000,-2.200000,-0.800000,7.000000
24243,2987126993,480782,2798.473111600,0.479952100,0.873000,0.011000,0.506000,-7.700000,-2.100000,1.100000
24244,2987146220,500009,2798.493469000,0.500309500,0.929000,-0.010000,0.505000,0.300000,0.000000,-10.300000
24245,2987165387,519176,2798.512236300,0.519076800,0.919000,0.069000,0.496000,-13.100000,3.900000,-0.400000
24246,2987184676,538465,2798.531131000,0.537971500,0.809000,0.002000,0.562000,-16.100000,5.800000,8.000000
24247,2987203842,557631,2798.550170200,0.557010700,0.781000,-0.045000,0.590000,-9.600000,-1.500000,11.100000
24248,2987223161,576950,2798.571699300,0.578539800,0.815000,-0.096000,0.572000,-7.200000,-4.300000,11.300000
24249,2987242328,596117,2798.589013000,0.595853500,0.858000,-0.121000,0.533000,-4.200000,-0.700000,-0.100000
24250,2987261616,615405,2798.610208900,0.617049400,0.807000,-0.061000,0.566000,-5.500000,1.600000,-3.400000
24251,2987280783,634572,2798.627010300,0.633850800,0.835000,-0.021000,0.562000,-2.800000,-3.400000,-2.300000
24252,2987300011,653800,2798.649856200,0.656696700,0.857000,-0.006000,0.546000,-5.200000,-1.400000,2.800000
24253,2987319299,673088,2798.666209700,0.673050200,0.829000,-0.008000,0.559000,-7.000000,-4.000000,6.200000
24254,2987338466,692255,2798.684995900,0.691836400,0.829000,-0.046000,0.555000,-7.700000,-6.300000,5.500000
24255,2987357724,711513,2798.708331200,0.715171700,0.865000,-0.121000,0.531000,-4.100000,-2.400000,0.700000
24256,2987376921,730710,2798.723090800,0.729931300,0.832000,-0.083000,0.563000,-3.500000,-3.500000,2.300000
24257,2987396240,750029,2798.743048000,0.749888500,0.823000,-0.082000,0.560000,0.700000,-5.800000,-0.500000
24258,2987415407,769196,2798.762206900,0.769047400,0.855000,-0.075000,0.533000,2.200000,-7.500000,0.900000
24259,2987434573,788362,2798.781091400,0.787931900,0.857000,-0.036000,0.526000,2.200000,-3.900000,1.100000
24260,2987453862,807651,2798.800138300,0.806978800,0.849000,-0.031000,0.536000,0.000000,-5.200000,2.400000
24261,2987473181,826970,2798.820233100,0.827073600,0.871000,-0.039000,0.514000,-1.200000,-6.000000,6.400000
24262,2987492348,846137,2798.839271700,0.846112200,0.860000,-0.034000,0.531000,0.100000,-2.500000,6.500000
24263,2987511636,865425,2798.858171800,0.865012300,0.852000,-0.059000,0.536000,-1.100000,-3.300000,7.400000
24264,2987530803,884592,2798.877303900,0.884144400,0.858000,-0.076000,0.530000,-1.000000,-2.100000,3.700000
24265,2987549969,903758,2798.896683900,0.903524400,0.849000,-0.078000,0.543000,-2.000000,-0.900000,1.500000
