meta_label,p
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
57160,1563339106,0,3004.152339400,0.000000000,0.829000,-0.169000,0.537000,4.300000,-4.000000,-3.000000
57161,1563358242,19136,3004.171356400,0.019017000,0.821000,-0.182000,0.536000,3.600000,-5.300000,-4.700000
57162,1563377500,38394,3004.191654100,0.039314700,0.866000,-0.177000,0.505000,0.900000,-4.500000,-11.700000
57163,1563396728,57622,3004.210344400,0.058005000,0.861000,-0.151000,0.541000,-4.500000,0.100000,-10.400000
57164,1563416016,76910,3004.229285400,0.076946000,0.851000,-0.180000,0.502000,-4.400000,-1.400000,-9.200000
57165,1563435244,96138,3004.248975500,0.096636100,0.860000,-0.188000,0.503000,1.500000,-1.100000,-10.700000
57166,1563454471,115365,3004.267218300,0.114878900,0.859000,-0.146000,0.524000,8.200000,-1.800000,-10.400000
57167,1563473668,134562,3004.287214700,0.134875300,0.861000,0.032000,0.690000,10.100000,-7.700000,0.900000
57168,1563492957,153851,3004.306227700,0.153888300,0.843000,-0.082000,0.451000,8.100000,-18.900000,27.300000
57169,1563512124,173018,3004.325337800,0.172998400,0.842000,-0.125000,0.483000,5.300000,-25.900000,36.400000
57170,1563531290,192184,3004.344237300,0.191897900,0.807000,-0.208000,0.561000,0.200000,-2.300000,11.300000
57171,1563550609,211503,3004.363286300,0.210946900,0.840000,-0.202000,0.579000,-11.100000,-7.600000,2.300000
57172,1563569776,230670,3004.383203500,0.230864100,0.792000,-0.257000,0.450000,-15.500000,-3.400000,-6.100000
57173,1563589095,249989,3004.405139700,0.252800300,0.840000,-0.215000,0.488000,-4.700000,26.700000,-36.300000
57174,1563608231,269125,3004.421305700,0.268966300,0.915000,-0.154000,0.505000,-10.500000,15.100000,-29.600000
57175,1563627428,288322,3004.440399800,0.288060400,0.846000,-0.101000,0.485000,-16.700000,4.700000,-22.100000
57176,1563646717,307611,3004.461510100,0.309170700,0.899000,-0.119000,0.552000,-14.900000,0.800000,-12.200000
57177,1563665944,326838,3004.479388900,0.327049500,0.802000,-0.063000,0.521000,-6.400000,-3.000000,-2.300000
57178,1563685203,346097,3004.499257200,0.346917800,0.875000,-0.158000,0.588000,1.900000,-6.400000,5.300000
57179,1563704369,365263,3004.517277500,0.364938100,0.813000,-0.204000,0.528000,7.600000,-9.600000,11.500000
57180,1563723658,384552,3004.537298900,0.384959500,0.767000,-0.277000,0.530000,14.700000,-6.900000,10.100000
57181,1563742855,403749,3004.556268500,0.403929100,0.791000,-0.132000,0.580000,9.600000,-4.400000,-1.000000
57182,1563762143,423037,3004.575455400,0.423116000,0.884000,-0.102000,0.527000,2.000000,-2.600000,-1.100000
57183,1563781371,442265,3004.596817200,0.444477800,0.853000,-0.035000,0.423000,-1.400000,2.600000,3.500000
57184,1563800599,461493,3004.614314400,0.461975000,0.916000,-0.099000,0.507000,0.900000,2.600000,11.700000
57185,1563819765,480659,3004.633175900,0.480836500,0.983000,-0.064000,0.459000,-3.200000,2.700000,9.200000
57186,1563838993,499887,3004.655448100,0.503108700,0.843000,-0.104000,0.512000,-18.900000,13.900000,28.300000
57187,1563858220,519114,3004.671323300,0.518983900,0.777000,-0.258000,0.565000,-14.200000,8.800000,20.900000
57188,1563877418,538312,3004.690296200,0.537956800,0.747000,-0.293000,0.577000,-7.000000,0.900000,12.300000
57189,1563896737,557631,3004.710326300,0.557986900,0.784000,-0.287000,0.569000,-1.200000,-3.000000,-3.700000
57190,1563915964,576858,3004.729177300,0.576837900,0.801000,-0.229000,0.553000,1.600000,-4.200000,-6.500000
57191,1563935222,596116,3004.755652100,0.603312700,0.821000,-0.209000,0.537000,4.700000,-5.300000,-12.300000
57192,1563954389,615283,3004.767148700,0.614809300,0.857000,-0.128000,0.523000,1.500000,-2.800000,-8.400000
57193,1563973678,634572,3004.786238200,0.633898800,0.846000,-0.125000,0.532000,-1.400000,-0.400000,-5.800000
57194,1563992905,653799,3004.811773800,0.659434400,0.847000,-0.130000,0.530000,-3.600000,0.000000,-3.200000
57195,1564012102,672996,3004.825190900,0.672851500,0.850000,-0.132000,0.534000,-4.000000,1.400000,0.400000
57196,1564031330,692224,3004.844159600,0.691820200,0.829000,-0.160000,0.547000,-5.700000,2.200000,3.400000
57197,1564050619,711513,3004.866871200,0.714531800,0.818000,-0.184000,0.552000,-6.000000,1.400000,2.700000
57198,1564069785,730679,3004.883282600,0.730943200,0.840000,-0.210000,0.535000,-4.500000,0.300000,1.300000
57199,1564089013,749907,3004.902259100,0.749919700,0.841000,-0.199000,0.524000,-0.400000,0.300000,0.600000
57200,1564108240,769134,3004.921343000,0.769003600,0.845000,-0.190000,0.524000,1.200000,0.900000,1.400000
57201,1564127437,788331,3004.940196200,0.787856800,0.853000,-0.182000,0.522000,-1.000000,0.300000,0.400000
57202,1564146757,807651,3004.969013700,0.816674300,0.853000,-0.157000,0.527000,-2.300000,2.100000,2.200000
57203,1564165984,826878,3004.979288200,0.826948800,0.834000,-0.150000,0.540000,-4.000000,2.800000,2.800000
57204,1564185242,846136,3004.999780600,0.847441200,0.819000,-0.153000,0.552000,-4.600000,1.500000,3.700000
