meta_label,Q
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
13540,1521050998,0,1332.656215600,0.000000000,0.885000,-0.145000,0.431000,3.400000,7.300000,1.600000
13541,1521070165,19167,1332.675220300,0.019004700,0.879000,-0.160000,0.452000,2.900000,2.200000,-1.200000
13542,1521089454,38456,1332.695309700,0.039094100,0.882000,-0.138000,0.447000,1.500000,-3.700000,-4.200000
13543,1521108681,57683,1332.713289100,0.057073500,0.869000,-0.141000,0.445000,1.100000,-10.800000,-4.800000
13544,1521127909,76911,1332.733290800,0.077075200,0.890000,-0.158000,0.438000,1.400000,-12.500000,-7.400000
13545,1521147106,96108,1332.754354600,0.098139000,0.902000,-0.157000,0.401000,-1.000000,-9.500000,-12.200000
13546,1521166395,115397,1332.771124100,0.114908500,0.898000,-0.142000,0.397000,-4.900000,-6.400000,-15.300000
13547,1521185561,134563,1332.792444000,0.136228400,0.895000,-0.150000,0.421000,-7.200000,-4.400000,-19.500000
13548,1521204789,153791,1332.809273200,0.153057600,0.893000,-0.160000,0.427000,-4.000000,-7.200000,-20.200000
13549,1521224016,173018,1332.829095600,0.172880000,0.982000,-0.020000,0.368000,-5.000000,0.000000,-8.700000
13550,1521243244,192246,1332.850935100,0.194719500,0.913000,-0.076000,0.404000,-3.000000,-1.700000,0.400000
13551,1521262533,211535,1332.867182500,0.210966900,0.912000,-0.169000,0.414000,3.600000,-4.300000,0.200000
13552,1521281852,230854,1332.887672300,0.231456700,0.884000,-0.139000,0.421000,10.300000,0.300000,7.000000
13553,1521301018,250020,1332.906200100,0.249984500,0.940000,-0.087000,0.449000,13.000000,-15.000000,9.500000
13554,1521320185,269187,1332.925081000,0.268865400,0.968000,-0.075000,0.343000,8.900000,-26.100000,16.200000
13555,1521339473,288475,1332.944941100,0.288725500,0.977000,-0.045000,0.363000,-5.200000,-17.900000,4.000000
13556,1521358640,307642,1332.963157500,0.306941900,0.913000,-0.152000,0.350000,-21.800000,-9.100000,-27.600000
13557,1521377807,326809,1332.983434600,0.327219000,0.885000,-0.181000,0.331000,-29.000000,12.100000,-35.300000
13558,1521397095,346097,1333.002370500,0.346154900,0.857000,-0.205000,0.434000,-8.500000,5.900000,-25.500000
13559,1521416414,365416,1333.021184200,0.364968600,0.906000,-0.075000,0.393000,2.100000,6.900000,-14.000000
13560,1521435581,384583,1333.040977200,0.384761600,0.851000,-0.080000,0.284000,12.900000,23.400000,-6.400000
13561,1521454809,403811,1333.059215100,0.402999500,0.944000,-0.003000,0.462000,9.900000,6.300000,2.500000
13562,1521474036,423038,1333.083670300,0.427454700,0.979000,-0.074000,0.428000,13.900000,8.600000,6.800000
13563,1521493264,442266,1333.098180400,0.441964800,0.973000,-0.057000,0.470000,10.900000,-8.200000,20.500000
13564,1521512552,461554,1333.117247400,0.461031800,0.966000,-0.027000,0.346000,7.400000,-16.600000,22.800000
13565,1521531688,480690,1333.136976300,0.480760700,0.899000,-0.087000,0.395000,0.000000,4.100000,27.800000
13566,1521550977,499979,1333.156321100,0.500105500,0.861000,-0.188000,0.406000,-3.700000,-0.100000,20.200000
13567,1521570174,519176,1333.175244500,0.519028900,0.829000,-0.234000,0.446000,-7.700000,4.400000,8.500000
13568,1521589493,538495,1333.194185500,0.537969900,0.790000,-0.313000,0.504000,-1.100000,-2.700000,-9.700000
