meta_label,Q
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
26126,4001265270,0,1147.444791300,0.000000000,0.859000,-0.087000,0.524000,5.200000,-6.000000,0.100000
26127,4001284559,19289,1147.462445400,0.017654100,0.860000,-0.082000,0.525000,6.500000,-6.800000,0.600000
26128,4001303726,38456,1147.479980600,0.035189300,0.872000,-0.089000,0.505000,6.500000,-5.100000,-1.100000
26129,4001322892,57622,1147.499231600,0.054440300,0.859000,-0.073000,0.522000,3.400000,-4.500000,-3.000000
26130,4001342211,76941,1147.518987900,0.074196600,0.838000,-0.104000,0.527000,0.900000,-4.300000,-5.900000
26131,4001361408,96138,1147.544387600,0.099596300,0.823000,-0.118000,0.546000,-0.200000,-6.200000,-11.400000
26132,4001380697,115427,1147.556937800,0.112146500,0.816000,-0.116000,0.537000,0.000000,-6.100000,-23.300000
26133,4001399833,134563,1147.575936400,0.131145100,0.901000,-0.021000,0.492000,-8.600000,5.100000,-22.500000
26134,4001419030,153760,1147.595044600,0.150253300,0.872000,-0.027000,0.541000,-20.000000,4.300000,-13.800000
26135,4001438319,173049,1147.615572700,0.170781400,0.856000,-0.082000,0.535000,-10.800000,-1.600000,-7.300000
26136,4001457607,192337,1147.633897100,0.189105800,0.894000,-0.182000,0.481000,6.400000,0.400000,-1.200000
26137,4001476804,211534,1147.653017300,0.208226000,0.874000,0.110000,0.486000,31.400000,0.800000,-2.100000
26138,4001495971,230701,1147.675682100,0.230890800,0.949000,-0.031000,0.547000,28.600000,-23.800000,44.500000
26139,4001515260,249990,1147.695611800,0.250820500,0.819000,-0.035000,0.410000,22.400000,-31.000000,29.700000
26140,4001534487,269217,1147.710897600,0.266106300,0.897000,0.101000,0.564000,-9.000000,-16.200000,6.700000
26141,4001553715,288445,1147.730030500,0.285239200,0.799000,-0.061000,0.512000,-47.100000,-16.500000,-12.100000
26142,4001572912,307642,1147.748916400,0.304125100,0.678000,-0.224000,0.442000,-58.400000,2.500000,-35.700000
26143,4001592201,326931,1147.770526200,0.325734900,0.845000,-0.094000,0.595000,-29.600000,18.200000,-45.500000
26144,4001611367,346097,1147.788042900,0.343251600,0.837000,-0.153000,0.457000,-6.700000,14.500000,-5.200000
26145,4001630595,365325,1147.806790400,0.361999100,0.924000,-0.047000,0.501000,27.800000,20.200000,33.800000
26146,4001649822,384552,1147.830824500,0.386033200,1.009000,-0.034000,0.437000,20.700000,13.200000,28.500000
26147,4001669019,403749,1147.845027600,0.400236300,0.745000,-0.088000,0.641000,20.000000,-13.100000,10.800000
26148,4001688308,423038,1147.865018400,0.420227100,0.723000,-0.217000,0.421000,18.600000,-29.900000,-18.300000
