meta_label,q
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
31811,612145042,0,423.910175600,0.000000000,0.887000,0.145000,0.424000,6.000000,-3.000000,2.300000
31812,612164208,19166,423.929187200,0.019011600,0.882000,0.101000,0.471000,9.600000,-5.300000,3.000000
31813,612183497,38455,423.948460900,0.038285300,0.896000,0.059000,0.461000,10.100000,-12.800000,-2.400000
31814,612202694,57652,423.967182000,0.057006400,0.877000,0.090000,0.446000,5.200000,-16.900000,-9.800000
31815,612221982,76940,423.990816300,0.080640700,0.885000,0.086000,0.441000,1.400000,-21.700000,-17.700000
31816,612241180,96138,424.006209500,0.096033900,0.881000,0.109000,0.438000,-1.600000,-23.100000,-23.400000
31817,612260499,115457,424.025284100,0.115108500,0.898000,0.128000,0.425000,1.800000,-23.200000,-21.900000
31818,612279665,134623,424.044103600,0.133928000,1.003000,0.268000,0.274000,1.300000,-4.600000,-16.100000
31819,612298893,153851,424.063245300,0.153069700,0.926000,0.181000,0.348000,0.000000,-2.800000,0.100000
31820,612318151,173109,424.085397600,0.175222000,0.908000,0.105000,0.416000,8.900000,2.700000,11.700000
31821,612337287,192245,424.102390600,0.192215000,0.937000,0.127000,0.437000,14.900000,-5.600000,19.100000
31822,612356820,211778,424.121654700,0.211479100,0.898000,0.096000,0.337000,12.000000,-5.100000,1.900000
31823,612375834,230792,424.140507100,0.230331500,0.896000,0.238000,0.369000,-2.500000,-3.200000,0.500000
31824,612395061,250019,424.160310200,0.250134600,0.926000,0.170000,0.398000,-17.500000,-14.200000,-7.200000
31825,612414228,269186,424.180423300,0.270247700,0.877000,0.005000,0.464000,-9.200000,-0.900000,-20.000000
31826,612433517,288475,424.198285600,0.288110000,0.923000,0.110000,0.462000,-4.200000,-9.000000,-6.900000
31827,612452683,307641,424.217240700,0.307065100,0.913000,0.080000,0.342000,1.100000,-8.800000,-9.600000
31828,612471911,326869,424.240998000,0.330822400,0.909000,0.169000,0.332000,8.500000,-0.600000,-9.600000
31829,612491199,346157,424.256325500,0.346149900,0.931000,0.256000,0.416000,9.900000,-2.300000,5.200000
31830,612510671,365629,424.275669900,0.365494300,0.963000,0.292000,0.496000,8.500000,-18.200000,48.500000
31831,612529685,384643,424.294484300,0.384308700,0.857000,0.003000,0.264000,13.400000,-14.500000,50.500000
31832,612548913,403871,424.313246900,0.403071300,0.907000,0.163000,0.431000,14.100000,-11.000000,24.700000
31833,612568140,423098,424.337894200,0.427718600,0.875000,0.065000,0.345000,2.000000,-5.000000,6.300000
31834,612587307,442265,424.352311500,0.442135900,0.911000,0.128000,0.471000,-17.400000,-5.800000,7.300000
31835,612606473,461431,424.371233700,0.461058100,0.941000,-0.005000,0.379000,-26.000000,-10.300000,-13.700000
31836,612625793,480751,424.390312200,0.480136600,0.925000,-0.012000,0.258000,-20.800000,-4.100000,-52.900000
31837,612645081,500039,424.410361000,0.500185400,0.897000,0.138000,0.415000,-8.100000,4.300000,-25.300000
31838,612664217,519175,424.431218700,0.521043100,0.910000,0.116000,0.302000,15.800000,5.800000,-7.000000
31839,612683475,538433,424.454379600,0.544204000,1.108000,0.271000,0.228000,17.700000,18.800000,-3.400000
31840,612702703,557661,424.467255200,0.557079600,1.039000,0.268000,0.201000,-13.100000,49.900000,19.500000
31841,612721870,576828,424.486314200,0.576138600,0.869000,0.163000,0.432000,-21.800000,56.200000,17.000000
31842,612741219,596177,424.514076900,0.603901300,0.782000,0.069000,0.562000,-22.200000,38.900000,21.400000
31843,612760386,615344,424.525282700,0.615107100,0.741000,0.000000,0.658000,-14.900000,17.900000,16.200000
31844,612779644,634602,424.545040300,0.634864700,0.776000,-0.056000,0.620000,-1.500000,-4.400000,9.300000
31845,612798841,653799,424.563282800,0.653107200,0.852000,-0.009000,0.507000,11.200000,-12.900000,0.000000
31846,612818160,673118,424.583267000,0.673091400,0.939000,0.038000,0.419000,13.400000,-13.600000,-6.900000
31847,612837327,692285,424.612278300,0.702102700,0.956000,0.123000,0.353000,13.200000,-5.600000,-13.100000
31848,612856493,711451,424.621248000,0.711072400,0.938000,0.170000,0.356000,9.700000,8.700000,-6.500000
31849,612875782,730740,424.640494800,0.730319200,0.916000,0.160000,0.394000,4.900000,12.800000,-3.500000
31850,612895101,750059,424.663314900,0.753139300,0.867000,0.125000,0.499000,5.000000,8.900000,0.600000
31851,612914237,769195,424.679161700,0.768986100,0.836000,0.016000,0.537000,9.900000,0.300000,-0.200000
31852,612933434,788392,424.699068300,0.788892700,0.850000,-0.009000,0.533000,17.400000,-11.900000,-7.600000
31853,612952723,807681,424.717296700,0.807121100,0.885000,0.027000,0.472000,18.400000,-18.500000,-17.600000
