meta_label,q
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
44162,2341778399,0,2361.073438400,0.000000000,0.792000,-0.158000,0.578000,2.700000,-8.600000,-16.400000
44163,2341797597,19198,2361.093255800,0.019817400,0.824000,-0.166000,0.549000,8.900000,-20.000000,-16.900000
44164,2341816885,38486,2361.119388200,0.045949800,0.862000,-0.162000,0.489000,12.300000,-22.400000,-22.100000
44165,2341836174,57775,2361.131407900,0.057969500,0.893000,-0.106000,0.476000,8.600000,-21.000000,-28.700000
44166,2341855371,76972,2361.150391700,0.076953300,0.992000,0.102000,0.389000,-13.900000,-2.300000,-22.300000
44167,2341874537,96138,2361.170090800,0.096652400,0.886000,-0.089000,0.441000,-17.400000,7.000000,-2.700000
44168,2341893826,115427,2361.189349400,0.115911000,0.872000,-0.179000,0.516000,-0.500000,-1.200000,-5.300000
44169,2341913054,134655,2361.211191700,0.137753300,0.857000,-0.174000,0.459000,10.300000,2.600000,-3.200000
44170,2341932251,153852,2361.227287300,0.153848900,0.875000,-0.061000,0.556000,21.000000,-9.200000,12.900000
44171,2341951478,173079,2361.248167900,0.174729500,0.903000,0.072000,0.380000,7.900000,-18.200000,21.800000
44172,2341970767,192368,2361.266581800,0.193143400,0.893000,0.073000,0.544000,-11.100000,-11.700000,17.500000
44173,2341989934,211535,2361.285444600,0.212006200,0.919000,-0.264000,0.396000,-26.600000,-7.500000,3.800000
44174,2342009161,230762,2361.308345000,0.234906600,0.815000,-0.263000,0.482000,-21.500000,1.100000,-31.900000
44175,2342028389,249990,2361.323270900,0.249832500,0.870000,-0.147000,0.544000,-10.300000,0.500000,-15.400000
44176,2342047586,269187,2361.342512300,0.269073900,0.886000,-0.142000,0.421000,4.300000,-3.000000,-10.200000
44177,2342066936,288537,2361.362467600,0.289029200,0.885000,-0.052000,0.426000,12.300000,-1.400000,-3.900000
44178,2342086072,307673,2361.381319800,0.307881400,0.881000,0.043000,0.595000,6.000000,-27.400000,25.200000
44179,2342105330,326931,2361.403924900,0.330486500,0.918000,-0.185000,0.463000,14.800000,-32.900000,32.900000
44180,2342124527,346128,2361.419419000,0.345980600,0.794000,-0.018000,0.347000,20.400000,-30.200000,18.600000
44181,2342143815,365416,2361.440459800,0.367021400,0.887000,-0.065000,0.450000,-0.800000,-14.100000,4.600000
44182,2342163012,384613,2361.458908900,0.385470500,0.891000,-0.193000,0.533000,-20.200000,-8.800000,-3.500000
44183,2342182179,403780,2361.477315400,0.403877000,0.921000,-0.221000,0.376000,-29.600000,-1.100000,-26.300000
44184,2342201498,423099,2361.497488200,0.424049800,0.883000,-0.125000,0.295000,-16.600000,18.700000,-32.800000
44185,2342220756,442357,2361.520974500,0.447536100,0.845000,0.119000,0.526000,-6.300000,12.100000,7.600000
44186,2342239953,461554,2361.535372600,0.461934200,0.967000,-0.140000,0.563000,12.500000,2.100000,24.900000
44187,2342259181,480782,2361.557089000,0.483650600,1.033000,-0.038000,0.282000,3.800000,8.600000,32.900000
44188,2342278409,500010,2361.573322700,0.499884300,0.943000,-0.003000,0.403000,-17.300000,28.900000,50.100000
44189,2342297606,519207,2361.592186900,0.518748500,0.830000,-0.160000,0.478000,-28.800000,37.400000,45.200000
44190,2342316925,538526,2361.613332600,0.539894200,0.712000,-0.277000,0.630000,-27.000000,22.200000,35.400000
44191,2342336030,557631,2361.631451800,0.558013400,0.699000,-0.380000,0.627000,-9.500000,3.000000,16.800000
44192,2342355227,576828,2361.655915100,0.582476700,0.767000,-0.355000,0.580000,11.000000,-12.900000,4.300000
44193,2342374577,596178,2361.669379600,0.595941200,0.844000,-0.258000,0.494000,22.800000,-16.000000,-2.900000
44194,2342393713,615314,2361.689254000,0.615815600,0.913000,-0.119000,0.442000,23.500000,-15.300000,-1.700000
44195,2342413032,634633,2361.708373300,0.634934900,0.954000,-0.051000,0.414000,15.700000,-2.900000,6.400000
44196,2342432199,653800,2361.727362400,0.653924000,0.923000,-0.045000,0.434000,-0.600000,3.500000,14.400000
44197,2342451488,673089,2361.750793300,0.677354900,0.883000,-0.135000,0.487000,-4.000000,7.200000,14.800000
44198,2342470685,692286,2361.766386900,0.692948500,0.851000,-0.244000,0.485000,-2.700000,7.000000,12.600000
44199,2342489943,711544,2361.785333600,0.711895200,0.816000,-0.266000,0.514000,-0.600000,5.400000,4.700000
44200,2342509140,730741,2361.805385300,0.731946900,0.825000,-0.236000,0.515000,2.100000,1.300000,-1.900000
44201,2342528428,750029,2361.823279200,0.749840800,0.827000,-0.202000,0.514000,1.600000,-1.700000,-3.600000
