meta_label,R
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
49847,3479491900,0,3290.751035100,0.000000000,0.793000,0.067000,0.606000,-7.800000,-0.600000,1.700000
49848,3479511158,19258,3290.775530400,0.024495300,0.768000,0.018000,0.629000,-6.300000,-3.500000,1.500000
49849,3479530386,38486,3290.790142800,0.039107700,0.762000,-0.037000,0.635000,-2.600000,-10.800000,-5.900000
49850,3479549552,57652,3290.811447000,0.060411900,0.729000,-0.068000,0.665000,6.000000,-22.100000,-15.800000
49851,3479568871,76971,3290.828121700,0.077086600,0.996000,-0.034000,0.483000,7.900000,-36.700000,-21.600000
49852,3479588038,96138,3290.848097700,0.097062600,0.900000,0.291000,0.479000,-9.200000,-10.100000,-9.400000
49853,3479607327,115427,3290.872977500,0.121942400,0.872000,0.131000,0.427000,3.900000,1.600000,2.400000
49854,3479626493,134593,3290.886021100,0.134986000,0.867000,0.173000,0.603000,4.200000,-14.700000,50.200000
49855,3479645660,153760,3290.907942300,0.156907200,0.822000,-0.034000,0.543000,16.700000,-11.400000,48.500000
49856,3479664948,173048,3290.924096600,0.173061500,0.806000,-0.015000,0.534000,11.900000,-0.300000,12.200000
49857,3479684176,192276,3290.944098400,0.193063300,0.829000,0.078000,0.591000,-10.000000,-0.400000,0.600000
49858,3479703434,211534,3290.969886500,0.218851400,0.828000,-0.168000,0.475000,-18.600000,13.600000,-52.500000
49859,3479722631,230731,3290.982139300,0.231104200,0.854000,0.091000,0.620000,-21.800000,0.500000,-41.800000
49860,3479741920,250020,3291.001538900,0.250503800,0.817000,0.122000,0.532000,-25.800000,-3.000000,-33.800000
49861,3479761117,269217,3291.021227400,0.270192300,0.863000,0.201000,0.478000,-22.400000,-7.500000,-17.600000
49862,3479780344,288444,3291.040154200,0.289119100,0.837000,0.034000,0.583000,-3.000000,-7.000000,3.700000
49863,3479799572,307672,3291.064510900,0.313475800,0.817000,0.109000,0.666000,8.000000,-10.700000,20.400000
49864,3479818769,326869,3291.078148400,0.327113300,0.767000,-0.110000,0.616000,7.000000,-8.400000,40.700000
49865,3479838058,346158,3291.097060900,0.346025800,0.816000,0.009000,0.596000,12.700000,-6.800000,17.900000
49866,3479857224,365324,3291.117999300,0.366964200,0.904000,0.053000,0.480000,7.500000,-10.400000,4.900000
49867,3479876513,384613,3291.136139000,0.385103900,0.845000,0.158000,0.355000,-10.500000,-4.400000,-0.700000
49868,3479895679,403779,3291.157930500,0.406895400,0.938000,0.014000,0.572000,-18.900000,0.800000,-0.300000
49869,3479914938,423038,3291.174206500,0.423171400,0.857000,0.119000,0.498000,-13.200000,-20.800000,-2.600000
49870,3479934165,442265,3291.195467500,0.444432400,0.832000,0.092000,0.538000,-10.500000,-6.700000,15.700000
49871,3479953332,461432,3291.215606100,0.464571000,0.793000,0.020000,0.617000,-4.900000,-1.700000,15.900000
49872,3479972681,480781,3291.232092600,0.481057500,0.803000,-0.093000,0.588000,-4.900000,0.200000,5.300000
49873,3479991817,499917,3291.256498700,0.505463600,0.977000,0.049000,0.353000,-25.400000,17.400000,-3.500000
49874,3480011076,519176,3291.271225000,0.520189900,0.892000,0.153000,0.475000,-48.600000,36.700000,-2.800000
49875,3480030303,538403,3291.290097400,0.539062300,0.823000,0.068000,0.605000,-42.100000,30.300000,10.200000
49876,3480049592,557692,3291.309125900,0.558090800,0.730000,-0.100000,0.682000,-27.500000,15.300000,18.200000
49877,3480068758,576858,3291.328176900,0.577141800,0.739000,-0.185000,0.676000,-5.500000,1.700000,10.800000
49878,3480088017,596117,3291.351163600,0.600128500,0.782000,-0.113000,0.619000,9.200000,-6.300000,1.100000
49879,3480107244,615344,3291.367198900,0.616163800,0.833000,-0.008000,0.567000,12.000000,-7.100000,-5.400000
49880,3480126533,634633,3291.386788500,0.635753400,0.857000,0.043000,0.554000,10.800000,-6.400000,-3.300000
49881,3480145699,653799,3291.405155900,0.654120800,0.874000,0.065000,0.539000,10.000000,-3.600000,2.700000
49882,3480164988,673088,3291.427370100,0.676335000,0.831000,0.030000,0.559000,9.700000,0.200000,11.000000
49883,3480184155,692255,3291.444141200,0.693106100,0.837000,-0.042000,0.571000,9.500000,-0.100000,6.900000
49884,3480203321,711421,3291.463453600,0.712418500,0.809000,-0.050000,0.580000,7.200000,-1.500000,1.900000
49885,3480222610,730710,3291.482102900,0.731067800,0.803000,-0.048000,0.597000,7.500000,-3.900000,-1.100000
49886,3480241837,749937,3291.500960800,0.749925700,0.825000,-0.025000,0.578000,11.600000,-6.600000,-4.300000
49887,3480261095,769195,3291.521585900,0.770550800,0.833000,0.017000,0.565000,10.500000,-6.800000,-3.800000
49888,3480280293,788393,3291.540216600,0.789181500,0.850000,0.030000,0.553000,8.200000,-5.100000,-1.800000
49889,3480299612,807712,3291.564335500,0.813300400,0.851000,0.018000,0.549000,4.000000,-2.800000,-1.600000
49890,3480318778,826878,3291.578271300,0.827236200,0.837000,0.006000,0.566000,4.100000,-1.300000,-1.900000
49891,3480337945,846045,3291.597048600,0.846013500,0.820000,0.011000,0.580000,2.600000,-2.600000,-1.100000
49892,3480357264,865364,3291.617098200,0.866063100,0.827000,0.000000,0.581000,1.600000,-3.800000,-0.900000
49893,3480376431,884531,3291.638081800,0.887046700,0.832000,0.000000,0.563000,0.400000,-4.200000,-2.200000
49894,3480395719,903819,3291.657343000,0.906307900,0.841000,0.028000,0.552000,-0.100000,-4.300000,-1.700000
49895,3480414886,922986,3291.674169300,0.923134200,0.855000,0.029000,0.542000,-2.600000,-1.100000,-0.500000
49896,3480434174,942274,3291.693088000,0.942052900,0.835000,0.000000,0.564000,-2.500000,-0.400000,0.400000
49897,3480453341,961441,3291.713202500,0.962167400,0.835000,-0.021000,0.572000,5.700000,-1.300000,0.000000
49898,3480472630,980730,3291.732220600,0.981185500,0.826000,0.005000,0.570000,6.600000,-1.600000,0.000000
