meta_label,r
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
12066,1492705976,0,1304.315509800,0.000000000,0.894000,-0.042000,0.440000,1.200000,-4.500000,-4.000000
12067,1492725142,19166,1304.335908200,0.020398400,0.903000,-0.044000,0.445000,0.900000,-4.100000,-3.400000
12068,1492744431,38455,1304.354526600,0.039016800,0.881000,-0.070000,0.449000,0.400000,-4.500000,-7.600000
12069,1492763658,57682,1304.373780200,0.058270400,0.855000,-0.116000,0.485000,2.800000,-8.600000,-16.200000
12070,1492782886,76910,1304.392575900,0.077066100,0.848000,-0.139000,0.511000,7.400000,-14.200000,-28.500000
12071,1492802083,96107,1304.411450700,0.095940900,1.017000,0.119000,0.323000,-3.500000,-7.400000,-25.900000
12072,1492821372,115396,1304.435683900,0.120174100,0.964000,0.098000,0.366000,-6.800000,-6.400000,-6.300000
12073,1492840538,134562,1304.450469000,0.134959200,0.917000,-0.009000,0.373000,-1.300000,0.100000,4.800000
12074,1492859766,153790,1304.469474600,0.153964800,0.981000,-0.029000,0.507000,5.500000,-4.900000,-2.200000
12075,1492879055,173079,1304.492003000,0.176493200,0.870000,-0.022000,0.378000,8.100000,-31.000000,16.700000
12076,1492898313,192337,1304.508455000,0.192945200,0.891000,-0.027000,0.331000,7.400000,-0.900000,3.300000
12077,1492917479,211503,1304.530740700,0.215230900,0.906000,-0.042000,0.472000,-4.500000,-12.800000,3.900000
12078,1492936798,230822,1304.546581600,0.231071800,0.906000,-0.046000,0.419000,-10.500000,1.800000,0.100000
12079,1492955996,250020,1304.565516300,0.250006500,0.933000,-0.114000,0.391000,-19.200000,-4.800000,-26.600000
12080,1492975162,269186,1304.588644800,0.273135000,0.897000,0.027000,0.413000,-19.300000,1.100000,-29.000000
12081,1492994451,288475,1304.604480600,0.288970800,0.934000,-0.041000,0.399000,-23.100000,-2.800000,-33.000000
12082,1493013617,307641,1304.623516300,0.308006500,0.883000,-0.004000,0.378000,-23.100000,-5.000000,-20.000000
12083,1493032784,326808,1304.642457000,0.326947200,0.902000,0.001000,0.424000,-9.300000,-2.700000,-4.600000
12084,1493052072,346096,1304.661509700,0.345999900,0.922000,0.113000,0.402000,1.700000,-5.100000,1.300000
12085,1493071392,365416,1304.689439800,0.373930000,0.952000,0.099000,0.328000,1.100000,-2.300000,14.700000
12086,1493090558,384582,1304.700472700,0.384962900,1.040000,0.040000,0.245000,-6.700000,20.000000,21.000000
12087,1493109786,403810,1304.719598600,0.404088800,0.886000,-0.012000,0.455000,-20.400000,33.300000,25.000000
12088,1493129013,423037,1304.738708600,0.423198800,0.856000,-0.081000,0.470000,-21.400000,28.300000,23.000000
12089,1493148241,442265,1304.757527500,0.442017700,0.818000,-0.150000,0.572000,-16.400000,19.800000,19.100000
12090,1493167530,461554,1304.780579200,0.465069400,0.832000,-0.225000,0.543000,-4.400000,1.400000,9.400000
12091,1493186666,480690,1304.796539900,0.481030100,0.864000,-0.151000,0.499000,4.600000,-6.800000,-2.500000
12092,1493205863,499887,1304.815551100,0.500041300,0.882000,-0.120000,0.446000,14.000000,-7.500000,-12.400000
12093,1493225151,519175,1304.834562600,0.519052800,0.919000,-0.037000,0.429000,16.100000,-5.500000,-11.800000
12094,1493244471,538495,1304.854574300,0.539064500,0.926000,0.016000,0.409000,16.400000,-0.800000,-3.600000
12095,1493263637,557661,1304.874644000,0.559134200,0.928000,0.020000,0.414000,14.600000,2.400000,3.000000
12096,1493282804,576828,1304.892618600,0.577108800,0.914000,0.015000,0.424000,10.700000,5.700000,6.900000
12097,1493302092,596116,1304.911622800,0.596113000,0.899000,-0.032000,0.449000,8.500000,7.200000,8.100000
12098,1493321320,615344,1304.936524900,0.621015100,0.883000,-0.044000,0.462000,4.200000,5.700000,5.100000
12099,1493340578,634602,1304.950564400,0.635054600,0.893000,-0.047000,0.468000,4.100000,4.800000,1.400000
12100,1493359867,653891,1304.970361300,0.654851500,0.894000,-0.038000,0.459000,2.900000,5.200000,1.300000
12101,1493379033,673057,1304.989296700,0.673786900,0.897000,-0.056000,0.456000,4.700000,5.200000,-1.000000
12102,1493398261,692285,1305.007582400,0.692072600,0.899000,-0.045000,0.462000,4.700000,6.000000,-1.900000
12103,1493417549,711573,1305.029995600,0.714485800,0.902000,-0.050000,0.465000,5.500000,6.500000,-1.700000
12104,1493436686,730710,1305.046665600,0.731155800,0.915000,-0.071000,0.460000,6.100000,8.100000,-3.100000
12105,1493455883,749907,1305.065686800,0.750177000,0.930000,-0.063000,0.447000,6.700000,15.200000,-10.900000
12106,1493475171,769195,1305.084523400,0.769013600,0.913000,-0.064000,0.446000,5.800000,19.400000,-15.300000
12107,1493494490,788514,1305.104598800,0.789089000,0.897000,-0.051000,0.480000,5.700000,20.600000,-20.800000
12108,1493513657,807681,1305.130032800,0.814523000,0.881000,-0.018000,0.495000,4.400000,19.700000,-22.800000
12109,1493532824,826848,1305.142583300,0.827073500,0.884000,-0.013000,0.504000,5.000000,17.600000,-22.100000
