meta_label,r
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
34029,3407178037,0,3426.283773000,0.000000000,0.856000,0.048000,0.515000,5.000000,-3.500000,-0.900000
34030,3407197325,19288,3426.302964700,0.019191700,0.857000,0.039000,0.524000,4.800000,-2.500000,-2.000000
34031,3407216645,38608,3426.324295200,0.040522200,0.815000,0.030000,0.545000,3.000000,-3.000000,-3.900000
34032,3407235811,57774,3426.341638300,0.057865300,0.790000,-0.039000,0.602000,5.400000,-10.000000,-12.300000
34033,3407254978,76941,3426.360536500,0.076763500,0.763000,-0.066000,0.641000,12.500000,-21.400000,-23.500000
34034,3407274266,96229,3426.379978800,0.096205800,1.006000,0.003000,0.426000,16.100000,-32.800000,-36.600000
34035,3407293494,115457,3426.398534900,0.114761900,0.886000,0.250000,0.458000,-1.300000,-15.000000,-7.700000
34036,3407312752,134715,3426.419217100,0.135444100,0.871000,0.153000,0.367000,4.800000,-2.400000,-4.900000
34037,3407331919,153882,3426.437493800,0.153720800,0.900000,0.213000,0.532000,9.200000,-7.900000,18.300000
34038,3407351207,173170,3426.456562900,0.172789900,0.861000,0.108000,0.397000,7.500000,-5.400000,37.800000
34039,3407370374,192337,3426.476105900,0.192332900,0.868000,-0.011000,0.558000,-2.300000,-1.900000,-2.900000
34040,3407389601,211564,3426.494749500,0.210976500,0.829000,-0.005000,0.518000,-27.200000,-9.600000,-6.200000
34041,3407408829,230792,3426.514713900,0.230940900,0.895000,0.000000,0.479000,-21.600000,-4.200000,-51.100000
34042,3407428026,249989,3426.538172000,0.254399000,0.847000,0.179000,0.434000,-24.900000,-11.500000,-48.900000
34043,3407447345,269308,3426.552724300,0.268951300,0.900000,0.160000,0.475000,-20.800000,-6.000000,-12.200000
34044,3407466634,288597,3426.575622300,0.291849300,0.873000,0.167000,0.379000,-5.300000,-7.300000,-3.900000
34045,3407485831,307794,3426.593916800,0.310143800,0.897000,0.091000,0.538000,-2.800000,-3.100000,7.600000
34046,3407504998,326961,3426.610841100,0.327068100,0.899000,0.010000,0.470000,-1.200000,4.400000,9.400000
34047,3407524286,346249,3426.629835900,0.346062900,0.943000,0.139000,0.425000,-8.100000,20.700000,0.700000
34048,3407543483,365446,3426.648756800,0.364983800,0.884000,0.223000,0.456000,-23.600000,35.900000,14.800000
34049,3407562711,384674,3426.668544300,0.384771300,0.867000,0.094000,0.508000,-32.800000,39.600000,13.600000
34050,3407581939,403902,3426.687759000,0.403986000,0.770000,-0.017000,0.647000,-17.000000,24.900000,11.500000
34051,3407601227,423190,3426.710768300,0.426995300,0.720000,-0.105000,0.691000,0.700000,2.600000,6.700000
34052,3407620394,442357,3426.725542200,0.441769200,0.791000,-0.047000,0.612000,15.100000,-12.100000,2.300000
34053,3407639621,461584,3426.744702100,0.460929100,0.865000,0.037000,0.540000,21.300000,-14.400000,2.800000
34054,3407658849,480812,3426.770658100,0.486885100,0.909000,0.086000,0.462000,22.200000,-8.400000,-1.800000
34055,3407678077,500040,3426.783675100,0.499902100,0.894000,0.170000,0.465000,17.900000,-4.400000,3.000000
34056,3407697335,519298,3426.803242400,0.519469400,0.892000,0.144000,0.474000,7.800000,2.600000,8.600000
34057,3407716654,538617,3426.826546000,0.542773000,0.838000,0.098000,0.530000,2.000000,5.000000,11.100000
34058,3407735851,557814,3426.841652000,0.557879000,0.834000,0.014000,0.565000,-0.500000,2.900000,10.300000
34059,3407755017,576980,3426.860941700,0.577168700,0.817000,0.021000,0.577000,3.200000,1.400000,5.800000
34060,3407774306,596269,3426.881393000,0.597620000,0.838000,0.005000,0.566000,4.000000,-2.000000,5.000000
34061,3407793473,615436,3426.898483700,0.614710700,0.885000,0.019000,0.519000,4.200000,-0.200000,-7.300000
34062,3407812639,634602,3426.917481600,0.633708600,0.867000,0.080000,0.511000,-1.200000,3.400000,-6.700000
34063,3407831928,653891,3426.937635700,0.653862700,0.847000,0.074000,0.538000,-4.900000,3.600000,-4.500000
34064,3407851155,673118,3426.956609500,0.672836500,0.835000,0.049000,0.564000,-5.300000,2.100000,-2.500000
34065,3407870353,692316,3426.980709000,0.696936000,0.844000,0.019000,0.554000,-3.400000,1.300000,-5.200000
34066,3407889580,711543,3426.994551500,0.710778500,0.843000,0.035000,0.559000,-3.300000,1.100000,-9.300000
34067,3407908869,730832,3427.016037200,0.732264200,0.818000,0.080000,0.551000,-1.400000,0.300000,-10.900000
34068,3407928096,750059,3427.037950100,0.754177100,0.818000,0.080000,0.555000,1.000000,-3.400000,-7.200000
