meta_label,S
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
50134,3485010923,0,3296.269103800,0.000000000,0.834000,-0.034000,0.560000,-0.900000,-2.800000,-6.600000
50135,3485030090,19167,3296.288126900,0.019023100,0.831000,-0.025000,0.566000,-1.500000,-3.400000,-8.600000
50136,3485049256,38333,3296.311575500,0.042471700,0.831000,-0.044000,0.565000,1.100000,-4.500000,-11.100000
50137,3485068575,57652,3296.327169000,0.058065200,0.826000,-0.029000,0.570000,2.500000,-5.900000,-12.800000
50138,3485087864,76941,3296.346114300,0.077010500,0.843000,-0.009000,0.565000,3.100000,-7.600000,-14.100000
50139,3485107031,96108,3296.365107900,0.096004100,0.846000,0.011000,0.550000,-0.700000,-8.100000,-15.900000
50140,3485126319,115396,3296.385231700,0.116127900,0.832000,-0.008000,0.559000,1.500000,-10.100000,-18.100000
50141,3485145486,134563,3296.405481800,0.136378000,0.809000,-0.012000,0.589000,6.500000,-13.400000,-16.900000
50142,3485164713,153790,3296.423306300,0.154202500,0.942000,0.035000,0.490000,6.700000,-11.200000,-13.500000
50143,3485183971,173048,3296.442293400,0.173189600,0.840000,0.055000,0.502000,-2.300000,-7.000000,-6.600000
50144,3485203138,192215,3296.462219100,0.193115300,0.858000,0.073000,0.535000,-7.400000,-1.200000,-16.100000
50145,3485222427,211504,3296.481256700,0.212152900,0.833000,-0.022000,0.529000,-11.600000,-0.600000,-17.300000
50146,3485241624,230701,3296.501476600,0.232372800,0.842000,0.021000,0.597000,-9.600000,-0.100000,-13.500000
50147,3485260943,250020,3296.519333500,0.250229700,0.829000,-0.063000,0.565000,-1.700000,-2.200000,-5.600000
50148,3485280109,269186,3296.538314700,0.269210900,0.794000,0.004000,0.553000,5.600000,5.900000,-3.200000
50149,3485299276,288353,3296.559324300,0.290220500,0.807000,0.034000,0.651000,13.100000,1.800000,25.900000
50150,3485318565,307642,3296.577112900,0.308009100,0.892000,0.031000,0.567000,22.200000,-6.800000,12.000000
50151,3485337884,326961,3296.596193300,0.327089500,0.902000,0.119000,0.374000,14.100000,-2.000000,-2.200000
50152,3485357020,346097,3296.615193300,0.346089500,0.881000,0.177000,0.450000,-8.900000,-5.200000,19.100000
50153,3485376217,365294,3296.635148300,0.366044500,0.897000,-0.074000,0.572000,-12.900000,-14.600000,17.100000
50154,3485395506,384583,3296.656691300,0.387587500,0.786000,-0.118000,0.509000,-2.400000,-6.500000,1.500000
50155,3485414672,403749,3296.673112400,0.404008600,0.833000,-0.115000,0.659000,5.200000,-2.900000,-0.600000
50156,3485434022,423099,3296.692149000,0.423045200,0.818000,0.074000,0.628000,7.900000,-5.400000,-0.600000
50157,3485453188,442265,3296.711164400,0.442060600,0.786000,0.059000,0.564000,-3.400000,-2.100000,18.400000
50158,3485472446,461523,3296.731245100,0.462141300,0.787000,0.105000,0.483000,-1.600000,-3.100000,12.500000
50159,3485491613,480690,3296.750116200,0.481012400,0.964000,-0.017000,0.513000,-9.900000,5.600000,7.800000
50160,3485510932,500009,3296.769900100,0.500796300,0.883000,-0.014000,0.389000,-13.800000,5.600000,6.300000
50161,3485530129,519206,3296.788356500,0.519252700,1.029000,0.086000,0.504000,-4.700000,10.900000,-16.600000
50162,3485549296,538373,3296.808254400,0.539150600,0.886000,0.100000,0.511000,-27.300000,24.600000,15.400000
50163,3485568584,557661,3296.827315500,0.558211700,0.774000,0.000000,0.597000,-23.200000,16.600000,17.900000
50164,3485587751,576828,3296.846361900,0.577258100,0.773000,-0.066000,0.640000,-10.700000,8.300000,15.900000
50165,3485607040,596117,3296.865161800,0.596058000,0.784000,-0.120000,0.602000,-5.400000,6.800000,6.900000
50166,3485626298,615375,3296.885152000,0.616048200,0.796000,-0.097000,0.605000,-2.800000,4.200000,-2.500000
50167,3485645525,634602,3296.904591000,0.635487200,0.816000,-0.038000,0.590000,-0.200000,1.000000,-4.300000
50168,3485664692,653769,3296.923157000,0.654053200,0.811000,-0.013000,0.579000,-0.400000,0.000000,-2.000000
50169,3485683981,673058,3296.942299800,0.673196000,0.829000,-0.001000,0.581000,2.200000,-1.500000,3.700000
50170,3485703147,692224,3296.961212900,0.692109100,0.833000,-0.002000,0.565000,1.700000,-1.100000,6.100000
50171,3485722375,711452,3296.981227300,0.712123500,0.811000,-0.035000,0.588000,-1.400000,-0.400000,5.800000
50172,3485741663,730740,3297.002056400,0.732952600,0.839000,-0.099000,0.585000,-0.500000,-1.200000,3.300000
50173,3485760830,749907,3297.021658000,0.752554200,0.810000,-0.065000,0.587000,1.300000,-0.700000,-1.800000
50174,3485780119,769196,3297.038115500,0.769011700,0.808000,-0.044000,0.589000,1.400000,-2.600000,-2.800000
50175,3485799285,788362,3297.058116300,0.789012500,0.817000,-0.040000,0.590000,0.200000,-4.600000,-3.000000
50176,3485818574,807651,3297.077300600,0.808196800,0.842000,-0.038000,0.564000,2.500000,-3.800000,-1.900000
