meta_label,S
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
46401,3645091661,0,3664.155263400,0.000000000,0.839000,0.064000,0.558000,-4.600000,-4.200000,-5.700000
46402,3645110889,19228,3664.174283800,0.019020400,0.827000,0.056000,0.552000,-4.600000,-7.200000,-5.200000
46403,3645130086,38425,3664.193381900,0.038118500,0.846000,0.080000,0.564000,-0.100000,-12.100000,-4.900000
46404,3645149405,57744,3664.212265500,0.057002100,0.857000,0.038000,0.521000,-1.000000,-12.900000,-4.400000
46405,3645168602,76941,3664.231119600,0.075856200,0.817000,0.005000,0.560000,-1.300000,-13.300000,-15.400000
46406,3645187891,96230,3664.252014700,0.096751300,0.812000,0.057000,0.562000,-3.100000,-16.600000,-23.100000
46407,3645207027,115366,3664.270344900,0.115081500,0.906000,0.092000,0.512000,-8.600000,-20.600000,-27.600000
46408,3645226224,134563,3664.289195900,0.133932500,0.904000,0.240000,0.485000,-17.200000,-6.800000,-17.100000
46409,3645245512,153851,3664.309856900,0.154593500,0.865000,0.072000,0.473000,-16.600000,-3.900000,-2.000000
46410,3645264801,173140,3664.328227500,0.172964100,0.851000,0.035000,0.562000,-0.900000,-5.100000,-3.600000
46411,3645283998,192337,3664.348634100,0.193370700,0.815000,0.058000,0.563000,5.200000,2.300000,2.400000
46412,3645303165,211504,3664.366191200,0.210927800,0.829000,0.019000,0.594000,18.000000,-1.500000,14.400000
46413,3645322453,230792,3664.387980700,0.232717300,0.893000,0.152000,0.467000,28.100000,-3.500000,1.000000
46414,3645341681,250020,3664.405341200,0.250077800,0.911000,0.163000,0.288000,11.100000,-6.700000,-4.600000
46415,3645360878,269217,3664.424300500,0.269037100,0.941000,0.302000,0.493000,-16.700000,-16.400000,14.700000
46416,3645380106,288445,3664.443115400,0.287852000,0.904000,0.027000,0.498000,-22.000000,-19.300000,11.100000
46417,3645399394,307733,3664.462143200,0.306879800,0.755000,-0.062000,0.539000,-9.800000,-5.100000,4.500000
46418,3645418561,326900,3664.484334600,0.329071200,0.806000,-0.081000,0.691000,4.800000,-6.200000,0.400000
46419,3645437788,346127,3664.501269600,0.346006200,0.776000,0.271000,0.616000,1.100000,-6.400000,10.800000
46420,3645457016,365355,3664.520121200,0.364857800,0.891000,0.015000,0.424000,-2.300000,-2.500000,17.900000
46421,3645476213,384552,3664.542543000,0.387279600,0.872000,0.146000,0.356000,-21.600000,9.400000,8.300000
46422,3645495532,403871,3664.558392600,0.403129200,0.878000,0.212000,0.359000,-44.200000,8.500000,13.700000
46423,3645514821,423160,3664.578391900,0.423128500,0.989000,-0.130000,0.523000,-25.100000,14.800000,-27.600000
46424,3645534018,442357,3664.598415700,0.443152300,0.984000,0.118000,0.534000,-42.100000,14.600000,3.600000
46425,3645553184,461523,3664.616378700,0.461115300,0.764000,0.027000,0.617000,-27.400000,15.100000,9.000000
46426,3645572473,480812,3664.640954700,0.485691300,0.821000,-0.012000,0.586000,-19.600000,-1.200000,15.800000
46427,3645591640,499979,3664.654438000,0.499174600,0.801000,-0.095000,0.577000,-14.300000,3.700000,10.100000
46428,3645610928,519267,3664.674881700,0.519618300,0.825000,-0.072000,0.562000,-10.800000,3.800000,0.500000
46429,3645630095,538434,3664.694588500,0.539325100,0.832000,-0.008000,0.548000,-11.200000,4.300000,-3.800000
46430,3645649322,557661,3664.712308300,0.557044900,0.824000,0.046000,0.560000,-6.700000,2.200000,-2.300000
46431,3645668581,576920,3664.731289300,0.576025900,0.840000,0.060000,0.549000,-3.100000,-2.300000,2.300000
46432,3645687808,596147,3664.751475200,0.596211800,0.865000,0.025000,0.537000,-0.800000,-2.900000,4.800000
46433,3645707036,615375,3664.770388100,0.615124700,0.869000,0.024000,0.522000,-1.800000,0.700000,2.200000
46434,3645726233,634572,3664.790079400,0.634816000,0.862000,-0.002000,0.529000,-4.900000,1.800000,-0.200000
46435,3645745552,653891,3664.808277700,0.653014300,0.848000,0.044000,0.534000,0.200000,2.100000,3.200000
46436,3645764688,673027,3664.827280900,0.672017500,0.836000,0.030000,0.573000,3.300000,0.000000,7.000000
46437,3645783885,692224,3664.847408300,0.692144900,0.832000,-0.004000,0.557000,2.900000,-2.100000,6.900000
46438,3645803143,711482,3664.866330000,0.711066600,0.842000,-0.050000,0.536000,2.100000,-2.500000,3.200000
46439,3645822462,730801,3664.889480900,0.734217500,0.842000,-0.036000,0.531000,5.400000,1.400000,-6.100000
46440,3645841660,749999,3664.904320800,0.749057400,0.833000,-0.006000,0.559000,3.900000,1.000000,-9.500000
