meta_label,s
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
10661,2725945073,0,2537.337641500,0.000000000,0.854000,0.277000,0.488000,-6.000000,-6.500000,-6.700000
10662,2725964362,19289,2537.356744000,0.019102500,0.856000,0.238000,0.504000,-7.100000,-6.000000,-10.100000
10663,2725983528,38455,2537.378936200,0.041294700,0.849000,0.236000,0.506000,-5.900000,-6.100000,-12.700000
10664,2726002695,57622,2537.395821500,0.058180000,0.797000,0.274000,0.495000,-6.400000,-7.400000,-16.200000
10665,2726022014,76941,2537.414710400,0.077068900,0.777000,0.325000,0.502000,-6.600000,-8.500000,-5.400000
10666,2726041303,96230,2537.438847100,0.101205600,0.784000,0.320000,0.530000,-4.200000,-3.500000,3.500000
10667,2726060469,115396,2537.452740400,0.115098900,0.759000,0.269000,0.560000,2.100000,-7.000000,6.700000
10668,2726079697,134624,2537.472761500,0.135120000,0.784000,0.247000,0.532000,7.700000,-12.000000,7.200000
10669,2726098924,153851,2537.491795800,0.154154300,0.844000,0.259000,0.499000,10.300000,-12.300000,5.200000
10670,2726118152,173079,2537.510816500,0.173175000,0.831000,0.274000,0.476000,8.300000,-10.800000,3.900000
10671,2726137441,192368,2537.533943100,0.196301600,0.859000,0.266000,0.463000,6.900000,-9.300000,1.100000
10672,2726156577,211504,2537.549748300,0.212106800,0.866000,0.283000,0.459000,5.600000,-6.800000,-0.900000
10673,2726175865,230792,2537.568714600,0.231073100,0.852000,0.276000,0.476000,2.600000,-7.400000,0.100000
10674,2726195093,250020,2537.588129800,0.250488300,0.838000,0.260000,0.494000,-0.400000,-10.800000,-2.900000
10675,2726214382,269309,2537.606810300,0.269168800,0.841000,0.293000,0.479000,-1.300000,-14.900000,-2.600000
10676,2726233548,288475,2537.630036200,0.292394700,0.841000,0.277000,0.472000,0.300000,-13.300000,3.000000
10677,2726252715,307642,2537.645807500,0.308166000,0.811000,0.263000,0.484000,-3.100000,-15.400000,-2.200000
10678,2726272003,326930,2537.664603900,0.326962400,0.872000,0.253000,0.462000,-9.500000,-16.600000,-12.700000
10679,2726291231,346158,2537.686624100,0.348982600,0.823000,0.276000,0.486000,-16.600000,-8.800000,-10.800000
10680,2726310489,365416,2537.702524700,0.364883200,0.854000,0.289000,0.491000,-14.500000,-4.800000,-2.500000
10681,2726329717,384644,2537.722616400,0.384974900,0.839000,0.226000,0.460000,-3.300000,-2.100000,-5.400000
10682,2726348944,403871,2537.743333200,0.405691700,0.814000,0.275000,0.501000,6.000000,0.600000,-3.800000
10683,2726368111,423038,2537.760511300,0.422869800,0.834000,0.299000,0.492000,14.000000,8.400000,3.000000
10684,2726387338,442265,2537.780173100,0.442531600,0.905000,0.256000,0.521000,15.500000,-0.200000,13.100000
10685,2726406627,461554,2537.799500100,0.461858600,0.846000,0.312000,0.364000,4.600000,-3.200000,11.400000
10686,2726425885,480812,2537.818487900,0.480846400,0.921000,0.352000,0.418000,-10.800000,-4.000000,4.600000
10687,2726445052,499979,2537.838028800,0.500387300,0.836000,0.271000,0.413000,-25.700000,-14.900000,25.000000
10688,2726464371,519298,2537.856498400,0.518856900,0.836000,0.181000,0.546000,-8.800000,-5.900000,11.800000
10689,2726483568,538495,2537.875600200,0.537958700,0.791000,0.163000,0.459000,1.100000,-1.800000,4.400000
10690,2726502735,557662,2537.895516500,0.557875000,0.840000,0.251000,0.569000,12.100000,-0.300000,-7.900000
10691,2726522023,576950,2537.914545500,0.576904000,0.827000,0.292000,0.494000,11.200000,0.400000,2.100000
10692,2726541190,596117,2537.933565900,0.595924400,0.804000,0.275000,0.445000,1.600000,4.800000,-1.700000
10693,2726560478,615405,2537.952693700,0.615052200,0.807000,0.307000,0.409000,-12.500000,11.700000,-0.700000
10694,2726579737,634664,2537.972715700,0.635074200,0.905000,0.309000,0.417000,-13.700000,6.800000,6.600000
10695,2726598903,653830,2537.991603300,0.653961800,0.995000,0.192000,0.455000,-1.100000,2.800000,-1.300000
10696,2726618100,673027,2538.010553800,0.672912300,0.981000,0.327000,0.341000,-15.300000,17.800000,-2.000000
10697,2726637358,692285,2538.034366600,0.696725100,0.815000,0.296000,0.429000,-23.800000,26.300000,6.800000
10698,2726656586,711513,2538.048577700,0.710936200,0.801000,0.240000,0.525000,-26.300000,25.500000,3.300000
10699,2726675813,730740,2538.068575400,0.730933900,0.766000,0.215000,0.574000,-22.000000,21.000000,3.200000
10700,2726695102,750029,2538.088479300,0.750837800,0.745000,0.180000,0.623000,-13.200000,16.000000,-0.700000
10701,2726714238,769165,2538.106526100,0.768884600,0.727000,0.189000,0.632000,-5.000000,7.400000,-0.800000
10702,2726733435,788362,2538.125598900,0.787957400,0.767000,0.190000,0.608000,4.100000,-0.700000,0.900000
10703,2726752724,807651,2538.145594700,0.807953200,0.805000,0.196000,0.571000,9.800000,-6.100000,0.000000
10704,2726772043,826970,2538.164583800,0.826942300,0.848000,0.235000,0.511000,10.300000,-4.600000,-2.200000
10705,2726791210,846137,2538.184560000,0.846918500,0.834000,0.264000,0.500000,2.800000,-3.300000,-3.000000
10706,2726810376,865303,2538.202580800,0.864939300,0.851000,0.267000,0.500000,-1.800000,-1.600000,-4.200000
10707,2726829695,884622,2538.222531800,0.884890300,0.822000,0.245000,0.518000,-2.200000,0.800000,-5.000000
10708,2726848984,903911,2538.242128600,0.904487100,0.813000,0.230000,0.537000,-2.600000,1.100000,-4.700000
10709,2726868151,923078,2538.260506600,0.922865100,0.803000,0.220000,0.555000,-0.900000,-0.300000,-4.600000
10710,2726887439,942366,2538.281679700,0.944038200,0.802000,0.201000,0.556000,2.700000,-3.800000,-5.700000
