meta_label,s
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
50500,1435267267,0,2876.103379100,0.000000000,0.846000,0.014000,0.538000,-0.200000,-3.200000,-4.500000
50501,1435286494,19227,2876.122179600,0.018800500,0.846000,0.009000,0.553000,-0.900000,-2.800000,-6.200000
50502,1435305691,38424,2876.145988100,0.042609000,0.830000,-0.004000,0.561000,-0.400000,-4.400000,-4.300000
50503,1435324980,57713,2876.161389000,0.058009900,0.858000,-0.007000,0.553000,-1.100000,-5.600000,-7.600000
50504,1435344147,76880,2876.180280300,0.076901200,0.842000,0.052000,0.520000,-7.600000,-7.400000,-1.400000
50505,1435363344,96077,2876.200524900,0.097145800,0.871000,0.023000,0.547000,-12.200000,-6.400000,-4.700000
50506,1435382632,115365,2876.218368700,0.114989600,0.845000,0.005000,0.541000,-16.500000,-3.700000,-10.300000
50507,1435401860,134593,2876.241923100,0.138544000,0.829000,-0.016000,0.552000,-15.700000,-4.000000,-10.800000
50508,1435421118,153851,2876.261306200,0.157927100,0.832000,-0.030000,0.597000,-6.900000,-2.900000,-6.400000
50509,1435440285,173018,2876.276385000,0.173005900,0.841000,-0.017000,0.571000,2.000000,-0.900000,-7.800000
50510,1435459573,192306,2876.297301200,0.193922100,0.779000,-0.038000,0.549000,11.200000,5.600000,0.000000
50511,1435478801,211534,2876.314354200,0.210975100,0.861000,-0.012000,0.603000,21.900000,4.200000,-0.400000
50512,1435498028,230761,2876.334343000,0.230963900,0.865000,0.063000,0.533000,17.500000,-5.000000,10.200000
50513,1435517226,249959,2876.358880000,0.255500900,0.882000,0.149000,0.445000,10.400000,-1.600000,6.200000
50514,1435536453,269186,2876.372438700,0.269059600,0.889000,0.190000,0.538000,0.400000,-1.400000,21.700000
50515,1435555711,288444,2876.391288700,0.287909600,0.834000,-0.046000,0.536000,-13.200000,-19.400000,15.400000
50516,1435575030,307763,2876.412787600,0.309408500,0.899000,-0.058000,0.504000,-6.400000,-6.800000,8.700000
50517,1435594166,326899,2876.430345000,0.326965900,0.842000,-0.096000,0.629000,0.600000,-8.100000,-4.800000
50518,1435613364,346097,2876.449420300,0.346041200,0.792000,-0.031000,0.555000,7.000000,0.900000,-5.700000
50519,1435632652,365385,2876.468613600,0.365234500,0.788000,0.131000,0.672000,1.200000,-9.000000,7.200000
50520,1435651880,384613,2876.487665800,0.384286700,0.883000,-0.070000,0.537000,-2.500000,-3.900000,1.900000
50521,1435671077,403810,2876.507374800,0.403995700,0.745000,0.056000,0.455000,-13.100000,0.800000,2.500000
50522,1435690304,423037,2876.526357200,0.422978100,0.889000,0.083000,0.487000,-9.600000,7.000000,3.600000
50523,1435709593,442326,2876.547973200,0.444594100,0.886000,0.054000,0.484000,-7.900000,4.100000,8.400000
50524,1435728760,461493,2876.564325900,0.460946800,0.945000,-0.096000,0.491000,-3.400000,9.400000,0.800000
50525,1435747926,480659,2876.583363000,0.479983900,0.958000,0.107000,0.501000,-13.700000,4.300000,-12.200000
50526,1435767245,499978,2876.605775200,0.502396100,0.812000,0.035000,0.545000,-22.000000,23.400000,12.600000
50527,1435786534,519267,2876.622578000,0.519198900,0.796000,-0.043000,0.612000,-13.000000,12.600000,14.700000
50528,1435805701,538434,2876.641496300,0.538117200,0.784000,-0.075000,0.602000,-8.200000,7.000000,10.900000
50529,1435824928,557661,2876.660322400,0.556943300,0.789000,-0.070000,0.615000,-0.400000,3.900000,5.300000
50530,1435844156,576889,2876.680347500,0.576968400,0.796000,-0.056000,0.596000,1.500000,1.800000,0.300000
50531,1435863353,596086,2876.699886400,0.596507300,0.828000,-0.028000,0.578000,0.900000,0.600000,-0.900000
50532,1435882672,615405,2876.718381000,0.615001900,0.824000,-0.013000,0.576000,-0.200000,0.700000,-1.500000
50533,1435901808,634541,2876.737510600,0.634131500,0.822000,-0.045000,0.575000,0.000000,-1.400000,0.400000
50534,1435921005,653738,2876.757295200,0.653916100,0.823000,-0.041000,0.583000,1.800000,-3.800000,-1.400000
50535,1435940263,672996,2876.776386500,0.673007400,0.853000,-0.034000,0.555000,4.100000,-3.500000,0.000000
50536,1435959582,692315,2876.795571000,0.692191900,0.837000,-0.010000,0.562000,3.700000,-1.400000,-0.300000
50537,1435978718,711451,2876.814322300,0.710943200,0.841000,0.003000,0.564000,2.500000,-0.600000,1.300000
50538,1435997946,730679,2876.834036400,0.730657300,0.838000,0.004000,0.561000,-0.500000,0.300000,1.800000
50539,1436017265,749998,2876.859909100,0.756530000,0.813000,-0.045000,0.585000,-3.500000,1.500000,2.600000
50540,1436036554,769287,2876.872525000,0.769145900,0.812000,-0.073000,0.598000,0.400000,-0.100000,-1.600000
50541,1436055720,788453,2876.891294300,0.787915200,0.819000,-0.049000,0.578000,2.700000,-3.000000,-3.100000
50542,1436074887,807620,2876.910696400,0.807317300,0.837000,-0.015000,0.557000,3.000000,-2.500000,-3.500000
