meta_label,T
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
58380,1123066872,0,934.742225900,0.000000000,0.891000,-0.170000,0.425000,5.200000,-9.300000,-6.400000
58381,1123086160,19288,934.762043100,0.019817200,0.916000,-0.153000,0.392000,6.500000,-9.600000,-5.200000
58382,1123105418,38546,934.780242700,0.038016800,0.936000,-0.123000,0.374000,1.800000,-4.300000,-5.700000
58383,1123124646,57774,934.799168800,0.056942900,0.906000,-0.128000,0.391000,-4.300000,-0.900000,-4.400000
58384,1123143813,76941,934.819279100,0.077053200,0.880000,-0.188000,0.419000,-3.400000,-0.700000,-3.100000
58385,1123163132,96260,934.838191500,0.095965600,0.883000,-0.205000,0.433000,0.800000,-5.600000,-5.000000
58386,1123182298,115426,934.864122500,0.121896600,0.872000,-0.195000,0.427000,5.000000,-9.100000,-5.000000
58387,1123201526,134654,934.876259300,0.134033400,0.960000,-0.146000,0.362000,4.200000,-0.200000,-2.000000
58388,1123220754,153882,934.896066200,0.153840300,0.931000,-0.175000,0.412000,-2.900000,-2.900000,-5.000000
58389,1123239981,173109,934.917474800,0.175248900,0.914000,-0.189000,0.360000,-9.700000,-4.300000,-10.800000
58390,1123259270,192398,934.934226300,0.192000400,0.917000,-0.184000,0.320000,-11.200000,-4.200000,-19.700000
58391,1123278406,211534,934.955154800,0.212928900,0.951000,-0.120000,0.338000,-8.400000,2.800000,-25.800000
58392,1123297694,230822,934.972404400,0.230178500,0.936000,0.089000,0.432000,-16.200000,-4.900000,-15.400000
58393,1123316892,250020,934.992117200,0.249891300,0.885000,0.123000,0.380000,-1.900000,-4.800000,-14.600000
58394,1123336211,269339,935.012867600,0.270641700,0.898000,-0.177000,0.456000,10.900000,-5.800000,16.900000
58395,1123355377,288505,935.030168800,0.287942900,0.891000,-0.304000,0.377000,22.300000,-0.500000,19.800000
58396,1123374544,307672,935.049230300,0.307004400,0.891000,-0.249000,0.356000,3.000000,20.100000,7.800000
58397,1123393863,326991,935.069274300,0.327048400,0.789000,-0.263000,0.528000,1.000000,14.700000,-0.700000
58398,1123413030,346158,935.089638800,0.347412900,0.826000,-0.273000,0.547000,9.700000,-16.200000,-6.800000
58399,1123432288,365416,935.112655100,0.370429200,1.046000,0.008000,0.278000,2.300000,-14.300000,8.900000
58400,1123451515,384643,935.126242300,0.384016400,0.943000,0.068000,0.479000,-2.200000,-36.600000,39.800000
58401,1123470773,403901,935.146109600,0.403883700,0.909000,-0.297000,0.394000,13.600000,-27.800000,27.400000
58402,1123489940,423068,935.165252200,0.423026300,0.944000,-0.176000,0.335000,12.300000,-15.800000,8.100000
58403,1123509137,442265,935.184335800,0.442109900,0.917000,-0.216000,0.298000,8.800000,-2.900000,-2.400000
58404,1123528395,461523,935.207021600,0.464795700,0.945000,-0.238000,0.288000,-7.000000,7.500000,-3.100000
58405,1123547623,480751,935.224032000,0.481806100,0.982000,-0.065000,0.324000,-10.800000,25.900000,-12.900000
58406,1123566911,500039,935.242433800,0.500207900,0.918000,-0.046000,0.417000,-18.400000,23.600000,5.900000
58407,1123586231,519359,935.265869300,0.523643400,0.904000,-0.148000,0.458000,-15.900000,11.700000,11.300000
58408,1123605397,538525,935.280342800,0.538116900,0.855000,-0.233000,0.423000,-13.700000,3.500000,14.800000
58409,1123624564,557692,935.301012200,0.558786300,0.852000,-0.299000,0.429000,-8.900000,2.800000,2.700000
58410,1123643852,576980,935.319760200,0.577534300,0.878000,-0.235000,0.425000,-5.300000,-0.900000,-4.800000
58411,1123663019,596147,935.338242000,0.596016100,0.917000,-0.179000,0.386000,-0.900000,-1.100000,-7.700000
58412,1123682185,615313,935.361681600,0.619455700,0.952000,-0.140000,0.372000,-1.700000,2.800000,-2.400000
58413,1123701474,634602,935.376061500,0.633835600,0.960000,-0.130000,0.354000,-4.800000,8.200000,0.800000
58414,1123720793,653921,935.395990500,0.653764600,0.990000,-0.172000,0.339000,-5.800000,17.000000,0.300000
58415,1123739960,673088,935.415253300,0.673027400,0.971000,-0.172000,0.348000,-9.900000,25.300000,0.200000
58416,1123759187,692315,935.434307800,0.692081900,0.995000,-0.163000,0.335000,-12.600000,35.800000,-4.800000
58417,1123778415,711543,935.456768600,0.714542700,1.002000,-0.138000,0.337000,-19.900000,49.500000,-7.700000
58418,1123797643,730771,935.472385900,0.730160000,0.954000,-0.158000,0.387000,-27.500000,59.600000,-11.900000
58419,1123816931,750059,935.492171400,0.749945500,0.864000,-0.167000,0.491000,-31.400000,59.100000,-19.800000
58420,1123836067,769195,935.512600600,0.770374700,0.838000,-0.241000,0.530000,-27.400000,46.500000,-22.000000
58421,1123855264,788392,935.530163200,0.787937300,0.808000,-0.252000,0.559000,-13.100000,33.200000,-32.000000
58422,1123874553,807681,935.553286700,0.811060800,0.699000,-0.025000,0.563000,-9.900000,14.000000,-32.000000
58423,1123893872,827000,935.568186100,0.825960200,0.608000,0.005000,0.578000,-19.100000,4.600000,0.200000
58424,1123913039,846167,935.588057000,0.845831100,0.588000,-0.206000,0.595000,-17.500000,-7.400000,29.600000
58425,1123932205,865333,935.608720500,0.866494600,0.686000,-0.470000,0.575000,-4.900000,-30.200000,-2.000000
