meta_label,T
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
26720,746111494,0,765.691102900,0.000000000,0.832000,0.188000,0.518000,0.300000,-3.900000,-1.800000
26721,746130722,19228,765.711571400,0.020468500,0.861000,0.184000,0.501000,0.000000,-3.200000,-0.500000
26722,746150010,38516,765.729391600,0.038288700,0.863000,0.182000,0.485000,-1.500000,-1.200000,-1.500000
26723,746169177,57683,765.749703300,0.058600400,0.851000,0.174000,0.494000,-5.600000,0.600000,-3.200000
26724,746188344,76850,765.767139300,0.076036400,0.825000,0.170000,0.534000,-6.600000,-0.100000,-3.500000
26725,746207663,96169,765.786982100,0.095879200,0.825000,0.158000,0.544000,-2.400000,-2.100000,-2.800000
26726,746226951,115457,765.815210000,0.124107100,0.799000,0.186000,0.549000,1.100000,-4.600000,1.500000
26727,746246118,134624,765.825117300,0.134014400,0.788000,0.153000,0.586000,3.900000,-7.800000,7.300000
26728,746265284,153790,765.844096700,0.152993800,0.918000,0.045000,0.522000,-0.500000,-9.500000,-4.400000
26729,746284573,173079,765.864942900,0.173840000,0.927000,0.054000,0.575000,-5.100000,-9.400000,-20.500000
26730,746303740,192246,765.882919600,0.191816700,0.859000,0.137000,0.424000,-16.100000,-20.600000,-31.200000
26731,746322967,211473,765.904320200,0.213217300,0.855000,0.237000,0.418000,-6.300000,-10.800000,-28.800000
26732,746342256,230762,765.923176400,0.232073500,0.874000,0.366000,0.498000,-6.500000,-11.100000,-11.800000
26733,746361514,250020,765.941122400,0.250019500,0.979000,0.434000,0.199000,-9.500000,-26.000000,-3.400000
26734,746380711,269217,765.959985600,0.268882700,0.851000,0.245000,0.419000,-2.200000,10.400000,19.300000
26735,746400000,288506,765.979243100,0.288140200,0.822000,0.028000,0.621000,12.800000,6.100000,15.500000
26736,746419136,307642,765.998014800,0.306911900,0.809000,0.155000,0.589000,9.200000,11.700000,3.200000
26737,746438363,326869,766.021736400,0.330633500,0.832000,0.136000,0.547000,-13.600000,19.200000,3.300000
26738,746457652,346158,766.036940900,0.345838000,0.696000,0.137000,0.704000,0.200000,1.500000,-1.100000
26739,746476880,365386,766.056158700,0.365055800,0.965000,0.169000,0.503000,5.900000,-19.300000,0.100000
26740,746496107,384613,766.075780000,0.384677100,0.886000,0.239000,0.435000,7.500000,-9.200000,12.700000
26741,746515304,403810,766.093999300,0.402896400,0.855000,0.217000,0.447000,11.700000,-5.500000,31.600000
26742,746534593,423099,766.114041100,0.422938200,0.898000,0.232000,0.519000,6.200000,-2.800000,59.400000
26743,746553759,442265,766.132980400,0.441877500,0.834000,0.117000,0.406000,7.000000,-3.200000,23.500000
26744,746572987,461493,766.152883400,0.461780500,0.849000,0.085000,0.479000,-7.700000,0.500000,-6.000000
26745,746592215,480721,766.171064800,0.479961900,0.880000,0.052000,0.399000,-13.300000,7.900000,-35.800000
26746,746611412,499918,766.190246600,0.499143700,0.957000,0.386000,0.392000,-23.500000,11.300000,-26.800000
26747,746630761,519267,766.210097300,0.518994400,0.839000,0.281000,0.487000,-30.300000,33.500000,5.100000
26748,746649897,538403,766.231063600,0.539960700,0.764000,0.132000,0.622000,-21.700000,19.600000,16.100000
26749,746669156,557662,766.248112600,0.557009700,0.801000,0.043000,0.616000,-9.600000,6.400000,12.500000
26750,746688383,576889,766.267217500,0.576114600,0.786000,0.048000,0.607000,-2.900000,0.200000,3.100000
26751,746707672,596178,766.287136000,0.596033100,0.830000,0.097000,0.559000,4.400000,-6.700000,-3.800000
26752,746726838,615344,766.308822200,0.617719300,0.845000,0.157000,0.517000,6.200000,-6.300000,-3.500000
26753,746746005,634511,766.324943600,0.633840700,0.869000,0.171000,0.494000,8.300000,-3.300000,-0.300000
26754,746765324,653830,766.344015700,0.652912800,0.843000,0.178000,0.518000,5.900000,-0.500000,1.500000
26755,746784613,673119,766.364154800,0.673051900,0.853000,0.139000,0.527000,7.300000,-0.300000,2.800000
26756,746803779,692285,766.383086600,0.691983700,0.843000,0.136000,0.526000,7.900000,-1.200000,0.600000
26757,746823007,711513,766.402044200,0.710941300,0.834000,0.158000,0.528000,4.600000,-2.700000,0.200000
26758,746842235,730741,766.421018400,0.729915500,0.848000,0.154000,0.509000,3.900000,-2.000000,-1.500000
26759,746861432,749938,766.440966700,0.749863800,0.862000,0.175000,0.514000,2.400000,0.000000,-0.700000
26760,746880751,769257,766.462021500,0.770918600,0.854000,0.155000,0.504000,0.700000,2.500000,0.500000
26761,746899887,788393,766.478967600,0.787864700,0.835000,0.143000,0.527000,-0.500000,2.500000,-1.700000
26762,746919084,807590,766.498185400,0.807082500,0.831000,0.127000,0.540000,-1.000000,0.600000,-4.300000
