meta_label,T
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
21565,3913557322,0,1059.751353500,0.000000000,0.858000,0.095000,0.524000,-2.600000,0.800000,-2.000000
21566,3913576458,19136,1059.768390100,0.017036600,0.828000,0.046000,0.569000,-2.800000,-1.300000,-5.600000
21567,3913595655,38333,1059.787542400,0.036188900,0.836000,0.043000,0.556000,0.200000,-4.100000,-10.500000
21568,3913614943,57621,1059.807931800,0.056578300,0.854000,0.142000,0.521000,0.500000,-4.700000,-11.400000
21569,3913634232,76910,1059.826413800,0.075060300,0.871000,0.164000,0.503000,-4.900000,-2.600000,-6.800000
21570,3913653429,96107,1059.845507800,0.094154300,0.862000,0.124000,0.531000,-5.000000,0.400000,2.200000
21571,3913672596,115274,1059.864394600,0.113041100,0.826000,0.052000,0.562000,-6.100000,0.400000,7.400000
21572,3913691884,134562,1059.883351900,0.131998400,0.790000,0.014000,0.602000,-2.100000,-2.900000,0.900000
21573,3913711051,153729,1059.903499300,0.152145800,0.765000,0.012000,0.634000,4.000000,-8.700000,-3.200000
21574,3913730217,172895,1059.922358900,0.171005400,0.753000,-0.071000,0.673000,13.600000,-21.400000,-7.500000
21575,3913749506,192184,1059.941303700,0.189950200,1.057000,0.141000,0.499000,7.100000,-23.600000,-21.200000
21576,3913768734,211412,1059.960375500,0.209022000,0.866000,0.163000,0.356000,-16.300000,-14.700000,-20.900000
21577,3913787992,230670,1059.980387200,0.229033700,0.870000,0.171000,0.493000,-19.800000,-16.400000,-16.900000
21578,3913807219,249897,1060.003688700,0.252335200,0.960000,0.275000,0.450000,-25.300000,-17.700000,-3.000000
21579,3913826447,269125,1060.018338500,0.266985000,0.825000,0.276000,0.361000,-11.300000,-7.400000,-13.800000
21580,3913845644,288322,1060.037340200,0.285986700,0.826000,0.018000,0.485000,2.200000,7.500000,22.500000
21581,3913864933,307611,1060.057316100,0.305962600,0.850000,-0.092000,0.622000,11.700000,11.200000,10.400000
21582,3913884099,326777,1060.076366300,0.325012800,0.731000,0.000000,0.626000,-2.100000,20.500000,-4.400000
21583,3913903266,345944,1060.095491600,0.344138100,0.745000,0.007000,0.699000,14.200000,-0.800000,-8.700000
21584,3913922554,365232,1060.114474100,0.363120600,1.016000,0.149000,0.505000,16.900000,-16.000000,-4.100000
21585,3913941752,384430,1060.133323900,0.381970400,0.882000,0.217000,0.398000,4.600000,-7.500000,9.400000
21586,3913961071,403749,1060.155939800,0.404586300,0.922000,0.334000,0.512000,1.800000,-16.900000,54.100000
21587,3913980237,422915,1060.172478900,0.421125400,0.800000,0.061000,0.454000,7.700000,-14.000000,58.000000
21588,3913999526,442204,1060.191501300,0.440147800,0.806000,-0.190000,0.462000,7.600000,5.100000,-11.500000
21589,3914018723,461401,1060.214777300,0.463423800,0.838000,0.061000,0.560000,-13.700000,5.200000,-14.500000
21590,3914038012,480690,1060.230305100,0.478951600,0.919000,0.242000,0.421000,-17.500000,19.100000,-42.200000
21591,3914057239,499917,1060.249491800,0.498138300,0.858000,0.248000,0.536000,-29.100000,25.100000,4.700000
21592,3914076467,519145,1060.268502600,0.517149100,0.801000,0.040000,0.620000,-15.100000,15.800000,18.300000
21593,3914095633,538311,1060.287378100,0.536024600,0.826000,-0.018000,0.592000,-6.400000,2.700000,16.500000
21594,3914114861,557539,1060.311420700,0.560067200,0.819000,-0.030000,0.594000,0.500000,-0.400000,9.400000
21595,3914134089,576767,1060.326429400,0.575075900,0.837000,0.016000,0.566000,6.300000,-6.300000,-0.300000
21596,3914153286,595964,1060.345369300,0.594015800,0.846000,0.083000,0.518000,5.100000,-6.400000,-1.200000
21597,3914172605,615283,1060.366482900,0.615129400,0.886000,0.096000,0.486000,1.300000,-1.000000,-3.400000
21598,3914191893,634571,1060.383299300,0.631945800,0.868000,0.111000,0.495000,-5.200000,4.500000,-0.100000
21599,3914211091,653769,1060.403255300,0.651901800,0.863000,0.048000,0.539000,-5.300000,5.400000,0.900000
21600,3914230257,672935,1060.422452100,0.671098600,0.825000,0.050000,0.559000,-4.200000,5.900000,0.900000
21601,3914249546,692224,1060.441424200,0.690070700,0.813000,0.031000,0.582000,-3.200000,-0.800000,-1.400000
21602,3914268712,711390,1060.460318000,0.708964500,0.822000,0.034000,0.572000,1.800000,-3.200000,-0.800000
21603,3914288001,730679,1060.479400900,0.728047400,0.830000,0.065000,0.542000,5.100000,-5.000000,-1.300000
