meta_label,t
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
1346,1004231302,0,5317.967696700,0.000000000,0.853000,0.119000,0.498000,5.500000,1.100000,4.100000
1347,1004250499,19197,5317.986609400,0.018912700,0.902000,0.124000,0.450000,4.900000,-0.100000,-4.100000
1348,1004269757,38455,5318.005619200,0.037922500,0.854000,0.113000,0.469000,-3.200000,2.500000,-16.800000
1349,1004288954,57652,5318.029356800,0.061660100,0.742000,0.041000,0.636000,-6.900000,-1.700000,-36.900000
1350,1004308151,76849,5318.043737500,0.076040800,0.711000,0.071000,0.711000,3.200000,-26.900000,-51.600000
1351,1004327440,96138,5318.065649000,0.097952300,1.075000,0.350000,0.347000,-13.700000,-19.100000,-39.900000
1352,1004346729,115427,5318.082984100,0.115287400,0.897000,0.183000,0.392000,-5.300000,-10.900000,-7.500000
1353,1004365926,134624,5318.101753700,0.134057000,0.875000,0.193000,0.369000,14.700000,-3.400000,-4.900000
1354,1004385092,153790,5318.120819300,0.153122600,0.829000,0.419000,0.430000,-5.300000,-13.700000,50.000000
1355,1004404381,173079,5318.140663600,0.172966900,0.867000,0.246000,0.386000,0.600000,-4.500000,71.800000
1356,1004423578,192276,5318.159750300,0.192053600,0.850000,0.058000,0.391000,10.300000,7.600000,42.200000
1357,1004442806,211504,5318.179489300,0.211792600,0.849000,0.051000,0.516000,5.900000,7.700000,19.700000
1358,1004462033,230731,5318.197723900,0.230027200,0.855000,0.068000,0.508000,-6.500000,9.200000,-9.100000
1359,1004481322,250020,5318.217716200,0.250019500,0.842000,0.171000,0.484000,-21.600000,13.600000,-38.200000
1360,1004500458,269156,5318.236737500,0.269040800,0.655000,0.006000,0.837000,-3.300000,0.000000,-28.000000
1361,1004519838,288536,5318.255857600,0.288160900,1.054000,0.175000,0.425000,2.300000,-17.800000,-22.800000
1362,1004538974,307672,5318.274809200,0.307112500,0.880000,0.213000,0.320000,1.100000,-22.500000,-14.700000
1363,1004558171,326869,5318.295439000,0.327742300,0.880000,0.232000,0.378000,-1.800000,-2.000000,-11.100000
1364,1004577460,346158,5318.313824800,0.346128100,0.962000,0.232000,0.474000,-13.400000,-6.400000,-3.400000
1365,1004596749,365447,5318.333533800,0.365837100,0.850000,0.276000,0.296000,-14.100000,-9.300000,-0.300000
1366,1004615946,384644,5318.351620700,0.383924000,0.867000,0.209000,0.406000,-2.900000,5.900000,12.900000
1367,1004635112,403810,5318.370808300,0.403111600,0.855000,0.147000,0.397000,-4.500000,15.200000,10.900000
1368,1004654401,423099,5318.390689700,0.422993000,0.992000,0.302000,0.313000,-29.200000,41.100000,14.800000
1369,1004673567,442265,5318.409757800,0.442061100,0.861000,0.173000,0.453000,-36.900000,51.500000,17.600000
1370,1004692734,461432,5318.432066900,0.464370200,0.674000,0.038000,0.715000,-24.800000,38.100000,14.800000
1371,1004712053,480751,5318.447652800,0.479956100,0.672000,-0.019000,0.761000,-5.800000,3.800000,9.600000
1372,1004731342,500040,5318.469918500,0.502221800,0.743000,0.027000,0.681000,9.900000,-15.400000,-0.800000
1373,1004750508,519206,5318.490374300,0.522677600,0.848000,0.028000,0.549000,20.100000,-24.400000,-5.900000
1374,1004769705,538403,5318.505655400,0.537958700,0.917000,0.188000,0.437000,20.600000,-21.700000,-6.500000
1375,1004788963,557661,5318.531510500,0.563813800,0.984000,0.240000,0.332000,13.100000,-10.200000,-0.500000
1376,1004808161,576859,5318.543724700,0.576028000,0.941000,0.230000,0.376000,1.400000,5.400000,4.200000
1377,1004827480,596178,5318.563804400,0.596107700,0.866000,0.153000,0.479000,-5.300000,11.600000,-2.500000
1378,1004846616,615314,5318.590563300,0.622866600,0.830000,0.116000,0.558000,-7.700000,8.200000,-6.600000
1379,1004865782,634480,5318.601705900,0.634009200,0.826000,0.075000,0.568000,-1.500000,4.800000,-11.100000
