meta_label,U
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
7231,1399728932,0,1211.355275100,0.000000000,0.888000,-0.099000,0.437000,1.200000,-1.800000,-4.200000
7232,1399748160,19228,1211.374417800,0.019142700,0.896000,-0.097000,0.444000,1.200000,-2.300000,-4.600000
7233,1399767357,38425,1211.393774400,0.038499300,0.906000,-0.078000,0.438000,0.600000,-1.700000,-1.800000
7234,1399786645,57713,1211.412365400,0.057090300,0.887000,-0.096000,0.452000,0.400000,-3.000000,-1.300000
7235,1399805812,76880,1211.432236500,0.076961400,0.887000,-0.120000,0.451000,0.000000,-4.800000,-3.900000
7236,1399825040,96108,1211.451384600,0.096109500,0.863000,-0.136000,0.471000,0.400000,-6.900000,-6.200000
7237,1399844267,115335,1211.470397700,0.115122600,0.812000,-0.202000,0.503000,3.000000,-14.300000,-13.400000
7238,1399863464,134532,1211.491675500,0.136400400,0.776000,-0.263000,0.569000,8.800000,-26.800000,-27.100000
7239,1399882753,153821,1211.509346800,0.154071700,1.055000,-0.081000,0.266000,-9.700000,-35.500000,-44.400000
7240,1399902072,173140,1211.528337000,0.173061900,0.897000,0.208000,0.351000,-23.200000,-12.600000,-22.100000
7241,1399921269,192337,1211.547414100,0.192139000,0.898000,0.116000,0.272000,-10.700000,-0.300000,2.200000
7242,1399940436,211504,1211.567615000,0.212339900,0.914000,-0.067000,0.406000,-3.400000,3.300000,10.500000
7243,1399959724,230792,1211.586408800,0.231133700,0.938000,-0.123000,0.489000,7.800000,0.100000,7.300000
7244,1399978891,249959,1211.605480900,0.250205800,0.924000,-0.068000,0.448000,12.500000,-22.200000,17.100000
7245,1399998057,269125,1211.628538100,0.273263000,0.892000,-0.132000,0.371000,15.600000,-10.000000,1.100000
7246,1400017377,288445,1211.643275800,0.288000700,0.908000,-0.028000,0.438000,-9.900000,-21.600000,14.100000
7247,1400036604,307672,1211.662231900,0.306956800,0.964000,-0.126000,0.464000,-10.900000,-7.600000,9.100000
7248,1400055801,326869,1211.682357500,0.327082400,0.900000,-0.071000,0.326000,-16.800000,-25.300000,-6.000000
