meta_label,u
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
38810,3267250479,0,3078.547714000,0.000000000,0.843000,0.046000,0.565000,4.000000,-5.300000,0.100000
38811,3267269645,19166,3078.566737200,0.019023200,0.844000,0.043000,0.558000,6.800000,-2.200000,5.100000
38812,3267288873,38394,3078.586977100,0.039263100,0.827000,0.038000,0.581000,6.900000,-0.700000,6.100000
38813,3267308101,57622,3078.604691500,0.056977500,0.795000,0.028000,0.592000,4.000000,-2.600000,2.400000
38814,3267327267,76788,3078.624725900,0.077011900,0.801000,0.023000,0.591000,2.500000,-8.700000,-4.500000
38815,3267346495,96016,3078.643901300,0.096187300,0.836000,0.037000,0.570000,1.000000,-9.100000,-6.000000
38816,3267365722,115243,3078.662767800,0.115053800,0.815000,0.038000,0.572000,2.300000,-11.300000,-6.900000
38817,3267385042,134563,3078.681740900,0.134026900,0.828000,0.044000,0.573000,2.700000,-11.600000,-10.100000
38818,3267404208,153729,3078.700759400,0.153045400,0.825000,0.070000,0.577000,0.700000,-14.200000,-11.400000
38819,3267423497,173018,3078.720743400,0.173029400,0.906000,0.148000,0.524000,-9.700000,-5.000000,-5.800000
38820,3267442663,192184,3078.741064300,0.193350300,0.854000,0.030000,0.544000,-11.100000,-4.900000,-0.800000
38821,3267461830,211351,3078.758769600,0.211055600,0.846000,-0.016000,0.545000,-0.200000,-5.200000,1.800000
38822,3267481210,230731,3078.777718600,0.230004600,0.871000,0.016000,0.546000,13.700000,-3.100000,-2.400000
38823,3267500346,249867,3078.798084600,0.250370600,0.804000,0.097000,0.599000,9.600000,-14.900000,35.800000
38824,3267519604,269125,3078.816762900,0.269048900,0.856000,0.049000,0.456000,11.400000,-7.100000,7.700000
38825,3267538801,288322,3078.836656500,0.288942500,0.911000,0.082000,0.591000,0.000000,-8.300000,1.800000
38826,3267558120,307641,3078.854751700,0.307037700,0.832000,0.064000,0.539000,-10.400000,-11.200000,-5.500000
38827,3267577287,326808,3078.874741500,0.327027500,0.825000,0.027000,0.507000,-15.600000,-2.600000,-28.600000
38828,3267596454,345975,3078.897230600,0.349516600,0.792000,-0.049000,0.587000,-16.600000,0.100000,-39.600000
38829,3267615712,365233,3078.912668700,0.364954700,0.840000,0.032000,0.605000,-14.200000,-3.300000,-31.500000
38830,3267634970,384491,3078.931739800,0.384025800,0.867000,0.051000,0.550000,-2.500000,-7.600000,-7.700000
38831,3267654197,403718,3078.950754800,0.403040800,0.841000,0.081000,0.478000,10.400000,-4.400000,-5.200000
38832,3267673395,422916,3078.974510600,0.426796600,0.873000,0.203000,0.589000,13.900000,-2.200000,2.800000
38833,3267692683,442204,3078.989633500,0.441919500,0.861000,0.085000,0.537000,9.500000,-7.600000,34.100000
38834,3267711850,461371,3079.008838000,0.461124000,0.827000,0.041000,0.479000,16.900000,-3.900000,9.900000
38835,3267731199,480720,3079.027707300,0.479993300,0.862000,0.019000,0.540000,2.600000,-5.400000,25.700000
38836,3267750366,499887,3079.049015100,0.501301100,0.813000,-0.032000,0.507000,4.300000,3.700000,5.600000
38837,3267769624,519145,3079.066720100,0.519006100,0.866000,-0.035000,0.562000,-5.300000,3.800000,-7.100000
38838,3267788791,538312,3079.085753200,0.538039200,0.879000,0.046000,0.470000,-10.800000,13.000000,-26.400000
38839,3267808110,557631,3079.104756200,0.557042200,0.872000,0.191000,0.554000,-23.300000,15.200000,-8.900000
38840,3267827307,576828,3079.123750600,0.576036600,0.819000,0.139000,0.583000,-20.200000,9.500000,0.900000
38841,3267846473,595994,3079.143817500,0.596103500,0.822000,0.005000,0.594000,-13.700000,7.000000,6.500000
38842,3267865732,615253,3079.163559200,0.615845200,0.796000,-0.042000,0.605000,-7.100000,2.500000,2.400000
38843,3267884990,634511,3079.181811900,0.634097900,0.822000,-0.014000,0.582000,-0.400000,-0.200000,-2.900000
38844,3267904217,653738,3079.200760700,0.653046700,0.838000,0.039000,0.553000,1.600000,-0.200000,-3.200000
38845,3267923384,672905,3079.222635400,0.674921400,0.847000,0.076000,0.557000,1.000000,0.400000,-1.400000
38846,3267942703,692224,3079.239790000,0.692076000,0.827000,0.063000,0.570000,-0.200000,0.000000,3.400000
38847,3267961870,711391,3079.259008100,0.711294100,0.815000,0.035000,0.577000,0.000000,-1.000000,3.400000
38848,3267981158,730679,3079.277834400,0.730120400,0.825000,0.014000,0.577000,0.000000,-1.700000,0.400000
38849,3268000325,749846,3079.296846200,0.749132200,0.828000,0.025000,0.573000,-0.300000,-2.400000,-0.400000
38850,3268019552,769073,3079.316789500,0.769075500,0.832000,0.047000,0.566000,0.400000,-1.900000,-2.500000
38851,3268038841,788362,3079.335660400,0.787946400,0.829000,0.051000,0.571000,0.400000,-1.500000,1.200000
