meta_label,u
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
22408,663191706,0,682.785384500,0.000000000,0.840000,-0.318000,0.436000,-1.500000,-1.300000,-0.600000
22409,663211025,19319,682.805986200,0.020601700,0.827000,-0.351000,0.434000,-1.200000,-0.800000,-4.400000
22410,663230161,38455,682.824588800,0.039204300,0.811000,-0.368000,0.438000,-0.500000,0.000000,-10.900000
22411,663249358,57652,682.843399600,0.058015100,0.900000,-0.287000,0.405000,-6.300000,2.400000,-13.100000
22412,663268647,76941,682.864417300,0.079032800,0.892000,-0.265000,0.471000,-14.300000,-6.400000,-4.800000
22413,663287936,96230,682.881602700,0.096218200,0.856000,-0.285000,0.379000,0.400000,-3.400000,0.400000
22414,663307133,115427,682.901487900,0.116103400,0.887000,-0.313000,0.443000,13.000000,-3.300000,3.100000
22415,663326299,134593,682.920583800,0.135199300,0.867000,-0.331000,0.422000,14.400000,-35.700000,16.000000
22416,663345588,153882,682.943094100,0.157709600,0.880000,-0.286000,0.404000,8.000000,-8.600000,-7.600000
22417,663364816,173110,682.958578500,0.173194000,0.839000,-0.195000,0.459000,-23.400000,-6.500000,-4.500000
22418,663384043,192337,682.977516200,0.192131700,0.916000,-0.269000,0.305000,-23.200000,12.200000,-26.300000
22419,663403210,211504,683.001073500,0.215689000,0.781000,-0.288000,0.478000,-25.900000,25.700000,-22.900000
22420,663422529,230823,683.016594200,0.231209700,0.825000,-0.425000,0.445000,-15.100000,9.500000,-14.600000
22421,663441665,249959,683.035495700,0.250111200,0.876000,-0.356000,0.443000,-7.800000,-3.900000,-5.600000
22422,663460862,269156,683.055915100,0.270530600,0.865000,-0.265000,0.355000,2.900000,-1.300000,-7.300000
22423,663480181,288475,683.074381000,0.288996500,0.871000,-0.258000,0.476000,8.600000,-2.100000,0.100000
22424,663499378,307672,683.097943300,0.312558800,0.861000,-0.216000,0.552000,9.100000,-21.600000,6.900000
22425,663518667,326961,683.114538000,0.329153500,0.874000,-0.286000,0.347000,8.600000,-44.000000,28.600000
22426,663537895,346189,683.131452200,0.346067700,0.855000,-0.204000,0.400000,7.400000,-20.000000,15.100000
22427,663557153,365447,683.153171100,0.367786600,0.857000,-0.355000,0.297000,0.700000,-5.500000,14.700000
22428,663576319,384613,683.170507100,0.385122600,0.903000,-0.445000,0.232000,-7.800000,19.300000,-17.500000
22429,663595608,403902,683.190858300,0.405473800,0.906000,-0.169000,0.447000,-22.300000,39.000000,5.700000
22430,663614774,423068,683.211607000,0.426222500,0.841000,-0.199000,0.597000,-29.100000,13.400000,18.200000
22431,663633941,442235,683.227566800,0.442182300,0.792000,-0.325000,0.522000,-15.200000,-9.200000,17.700000
22432,663653260,461554,683.247347100,0.461962600,0.833000,-0.439000,0.392000,-2.400000,-13.900000,11.700000
22433,663672549,480843,683.271914200,0.486529700,0.844000,-0.414000,0.353000,4.800000,-8.000000,0.500000
22434,663691715,500009,683.285530100,0.500145600,0.858000,-0.322000,0.400000,6.100000,-2.800000,-2.100000
22435,663710943,519237,683.304394600,0.519010100,0.883000,-0.256000,0.430000,4.500000,-0.200000,-0.200000
22436,663730171,538465,683.325240800,0.539856300,0.856000,-0.257000,0.452000,-0.700000,-0.700000,6.800000
22437,663749368,557662,683.343451400,0.558066900,0.839000,-0.330000,0.439000,-2.100000,-2.700000,8.500000
22438,663768656,576950,683.362554600,0.577170100,0.838000,-0.354000,0.427000,-0.900000,-1.900000,6.100000
22439,663787823,596117,683.381548000,0.596163500,0.824000,-0.371000,0.432000,0.000000,-2.400000,4.400000
22440,663807020,615314,683.400472500,0.615088000,0.850000,-0.361000,0.410000,1.200000,-2.700000,0.600000
22441,663826309,634603,683.420357900,0.634973400,0.853000,-0.320000,0.420000,2.700000,-2.700000,2.200000
22442,663845536,653830,683.439360400,0.653975900,0.854000,-0.322000,0.426000,1.200000,-3.800000,3.500000
22443,663864794,673088,683.461092600,0.675708100,0.865000,-0.335000,0.410000,-3.200000,-2.400000,2.600000
22444,663883961,692255,683.477628300,0.692243800,0.836000,-0.351000,0.437000,-4.900000,-1.600000,2.500000
22445,663903249,711543,683.499039800,0.713655300,0.852000,-0.357000,0.421000,-4.600000,-2.500000,1.100000
22446,663922477,730771,683.517230000,0.731845500,0.851000,-0.338000,0.405000,-5.000000,-0.700000,-0.600000
