meta_label,u
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
11180,1193339082,0,5507.041088800,0.000000000,0.860000,-0.005000,0.512000,4.500000,-3.300000,-4.400000
11181,1193358279,19197,5507.063258300,0.022169500,0.873000,-0.021000,0.518000,1.900000,-2.800000,-4.700000
11182,1193377629,38547,5507.080091800,0.039003000,0.838000,-0.038000,0.531000,1.300000,-5.100000,-9.800000
11183,1193396765,57683,5507.099156900,0.058068100,0.817000,-0.016000,0.513000,-1.500000,-10.200000,-17.900000
11184,1193415931,76849,5507.124761700,0.083672900,0.886000,0.023000,0.526000,-10.100000,-2.600000,-9.200000
11185,1193435220,96138,5507.137166600,0.096077800,0.869000,-0.033000,0.483000,-1.200000,-7.200000,-2.500000
11186,1193454509,115427,5507.157200400,0.116111600,0.873000,0.009000,0.528000,11.400000,-3.000000,-2.600000
11187,1193473706,134624,5507.178789900,0.137701100,0.867000,0.087000,0.570000,16.100000,-10.800000,14.800000
11188,1193492872,153790,5507.195314700,0.154225900,0.860000,-0.111000,0.434000,4.800000,-24.000000,35.000000
11189,1193512161,173079,5507.215074800,0.173986000,0.854000,0.083000,0.518000,0.000000,1.600000,0.000000
11190,1193531480,192398,5507.235778800,0.194690000,0.932000,-0.099000,0.476000,-10.100000,-12.700000,-6.400000
11191,1193550647,211565,5507.253269000,0.212180200,0.892000,-0.076000,0.454000,-17.200000,-2.000000,-24.500000
11192,1193569874,230792,5507.272640000,0.231551200,0.821000,-0.065000,0.533000,-10.600000,1.200000,-43.700000
11193,1193589102,250020,5507.291093000,0.250004200,0.825000,0.012000,0.595000,-9.300000,3.600000,-8.300000
11194,1193608299,269217,5507.310234700,0.269145900,0.867000,-0.013000,0.500000,-0.600000,-3.500000,-7.400000
11195,1193627587,288505,5507.330682000,0.289593200,0.862000,0.060000,0.491000,5.800000,-1.600000,-1.200000
11196,1193646754,307672,5507.349226000,0.308137200,0.864000,0.062000,0.544000,8.400000,-1.800000,4.700000
11197,1193665951,326869,5507.370950300,0.329861500,0.855000,0.163000,0.542000,0.800000,-12.900000,28.800000
11198,1193685179,346097,5507.387123700,0.346034900,0.889000,-0.050000,0.384000,-4.600000,-7.000000,29.800000
11199,1193704559,365477,5507.413982800,0.372894000,0.871000,-0.081000,0.504000,-6.400000,2.100000,18.700000
11200,1193723725,384643,5507.426130200,0.385041400,0.885000,-0.176000,0.490000,-1.000000,2.800000,5.000000
11201,1193742892,403810,5507.445209500,0.404120700,0.921000,-0.023000,0.447000,-1.900000,11.000000,-15.300000
11202,1193762211,423129,5507.464662200,0.423573400,0.931000,0.186000,0.459000,-14.500000,25.100000,-3.400000
11203,1193781500,442418,5507.487808000,0.446719200,0.863000,0.138000,0.536000,-26.000000,23.400000,13.900000
11204,1193800666,461584,5507.503323400,0.462234600,0.792000,-0.079000,0.604000,-24.000000,14.800000,22.400000
11205,1193819833,480751,5507.523834100,0.482745300,0.753000,-0.239000,0.638000,-13.000000,2.000000,12.700000
11206,1193839122,500040,5507.545455100,0.504366300,0.776000,-0.236000,0.609000,1.400000,-8.500000,-5.000000
11207,1193858288,519206,5507.560844200,0.519755400,0.827000,-0.119000,0.550000,7.200000,-13.200000,-12.900000
11208,1193877516,538434,5507.580177400,0.539088600,0.889000,0.037000,0.482000,1.600000,-9.800000,-7.700000
11209,1193896743,557661,5507.599120400,0.558031600,0.908000,0.058000,0.467000,-2.500000,-3.000000,0.300000
11210,1193915940,576858,5507.627884600,0.586795800,0.894000,-0.023000,0.491000,-3.200000,3.900000,6.400000
11211,1193935290,596208,5507.637189500,0.596100700,0.853000,-0.050000,0.525000,-2.400000,5.100000,5.900000
11212,1193954426,615344,5507.656168700,0.615079900,0.834000,-0.080000,0.546000,-1.600000,4.100000,3.400000
11213,1193973684,634602,5507.676097900,0.635009100,0.838000,-0.074000,0.553000,0.000000,1.500000,0.700000
11214,1193992912,653830,5507.695181200,0.654092400,0.869000,-0.074000,0.523000,0.300000,0.700000,-0.900000
11215,1194012200,673118,5507.714111600,0.673022800,0.876000,-0.028000,0.503000,0.400000,5.000000,-2.600000
11216,1194031428,692346,5507.734286300,0.693197500,0.877000,-0.004000,0.514000,1.800000,5.600000,-1.400000
11217,1194050625,711543,5507.753142700,0.712053900,0.908000,0.014000,0.491000,0.100000,8.100000,4.300000
11218,1194069853,730771,5507.773208600,0.732119800,0.898000,-0.015000,0.504000,-0.900000,13.700000,8.400000
