meta_label,W
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
38769,977813718,0,997.351996700,0.000000000,0.852000,-0.276000,0.438000,5.100000,-4.200000,-3.700000
38770,977832916,19198,997.370904100,0.018907400,0.880000,-0.259000,0.431000,6.500000,-2.200000,-5.600000
38771,977852204,38486,997.392536600,0.040539900,0.874000,-0.223000,0.442000,6.100000,-3.300000,-3.100000
38772,977871432,57714,997.408987600,0.056990900,0.864000,-0.227000,0.458000,7.400000,-5.200000,-1.400000
38773,977890690,76972,997.429056700,0.077060000,0.859000,-0.244000,0.438000,6.900000,-5.500000,-3.400000
38774,977909856,96138,997.448032700,0.096036000,0.848000,-0.260000,0.429000,4.600000,-1.900000,-11.000000
38775,977929145,115427,997.468806500,0.116809800,0.824000,-0.309000,0.431000,2.500000,2.800000,-25.400000
38776,977948373,134655,997.485963700,0.133967000,0.892000,-0.308000,0.473000,4.700000,2.700000,-40.600000
38777,977967631,153913,997.505007300,0.153010600,0.967000,0.013000,0.512000,-21.600000,2.200000,-20.700000
38778,977986858,173140,997.529121000,0.177124300,0.902000,-0.190000,0.320000,-17.400000,-10.300000,-1.400000
38779,978006086,192368,997.543925000,0.191928300,0.882000,-0.187000,0.441000,3.400000,-10.900000,3.800000
38780,978025253,211535,997.562912500,0.210915800,0.935000,-0.149000,0.619000,5.400000,-56.000000,32.900000
38781,978044480,230762,997.584309500,0.232312800,0.843000,-0.180000,0.220000,13.500000,-25.300000,12.200000
38782,978063708,249990,997.602024100,0.250027400,0.884000,-0.219000,0.321000,-19.800000,-0.400000,4.200000
38783,978082905,269187,997.622304800,0.270308100,0.923000,-0.395000,0.273000,-27.400000,5.500000,-27.600000
38784,978102255,288537,997.639916200,0.287919500,0.877000,-0.117000,0.410000,-22.400000,33.300000,-46.000000
38785,978121391,307673,997.659031700,0.307035000,0.875000,-0.229000,0.460000,-14.400000,-0.400000,-1.000000
38786,978140557,326839,997.679538600,0.327541900,0.912000,-0.209000,0.418000,7.300000,-3.100000,-6.600000
38787,978159876,346158,997.697979300,0.345982600,0.925000,-0.046000,0.581000,12.800000,-47.700000,17.300000
38788,978179165,365447,997.717095200,0.365098500,0.876000,-0.296000,0.297000,10.300000,-23.500000,17.500000
38789,978198362,384644,997.740405000,0.388408300,0.861000,-0.193000,0.377000,-9.500000,-7.300000,-3.000000
38790,978217590,403872,997.754925900,0.402929200,0.958000,-0.327000,0.402000,-33.700000,-6.800000,-2.400000
38791,978236817,423099,997.775024100,0.423027400,0.783000,-0.133000,0.218000,-33.400000,17.800000,-37.000000
38792,978256106,442388,997.793916500,0.441919800,0.835000,-0.137000,0.486000,-26.200000,29.700000,-17.000000
38793,978275272,461554,997.812987000,0.460990300,0.876000,-0.338000,0.205000,-2.100000,32.700000,-4.500000
38794,978294439,480721,997.832159400,0.480162700,0.928000,-0.180000,0.375000,12.900000,38.900000,1.400000
38795,978313758,500040,997.851928000,0.499931300,1.112000,0.070000,0.503000,-23.600000,26.300000,36.600000
38796,978332955,519237,997.871030400,0.519033700,0.907000,-0.142000,0.489000,-24.000000,21.900000,51.600000
38797,978352213,538495,997.889926400,0.537929700,0.728000,-0.390000,0.528000,-21.100000,12.500000,46.700000
38798,978371380,557662,997.909100800,0.557104100,0.708000,-0.538000,0.518000,-7.600000,0.800000,24.100000
38799,978390577,576859,997.927991100,0.575994400,0.770000,-0.475000,0.459000,11.200000,-5.400000,2.700000
38800,978409896,596178,997.947969300,0.595972600,0.853000,-0.347000,0.403000,22.000000,-6.800000,-8.800000
38801,978429185,615467,997.966966000,0.614969300,0.890000,-0.226000,0.414000,21.800000,-3.400000,-11.100000
38802,978448351,634633,997.985966400,0.633969700,0.927000,-0.125000,0.433000,15.100000,-0.700000,-4.500000
38803,978467518,653800,998.004908300,0.652911600,0.911000,-0.118000,0.458000,4.200000,0.900000,6.900000
38804,978486837,673119,998.028380200,0.676383500,0.868000,-0.215000,0.464000,2.200000,-0.700000,12.500000
38805,978506126,692408,998.043956400,0.691959700,0.852000,-0.305000,0.454000,4.100000,-1.400000,11.600000
38806,978525292,711574,998.062953500,0.710956800,0.841000,-0.307000,0.456000,10.300000,-0.900000,4.900000
38807,978544520,730802,998.083891900,0.731895200,0.868000,-0.298000,0.433000,13.600000,3.400000,0.200000
38808,978563747,750029,998.100960300,0.748963600,0.905000,-0.260000,0.414000,7.300000,11.100000,-2.900000
38809,978582914,769196,998.121003800,0.769007100,0.898000,-0.231000,0.414000,0.100000,20.300000,-4.800000
38810,978602142,788424,998.139965900,0.787969200,0.897000,-0.246000,0.436000,-2.100000,31.100000,-7.900000
38811,978621369,807651,998.158992100,0.806995400,0.912000,-0.266000,0.444000,-0.300000,33.400000,-7.800000
38812,978640566,826848,998.179292800,0.827296100,0.895000,-0.257000,0.456000,1.000000,37.200000,-12.100000
38813,978659916,846198,998.197988700,0.845992000,0.849000,-0.222000,0.494000,0.000000,37.800000,-13.200000
38814,978679052,865334,998.217137000,0.865140300,0.813000,-0.229000,0.566000,5.400000,31.200000,-7.600000
38815,978698371,884653,998.239270500,0.887273800,0.781000,-0.212000,0.598000,12.500000,19.700000,2.500000
38816,978717538,903820,998.255045400,0.903048700,0.786000,-0.245000,0.568000,16.100000,9.100000,9.200000
