meta_label,w
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
57966,86714717,0,106.411063500,0.000000000,0.869000,-0.123000,0.500000,-2.300000,-3.900000,-0.800000
57967,86734036,19319,106.432711900,0.021648400,0.864000,-0.193000,0.499000,-3.000000,-5.700000,0.300000
57968,86753202,38485,106.449810700,0.038747200,0.856000,-0.190000,0.499000,-3.100000,-5.400000,-4.600000
57969,86772461,57744,106.468894100,0.057830600,0.839000,-0.167000,0.495000,-3.700000,-4.600000,-4.800000
57970,86791688,76971,106.489011500,0.077948000,0.864000,-0.146000,0.500000,-1.000000,-3.600000,-7.300000
57971,86810946,96229,106.510355300,0.099291800,0.858000,-0.135000,0.499000,-0.900000,-5.000000,-2.000000
57972,86830143,115426,106.527489200,0.116425700,0.880000,-0.181000,0.484000,1.500000,-8.600000,0.500000
57973,86849432,134715,106.545862800,0.134799300,0.880000,-0.189000,0.468000,3.900000,-6.000000,-2.100000
57974,86868599,153882,106.564677500,0.153614000,0.859000,-0.186000,0.476000,3.600000,-4.200000,-5.800000
57975,86887765,173048,106.583865400,0.172801900,0.859000,-0.172000,0.479000,6.100000,-3.500000,-6.200000
57976,86907084,192367,106.609256600,0.198193100,0.870000,-0.133000,0.487000,8.300000,-3.300000,-0.600000
57977,86926281,211564,106.622794700,0.211731200,0.883000,-0.124000,0.485000,9.300000,-3.800000,1.400000
57978,86945539,230822,106.643263400,0.232199900,0.867000,-0.142000,0.491000,5.400000,-3.000000,4.300000
57979,86964798,250081,106.668932800,0.257869300,0.842000,-0.165000,0.509000,3.000000,-3.300000,0.700000
57980,86984056,269339,106.680831500,0.269768000,0.848000,-0.190000,0.482000,1.400000,-2.800000,-4.100000
57981,87003222,288505,106.699723000,0.288659500,0.852000,-0.156000,0.498000,2.800000,-1.700000,-8.200000
57982,87022511,307794,106.720333400,0.309269900,0.848000,-0.170000,0.483000,2.500000,-0.100000,-9.600000
57983,87041677,326960,106.737866700,0.326803200,0.806000,-0.233000,0.527000,2.300000,-0.100000,-24.200000
57984,87060966,346249,106.757993100,0.346929600,0.949000,-0.044000,0.534000,-5.800000,1.600000,-21.800000
57985,87080163,365446,106.781197200,0.370133700,0.933000,-0.098000,0.458000,-16.100000,-4.700000,-2.700000
57986,87099452,384735,106.795905000,0.384841500,0.873000,-0.130000,0.406000,-0.400000,-4.900000,3.900000
57987,87118618,403901,106.814882900,0.403819400,0.958000,-0.025000,0.630000,4.100000,-36.300000,30.400000
57988,87137785,423068,106.836106200,0.425042700,0.825000,-0.180000,0.435000,5.600000,-26.100000,23.700000
57989,87157104,442387,106.853824000,0.442760500,0.831000,-0.218000,0.473000,-6.500000,-1.600000,-0.400000
