meta_label,X
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
31860,1873344579,0,1684.886995700,0.000000000,0.828000,0.124000,0.510000,-5.300000,0.500000,-7.900000
31861,1873363746,19167,1684.911436900,0.024441200,0.769000,0.103000,0.563000,-5.600000,0.500000,3.300000
31862,1873383065,38486,1684.926139900,0.039144200,0.775000,0.048000,0.582000,0.000000,-8.000000,7.300000
31863,1873402354,57775,1684.945059900,0.058064200,0.831000,0.025000,0.555000,9.100000,-12.500000,9.500000
31864,1873421520,76941,1684.964171300,0.077175600,0.880000,0.030000,0.509000,11.200000,-16.400000,7.800000
31865,1873440748,96169,1684.984062200,0.097066500,0.947000,0.052000,0.439000,8.100000,-16.000000,-0.900000
31866,1873459975,115396,1685.003633700,0.116638000,0.938000,0.095000,0.404000,1.900000,-6.100000,-4.000000
31867,1873479142,134563,1685.022088100,0.135092400,0.897000,0.080000,0.446000,-2.600000,0.900000,-1.300000
31868,1873498369,153790,1685.041164000,0.154168300,0.860000,0.053000,0.502000,-4.500000,2.600000,-2.200000
31869,1873517658,173079,1685.062131400,0.175135700,0.829000,0.020000,0.545000,-2.000000,-6.300000,-6.700000
31870,1873536916,192337,1685.080176800,0.193181100,0.785000,-0.009000,0.595000,1.900000,-15.400000,-13.800000
31871,1873556052,211473,1685.100188900,0.213193200,0.711000,-0.101000,0.741000,12.900000,-39.500000,-30.000000
31872,1873575432,230853,1685.118184300,0.231188600,1.065000,0.196000,0.297000,-2.900000,-27.200000,-43.300000
31873,1873594599,250020,1685.137214800,0.250219100,0.896000,0.207000,0.164000,-15.800000,-22.500000,-19.400000
31874,1873613766,269187,1685.157196600,0.270200900,0.957000,0.215000,0.346000,5.200000,6.500000,-4.900000
31875,1873633024,288445,1685.178994400,0.291998700,0.876000,0.224000,0.503000,5.000000,-21.600000,18.500000
31876,1873652251,307672,1685.195193800,0.308198100,0.958000,0.114000,0.419000,6.600000,-24.700000,36.300000
31877,1873671479,326900,1685.214209200,0.327213500,0.817000,0.101000,0.388000,16.300000,-6.800000,31.400000
31878,1873690676,346097,1685.233220600,0.346224900,0.841000,0.037000,0.443000,13.800000,-1.500000,24.900000
31879,1873709995,365416,1685.253038500,0.366042800,0.914000,-0.035000,0.439000,-1.600000,11.300000,4.900000
31880,1873729162,384583,1685.273610000,0.386614300,0.976000,0.102000,0.351000,-25.800000,30.100000,-28.600000
31881,1873748450,403871,1685.291054100,0.404058400,0.786000,0.058000,0.583000,-35.400000,28.100000,-18.100000
31882,1873767617,423038,1685.310249400,0.423253700,0.719000,-0.022000,0.734000,-17.700000,-15.400000,-13.300000
31883,1873786845,442266,1685.330207700,0.443212000,0.706000,-0.093000,0.767000,11.700000,-47.700000,-15.300000
31884,1873806133,461554,1685.349055700,0.462060000,1.029000,0.224000,0.296000,-5.000000,-15.100000,-6.500000
31885,1873825269,480690,1685.368841600,0.481845900,0.804000,0.342000,0.345000,11.500000,-3.900000,15.100000
31886,1873844619,500040,1685.387212100,0.500216400,0.960000,-0.056000,0.461000,23.500000,3.600000,57.600000
31887,1873863785,519206,1685.407050200,0.520054500,0.930000,-0.001000,0.370000,27.600000,2.400000,34.300000
31888,1873883074,538495,1685.426759500,0.539763800,0.897000,0.090000,0.356000,15.200000,-2.400000,10.300000
31889,1873902241,557662,1685.445189800,0.558194100,0.945000,0.075000,0.449000,-4.900000,8.200000,4.200000
31890,1873921407,576828,1685.464009400,0.577013700,0.971000,0.148000,0.354000,-18.600000,15.600000,-25.400000
31891,1873940726,596147,1685.483008700,0.596013000,0.898000,0.141000,0.451000,-32.000000,30.600000,-9.700000
31892,1873960015,615436,1685.503011800,0.616016100,0.846000,0.084000,0.498000,-24.500000,31.300000,4.000000
31893,1873979182,634603,1685.522199400,0.635203700,0.848000,0.044000,0.542000,-18.600000,22.800000,2.700000
31894,1873998440,653861,1685.540950700,0.653955000,0.809000,0.030000,0.593000,-14.200000,14.600000,10.000000
31895,1874017637,673058,1685.560026800,0.673031100,0.797000,-0.015000,0.607000,-10.400000,-3.400000,8.000000
31896,1874036834,692255,1685.580311900,0.693316200,0.814000,-0.044000,0.561000,3.400000,-13.900000,4.500000
31897,1874056153,711574,1685.599030300,0.712034600,0.839000,0.020000,0.519000,10.800000,-16.300000,4.600000
31898,1874075289,730710,1685.618003000,0.731007300,0.901000,0.017000,0.476000,11.800000,-17.300000,3.700000
31899,1874094639,750060,1685.637097300,0.750101600,0.892000,0.084000,0.437000,8.700000,-13.300000,0.000000
31900,1874113744,769165,1685.656042900,0.769047200,0.921000,0.075000,0.427000,4.400000,-7.900000,3.000000
31901,1874133063,788484,1685.676459300,0.789463600,0.928000,0.069000,0.418000,2.000000,-0.500000,4.100000
31902,1874152260,807681,1685.694946300,0.807950600,0.897000,0.080000,0.450000,-1.300000,4.500000,5.600000
