meta_label,x
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
34114,3408812719,0,3427.917447700,0.000000000,0.854000,0.017000,0.522000,6.200000,-8.400000,-4.100000
34115,3408831855,19136,3427.937086500,0.019638800,0.862000,0.058000,0.500000,6.000000,-7.000000,-1.700000
34116,3408851143,38424,3427.956585600,0.039137900,0.883000,0.052000,0.464000,3.400000,-2.000000,-0.600000
34117,3408870340,57621,3427.975744900,0.058297200,0.853000,0.035000,0.508000,1.400000,1.600000,-0.200000
34118,3408889598,76879,3427.994602100,0.077154400,0.810000,0.027000,0.565000,2.200000,-1.900000,0.000000
34119,3408908826,96107,3428.015565700,0.098118000,0.778000,-0.007000,0.592000,0.700000,-7.700000,-1.700000
34120,3408928023,115304,3428.033571200,0.116123500,0.737000,-0.135000,0.689000,7.700000,-21.700000,-12.800000
34121,3408947251,134532,3428.052570300,0.135122600,0.972000,-0.070000,0.499000,16.200000,-47.800000,-30.800000
34122,3408966478,153759,3428.071629300,0.154181600,0.869000,0.252000,0.360000,0.000000,-19.300000,-25.800000
34123,3408985736,173017,3428.090682800,0.173235100,0.899000,0.221000,0.325000,-4.700000,-14.500000,-7.900000
34124,3409004964,192245,3428.110675700,0.193228000,0.919000,0.142000,0.454000,-3.600000,-6.100000,5.900000
34125,3409024192,211473,3428.129544800,0.212097100,0.885000,0.110000,0.444000,-6.600000,-24.800000,23.600000
34126,3409043419,230700,3428.148565600,0.231117900,0.914000,-0.056000,0.353000,1.500000,-7.100000,11.100000
34127,3409062677,249958,3428.169692700,0.252245000,0.842000,-0.056000,0.532000,5.700000,0.700000,-8.100000
34128,3409081844,269125,3428.186795800,0.269348100,0.846000,0.014000,0.451000,0.100000,10.900000,-14.700000
34129,3409101041,288322,3428.206738500,0.289290800,0.880000,0.090000,0.525000,-10.600000,18.100000,-25.700000
34130,3409120299,307580,3428.233766900,0.316319200,0.738000,0.054000,0.662000,-14.000000,7.100000,-14.000000
34131,3409139649,326930,3428.244804200,0.327356500,0.952000,-0.053000,0.543000,-1.300000,-20.900000,-12.000000
34132,3409158815,346096,3428.263716700,0.346269000,0.862000,0.141000,0.475000,-4.500000,-12.800000,0.500000
34133,3409177982,365263,3428.285049300,0.367601600,0.790000,0.157000,0.502000,6.800000,-0.900000,7.000000
34134,3409197271,384552,3428.302761200,0.385313500,0.924000,0.086000,0.491000,23.300000,-2.600000,35.100000
34135,3409216468,403749,3428.322265400,0.404817700,0.937000,-0.044000,0.363000,16.000000,-1.200000,40.400000
34136,3409235756,423037,3428.340646600,0.423198900,0.896000,0.083000,0.289000,11.100000,8.600000,-4.100000
34137,3409254923,442204,3428.359543100,0.442095400,1.020000,0.033000,0.461000,-16.200000,5.400000,-0.300000
34138,3409274211,461492,3428.380878200,0.463430500,1.070000,0.177000,0.323000,-23.400000,44.600000,-15.700000
34139,3409293378,480659,3428.398729800,0.481282100,0.783000,0.191000,0.520000,-37.300000,38.500000,9.700000
34140,3409312606,499887,3428.417635600,0.500187900,0.739000,-0.032000,0.691000,-20.400000,17.100000,3.600000
34141,3409331833,519114,3428.439578300,0.522130600,0.700000,-0.104000,0.689000,-8.800000,-1.300000,4.800000
34142,3409351030,538311,3428.456615800,0.539168100,0.819000,-0.101000,0.591000,3.900000,-14.800000,-4.300000
34143,3409370380,557661,3428.475623000,0.558175300,0.872000,0.016000,0.517000,10.800000,-17.300000,-7.000000
34144,3409389516,576797,3428.494615400,0.577167700,0.892000,0.110000,0.471000,8.700000,-12.800000,-4.600000
34145,3409408835,596116,3428.513665400,0.596217700,0.900000,0.106000,0.463000,1.300000,-8.100000,-0.100000
34146,3409428002,615283,3428.532620900,0.615173200,0.903000,0.081000,0.477000,-0.200000,-0.700000,3.200000
34147,3409447290,634571,3428.552687200,0.635239500,0.876000,0.028000,0.509000,-2.000000,1.200000,5.200000
34148,3409466487,653768,3428.580126400,0.662678700,0.867000,0.002000,0.525000,0.800000,2.100000,3.000000
34149,3409485715,672996,3428.590680100,0.673232400,0.849000,0.024000,0.533000,3.000000,0.900000,1.600000
34150,3409504943,692224,3428.609926600,0.692478900,0.823000,0.033000,0.530000,3.000000,-1.700000,2.400000
34151,3409524231,711512,3428.629640100,0.712192400,0.840000,0.002000,0.532000,1.300000,-4.200000,-1.900000
34152,3409543398,730679,3428.648490600,0.731042900,0.866000,-0.012000,0.524000,4.200000,-4.600000,-7.300000
34153,3409562625,749906,3428.668053300,0.750605600,0.876000,0.026000,0.503000,2.300000,-3.700000,-9.200000
34154,3409581853,769134,3428.686858100,0.769410400,0.852000,0.055000,0.510000,-1.900000,-2.500000,-11.100000
34155,3409601050,788331,3428.705550900,0.788103200,0.852000,0.050000,0.535000,-1.300000,-4.300000,-11.200000
34156,3409620339,807620,3428.727038600,0.809590900,0.846000,0.054000,0.495000,-7.000000,-5.100000,-10.900000
34157,3409639658,826939,3428.744619200,0.827171500,0.899000,0.048000,0.483000,-3.100000,-1.500000,-9.100000
