meta_label,B
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
64293,208382971,0,228.057920800,0.000000000,0.883000,-0.041000,0.481000,2.800000,-4.600000,-1.800000
64294,208402260,19289,228.076958000,0.019037200,0.897000,-0.043000,0.478000,0.900000,-3.200000,0.500000
64295,208421488,38517,228.096021500,0.038100700,0.881000,-0.050000,0.485000,-1.600000,-0.700000,1.200000
64296,208440715,57744,228.118978200,0.061057400,0.866000,-0.065000,0.496000,-4.200000,-1.300000,1.400000
64297,208459912,76941,228.134931300,0.077010500,0.857000,-0.091000,0.507000,-4.600000,-2.600000,-0.200000
64298,208479201,96230,228.154102300,0.096181500,0.860000,-0.088000,0.507000,-0.100000,-5.500000,0.000000
64299,208498367,115396,228.178947200,0.121026400,0.875000,-0.066000,0.485000,1.400000,-5.300000,0.200000
64300,208517595,134624,228.191969100,0.134048300,0.872000,-0.073000,0.485000,-0.200000,-4.400000,-0.600000
64301,208536823,153852,228.211965200,0.154044400,0.839000,-0.119000,0.512000,-1.100000,-5.400000,-2.900000
64302,208556020,173049,228.233467300,0.175546500,0.813000,-0.161000,0.541000,0.000000,-7.700000,-18.600000
64303,208575339,192368,228.249974000,0.192053200,0.794000,-0.167000,0.562000,5.600000,-16.400000,-30.400000
64304,208594628,211657,228.268908200,0.210987400,1.059000,0.063000,0.421000,-18.200000,-5.500000,-12.100000
64305,208613825,230854,228.289259300,0.231338500,0.898000,0.051000,0.393000,-11.600000,-2.500000,-4.900000
64306,208632991,250020,228.307967200,0.250046400,0.908000,0.000000,0.476000,-3.800000,-1.300000,2.000000
64307,208652280,269309,228.332332100,0.274411300,0.918000,-0.085000,0.490000,1.200000,-5.600000,9.000000
64308,208671446,288475,228.348187400,0.290266600,0.821000,-0.098000,0.447000,4.800000,-24.700000,26.800000
64309,208690613,307642,228.364978200,0.307057400,0.918000,0.087000,0.563000,14.500000,7.900000,-4.600000
64310,208709932,326961,228.385101300,0.327180500,0.845000,-0.062000,0.350000,-2.000000,-15.700000,24.100000
64311,208729221,346250,228.409064600,0.351143800,0.885000,-0.146000,0.503000,-3.900000,5.100000,4.900000
64312,208748387,365416,228.422883500,0.364962700,0.826000,-0.247000,0.443000,-15.100000,21.100000,-31.100000
64313,208767554,384583,228.445879700,0.387958900,0.854000,-0.122000,0.606000,-18.700000,19.400000,-30.100000
64314,208786843,403872,228.462063700,0.404142900,0.926000,-0.048000,0.591000,-14.300000,11.100000,-25.200000
64315,208806009,423038,228.481011700,0.423090900,0.890000,0.052000,0.435000,-16.100000,-4.200000,-6.300000
64316,208825359,442388,228.503854200,0.445933400,0.881000,0.039000,0.404000,-24.800000,-5.200000,-0.900000
64317,208844495,461524,228.519000000,0.461079200,0.942000,-0.070000,0.452000,-26.600000,-3.100000,-23.500000
64318,208863692,480721,228.537960400,0.480039600,0.874000,-0.085000,0.501000,-16.100000,-7.400000,-4.600000
64319,208882981,500010,228.557904600,0.499983800,0.864000,-0.084000,0.565000,4.000000,-7.700000,1.700000
64320,208902269,519298,228.576961400,0.519040600,0.839000,-0.156000,0.464000,24.800000,-0.700000,2.800000
64321,208921466,538495,228.596029700,0.538108900,0.810000,-0.125000,0.512000,23.300000,-16.800000,31.800000
64322,208940633,557662,228.617375200,0.559454400,0.921000,-0.128000,0.502000,24.100000,-3.100000,3.900000
64323,208959921,576950,228.634898500,0.576977700,0.894000,0.087000,0.390000,10.000000,-8.100000,-2.600000
64324,208979149,596178,228.654060300,0.596139500,0.866000,0.153000,0.410000,-13.300000,0.000000,0.800000
64325,208998346,615375,228.676387200,0.618466400,0.907000,-0.074000,0.487000,-26.400000,1.400000,8.500000
64326,209017574,634603,228.694056900,0.636136100,0.964000,-0.026000,0.521000,-11.400000,-15.400000,-4.600000
64327,209036801,653830,228.711979500,0.654058700,0.872000,-0.110000,0.420000,-4.900000,-10.000000,6.600000
64328,209055998,673027,228.730857100,0.672936300,0.841000,-0.261000,0.568000,2.500000,-3.700000,-2.600000
64329,209075379,692408,228.749993900,0.692073100,0.843000,-0.166000,0.557000,20.100000,-7.900000,-3.600000
64330,209094515,711544,228.768945200,0.711024400,0.766000,0.033000,0.516000,2.900000,-4.100000,26.500000
64331,209113712,730741,228.792513500,0.734592700,0.900000,-0.022000,0.362000,-1.600000,-4.900000,1.900000
64332,209133000,750029,228.807939600,0.750018800,0.897000,0.115000,0.362000,-12.000000,8.500000,4.600000
64333,209152228,769257,228.826797600,0.768876800,0.902000,-0.034000,0.436000,-7.600000,10.300000,10.700000
64334,209171486,788515,228.849446700,0.791525900,1.003000,-0.122000,0.504000,7.000000,22.200000,-13.600000
64335,209190653,807682,228.864859700,0.806938900,0.941000,0.094000,0.454000,-22.100000,11.500000,6.500000
64336,209209941,826970,228.884907900,0.826987100,0.898000,-0.027000,0.483000,-24.400000,21.200000,17.200000
64337,209229108,846137,228.904327700,0.846406900,0.858000,-0.091000,0.489000,-21.800000,14.600000,22.200000
64338,209248274,865303,228.922853600,0.864932800,0.796000,-0.255000,0.535000,-18.000000,12.200000,22.000000
64339,209267563,884592,228.943006400,0.885085600,0.777000,-0.255000,0.548000,-1.900000,5.300000,3.500000
64340,209286791,903820,228.960966500,0.903045700,0.807000,-0.209000,0.549000,6.400000,0.300000,0.300000
64341,209306049,923078,228.982971700,0.925050900,0.835000,-0.153000,0.529000,12.900000,-5.100000,-8.100000
64342,209325276,942305,229.000731000,0.942810200,0.861000,-0.071000,0.517000,13.800000,-6.000000,-5.500000
64343,209344504,961533,229.018908700,0.960987900,0.901000,-0.049000,0.494000,9.700000,-2.800000,-1.300000
64344,209363701,980730,229.037834600,0.979913800,0.891000,-0.090000,0.490000,7.600000,-0.400000,-1.200000
64345,209383020,1000049,229.057759000,0.999838200,0.845000,-0.128000,0.510000,8.500000,0.000000,-1.800000
64346,209402156,1019185,229.077806500,1.019885700,0.844000,-0.145000,0.511000,12.100000,-1.000000,-7.500000
64347,209421353,1038382,229.095957000,1.038036200,0.882000,-0.114000,0.487000,14.200000,-2.400000,-10.700000
64348,209440642,1057671,229.114988300,1.057067500,0.892000,-0.053000,0.474000,11.900000,0.700000,-11.700000
64349,209459931,1076960,229.139494600,1.081573800,0.908000,-0.025000,0.481000,7.900000,6.200000,-11.300000
64350,209479128,1096157,229.154119800,1.096199000,0.876000,-0.029000,0.496000,3.700000,9.200000,-6.700000
64351,209498294,1115323,229.173074400,1.115153600,0.857000,-0.047000,0.525000,4.100000,7.200000,-6.400000
64352,209517583,1134612,229.194894900,1.136974100,0.825000,-0.058000,0.537000,4.800000,3.000000,-2.300000
64353,209536780,1153809,229.210964600,1.153043800,0.838000,-0.135000,0.536000,6.000000,-2.100000,-5.700000
64354,209556008,1173037,229.230912800,1.172992000,0.844000,-0.134000,0.522000,10.700000,-3.600000,-12.100000
64355,209575235,1192264,229.249765000,1.191844200,0.855000,-0.104000,0.520000,8.700000,-4.300000,-20.000000
64356,209594524,1211553,229.268977900,1.211057100,0.865000,-0.027000,0.508000,9.300000,-3.500000,-15.500000
64357,209613690,1230719,229.288025900,1.230105100,0.886000,0.014000,0.505000,6.600000,-0.700000,-7.400000
64358,209632918,1249947,229.307984400,1.250063600,0.859000,-0.009000,0.511000,4.700000,-0.200000,-2.300000
64359,209652146,1269175,229.326964700,1.269043900,0.884000,-0.060000,0.498000,4.200000,1.200000,-3.500000
64360,209671343,1288372,229.349814100,1.291893300,0.893000,-0.053000,0.492000,2.100000,4.600000,-8.100000
