meta_label,B
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
24281,1959466781,0,1978.830446400,0.000000000,0.841000,-0.066000,0.526000,-0.600000,-2.400000,-3.700000
24282,1959485978,19197,1978.849453200,0.019006800,0.839000,-0.063000,0.535000,1.200000,-5.100000,-6.800000
24283,1959505328,38547,1978.868399500,0.037953100,0.825000,-0.075000,0.547000,2.100000,-7.900000,-13.900000
24284,1959524464,57683,1978.887449100,0.057002700,0.963000,-0.011000,0.482000,-2.800000,-9.700000,-21.700000
24285,1959543722,76941,1978.907348000,0.076901600,0.876000,0.048000,0.490000,-17.600000,-7.100000,-11.200000
24286,1959562950,96169,1978.926367800,0.095921400,0.879000,-0.045000,0.466000,-7.400000,-6.400000,-4.000000
24287,1959582238,115457,1978.946979000,0.116532600,0.885000,0.000000,0.490000,7.000000,-3.400000,-5.900000
24288,1959601405,134624,1978.964422200,0.133975800,0.906000,0.130000,0.545000,1.900000,-25.200000,23.900000
24289,1959620571,153790,1978.983786800,0.153340400,0.908000,-0.013000,0.470000,16.700000,-14.300000,34.200000
24290,1959639891,173110,1979.003416900,0.172970500,0.817000,0.005000,0.384000,13.400000,-4.500000,17.400000
24291,1959659179,192398,1979.022479600,0.192033200,0.837000,-0.114000,0.488000,-3.800000,7.200000,8.200000
24292,1959678346,211565,1979.046094700,0.215648300,0.804000,-0.288000,0.472000,-13.000000,12.200000,-19.900000
24293,1959697573,230792,1979.060491800,0.230045400,0.848000,-0.029000,0.679000,-7.700000,12.500000,-43.600000
24294,1959716801,250020,1979.080521900,0.250075500,0.877000,0.033000,0.611000,-18.800000,-6.200000,-25.600000
24295,1959735967,269186,1979.101547500,0.271101100,0.928000,0.138000,0.335000,-22.400000,-10.100000,-5.600000
24296,1959755317,288536,1979.118517100,0.288070700,0.938000,0.056000,0.503000,-10.700000,-4.700000,-14.100000
24297,1959774453,307672,1979.137383300,0.306936900,0.823000,0.118000,0.436000,-7.300000,-10.500000,-1.000000
24298,1959793650,326869,1979.157806300,0.327359900,0.870000,-0.005000,0.540000,2.400000,-11.300000,14.900000
24299,1959812908,346127,1979.176360500,0.345914100,0.830000,-0.124000,0.597000,13.300000,-8.400000,24.300000
24300,1959832105,365324,1979.200106700,0.369660300,0.810000,-0.184000,0.572000,12.200000,-11.900000,23.100000
24301,1959851425,384644,1979.214431500,0.383985100,0.807000,-0.020000,0.561000,8.100000,-6.100000,8.700000
24302,1959870591,403810,1979.233616500,0.403170100,0.955000,0.130000,0.387000,4.700000,-10.400000,2.000000
24303,1959889880,423099,1979.261565200,0.431118800,0.888000,0.077000,0.347000,-5.600000,-2.500000,7.100000
24304,1959909107,442326,1979.272413300,0.441966900,0.911000,-0.113000,0.499000,-11.200000,-1.700000,5.300000
24305,1959928335,461554,1979.291443700,0.460997300,0.912000,-0.051000,0.502000,-0.700000,-19.900000,2.900000
24306,1959947532,480751,1979.310610600,0.480164200,0.886000,-0.085000,0.586000,8.100000,-17.200000,10.600000
24307,1959966821,500040,1979.334074400,0.503628000,0.816000,-0.129000,0.512000,13.300000,-7.900000,5.100000
24308,1959985987,519206,1979.350562700,0.520116300,0.827000,0.045000,0.516000,9.300000,-7.200000,11.700000
24309,1960005215,538434,1979.368440100,0.537993700,0.810000,-0.004000,0.478000,6.200000,6.800000,11.100000
24310,1960024443,557662,1979.392355200,0.561908800,0.883000,0.060000,0.370000,-0.900000,7.500000,1.400000
24311,1960043640,576859,1979.406497700,0.576051300,0.959000,-0.076000,0.460000,-3.900000,9.000000,-0.200000
24312,1960062928,596147,1979.426343100,0.595896700,0.934000,-0.072000,0.425000,4.000000,2.000000,-5.100000
24313,1960082186,615405,1979.445628800,0.615182400,1.005000,0.079000,0.452000,5.800000,6.500000,-19.000000
24314,1960101444,634663,1979.464424000,0.633977600,0.955000,0.190000,0.412000,-22.000000,14.700000,6.600000
24315,1960120611,653830,1979.483510400,0.653064000,0.855000,0.050000,0.531000,-31.800000,24.900000,24.800000
24316,1960139900,673119,1979.505107300,0.674660900,0.732000,-0.157000,0.623000,-26.700000,21.200000,23.700000
24317,1960159066,692285,1979.522365800,0.691919400,0.722000,-0.294000,0.655000,-9.200000,7.300000,14.800000
24318,1960178233,711452,1979.542994100,0.712547700,0.776000,-0.227000,0.605000,6.100000,-6.900000,-5.800000
24319,1960197552,730771,1979.561129500,0.730683100,0.855000,-0.121000,0.510000,11.700000,-7.100000,-10.800000
24320,1960216841,750060,1979.580498600,0.750052200,0.902000,-0.007000,0.481000,6.900000,-4.600000,-8.400000
24321,1960236007,769226,1979.606670100,0.776223700,0.924000,0.059000,0.477000,-0.600000,-0.100000,2.400000
24322,1960255235,788454,1979.618580000,0.788133600,0.854000,-0.022000,0.527000,-3.200000,1.500000,9.800000
24323,1960274462,807681,1979.637368700,0.806922300,0.837000,-0.109000,0.539000,1.700000,0.200000,10.600000
24324,1960293659,826878,1979.656998600,0.826552200,0.834000,-0.138000,0.548000,5.900000,-3.400000,5.400000
24325,1960312979,846198,1979.676540600,0.846094200,0.847000,-0.114000,0.515000,5.900000,-3.100000,-2.800000
24326,1960332115,865334,1979.695525100,0.865078700,0.857000,-0.063000,0.514000,5.300000,-1.900000,-7.800000
24327,1960351312,884531,1979.714611000,0.884164600,0.868000,-0.042000,0.514000,1.900000,-0.600000,-6.600000
24328,1960370600,903819,1979.734279900,0.903833500,0.866000,-0.021000,0.524000,0.900000,-1.500000,-4.900000
24329,1960389828,923047,1979.752516000,0.922069600,0.870000,-0.017000,0.514000,-1.400000,-1.000000,0.500000
24330,1960409086,942305,1979.772512000,0.942065600,0.883000,-0.058000,0.500000,-2.600000,0.500000,3.400000
24331,1960428253,961472,1979.792974400,0.962528000,0.854000,-0.065000,0.525000,-1.300000,1.700000,2.000000
24332,1960447541,980760,1979.810476100,0.980029700,0.845000,-0.064000,0.537000,-0.200000,-1.000000,2.600000
24333,1960466769,999988,1979.830262200,0.999815800,0.848000,-0.077000,0.529000,0.200000,-1.100000,0.000000
24334,1960486027,1019246,1979.852652400,1.022206000,0.855000,-0.070000,0.519000,-1.900000,-0.600000,-3.600000
24335,1960505194,1038413,1979.868537300,1.038090900,0.857000,-0.050000,0.526000,-5.400000,0.100000,-5.300000
