meta_label,B
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
64555,959483092,0,5273.227353800,0.000000000,0.844000,0.211000,0.482000,-0.800000,-2.800000,-9.800000
64556,959502380,19288,5273.248825300,0.021471500,0.791000,0.157000,0.539000,-0.400000,-7.700000,-15.600000
64557,959521547,38455,5273.265174200,0.037820400,0.745000,0.143000,0.628000,5.300000,-20.500000,-22.700000
64558,959540713,57621,5273.284161500,0.056807700,0.725000,0.177000,0.647000,17.600000,-39.200000,-28.300000
64559,959560033,76941,5273.305746000,0.078392200,1.051000,0.374000,0.266000,-4.000000,-30.400000,-23.700000
64560,959579321,96229,5273.323195800,0.095842000,0.889000,0.302000,0.194000,-13.400000,-10.500000,1.700000
64561,959598488,115396,5273.342118400,0.114764600,0.874000,0.314000,0.410000,2.100000,1.600000,6.200000
64562,959617715,134623,5273.365925900,0.138572100,0.902000,0.341000,0.472000,1.100000,-2.300000,39.300000
64563,959636943,153851,5273.381220800,0.153867000,0.836000,0.081000,0.353000,9.500000,5.000000,33.700000
64564,959656110,173018,5273.400112800,0.172759000,0.863000,0.203000,0.447000,0.000000,8.700000,20.300000
64565,959675337,192245,5273.419269000,0.191915200,0.844000,0.093000,0.521000,-7.100000,4.500000,-32.400000
64566,959694565,211473,5273.446523100,0.219169300,0.801000,0.110000,0.549000,-16.900000,-7.200000,-61.500000
64567,959713762,230670,5273.458791200,0.231437400,0.846000,0.275000,0.520000,-13.900000,-15.900000,-42.700000
64568,959733112,250020,5273.477185300,0.249831500,0.927000,0.332000,0.313000,-17.400000,-21.200000,-13.200000
64569,959752248,269156,5273.505451000,0.278097200,0.931000,0.198000,0.382000,-8.400000,-6.200000,-6.900000
64570,959771567,288475,5273.515105400,0.287751600,0.909000,0.393000,0.264000,-12.700000,-15.700000,-2.900000
64571,959790733,307641,5273.534221900,0.306868100,0.834000,0.246000,0.469000,-5.600000,-5.000000,14.000000
64572,959810022,326930,5273.554679600,0.327325800,0.809000,0.229000,0.582000,4.900000,-0.700000,20.100000
64573,959829250,346158,5273.573253800,0.345900000,0.789000,0.161000,0.655000,13.100000,-0.600000,12.600000
64574,959848477,365385,5273.593262400,0.365908600,0.813000,0.049000,0.629000,16.300000,-1.200000,10.800000
64575,959867674,384582,5273.614807000,0.387453200,0.951000,0.341000,0.203000,10.600000,-5.700000,7.200000
64576,959886963,403871,5273.631165100,0.403811300,0.899000,0.391000,0.058000,-3.700000,-1.500000,-1.100000
64577,959906129,423037,5273.654397200,0.427043400,0.966000,0.284000,0.442000,-9.000000,-1.500000,25.500000
64578,959925357,442265,5273.669264300,0.441910500,0.895000,0.152000,0.499000,-1.000000,-0.300000,15.900000
64579,959944585,461493,5273.688041000,0.460687200,0.754000,0.070000,0.649000,16.300000,0.700000,10.800000
64580,959963782,480690,5273.711622200,0.484268400,0.746000,0.273000,0.502000,3.200000,0.600000,9.900000
64581,959983101,500009,5273.727137000,0.499783200,0.751000,0.303000,0.257000,-7.900000,0.000000,-5.700000
64582,960002328,519236,5273.746143600,0.518789800,0.913000,0.344000,0.110000,-26.100000,11.700000,-3.000000
64583,960021587,538495,5273.770159800,0.542806000,0.979000,0.106000,0.419000,-10.700000,15.400000,-9.300000
64584,960040753,557661,5273.784166400,0.556812600,1.098000,0.309000,0.385000,-10.300000,2.500000,10.500000
64585,960060042,576950,5273.804153500,0.576799700,0.877000,0.112000,0.443000,-18.300000,33.400000,11.000000
64586,960079208,596116,5273.823134900,0.595781100,0.789000,0.145000,0.559000,-11.000000,22.200000,4.200000
64587,960098375,615283,5273.842288300,0.614934500,0.779000,0.189000,0.525000,-12.900000,13.100000,-0.800000
64588,960117694,634602,5273.864393800,0.637040000,0.770000,0.215000,0.566000,-11.800000,10.200000,-7.900000
64589,960136983,653891,5273.881302400,0.653948600,0.761000,0.139000,0.596000,-6.900000,1.500000,-12.500000
64590,960156149,673057,5273.900193800,0.672840000,0.785000,0.171000,0.589000,1.500000,-6.500000,-10.900000
64591,960175377,692285,5273.919290700,0.691936900,0.857000,0.200000,0.512000,9.400000,-8.500000,-6.500000
64592,960194604,711512,5273.938227100,0.710873300,0.925000,0.215000,0.451000,7.300000,-3.700000,-7.000000
64593,960213740,730648,5273.961396400,0.734042600,0.937000,0.206000,0.410000,2.500000,0.400000,-13.100000
