meta_label,b
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
28937,1817135407,0,1628.687874000,0.000000000,0.820000,-0.176000,0.537000,-3.900000,1.000000,-1.000000
28938,1817154573,19166,1628.707868200,0.019994200,0.818000,-0.174000,0.547000,1.200000,-4.900000,-2.900000
28939,1817173740,38333,1628.728318300,0.040444300,0.819000,-0.144000,0.535000,4.000000,-9.900000,-4.100000
28940,1817193029,57622,1628.745863200,0.057989200,0.855000,-0.135000,0.516000,5.100000,-11.500000,-4.600000
28941,1817212195,76788,1628.766018400,0.078144400,0.870000,-0.134000,0.499000,3.500000,-11.400000,-6.700000
28942,1817231362,95955,1628.784004600,0.096130600,0.838000,-0.162000,0.485000,1.000000,-4.400000,-13.900000
28943,1817250681,115274,1628.803879300,0.116005300,0.810000,-0.207000,0.479000,-0.400000,-2.900000,-27.000000
28944,1817269970,134563,1628.823232800,0.135358800,0.976000,-0.010000,0.516000,-16.800000,9.500000,-17.800000
28945,1817289136,153729,1628.841908400,0.154034400,0.913000,-0.067000,0.469000,-18.200000,-10.100000,-2.300000
28946,1817308425,173018,1628.860863800,0.172989800,0.874000,-0.117000,0.466000,-1.700000,-1.500000,2.200000
28947,1817327591,192184,1628.880982300,0.193108300,0.909000,-0.089000,0.533000,16.400000,-4.100000,1.600000
28948,1817346819,211412,1628.899910500,0.212036500,0.917000,-0.084000,0.642000,11.300000,-45.700000,41.300000
28949,1817366108,230701,1628.921299600,0.233425600,0.832000,-0.118000,0.336000,16.500000,-35.200000,38.200000
28950,1817385244,249837,1628.937986600,0.250112600,0.821000,-0.186000,0.404000,0.700000,-34.800000,42.100000
28951,1817404441,269034,1628.959026600,0.271152600,0.856000,-0.176000,0.457000,-6.700000,1.800000,4.600000
28952,1817423729,288322,1628.976835600,0.288961600,0.881000,-0.236000,0.521000,-25.300000,-6.800000,-4.700000
28953,1817443048,307641,1628.995789300,0.307915300,0.852000,-0.249000,0.302000,-19.700000,9.500000,-23.700000
28954,1817462215,326808,1629.019323000,0.331449000,0.921000,-0.094000,0.552000,-14.200000,22.700000,-33.700000
28955,1817481382,345975,1629.033929400,0.346055400,0.876000,-0.031000,0.496000,-4.900000,0.900000,-18.400000
28956,1817500670,365263,1629.053853300,0.365979300,0.918000,-0.125000,0.479000,3.600000,-5.400000,-6.300000
28957,1817519898,384491,1629.072948500,0.385074500,0.869000,-0.138000,0.497000,1.500000,-17.700000,4.600000
28958,1817539125,403718,1629.091861000,0.403987000,0.828000,-0.152000,0.444000,-3.200000,-19.500000,8.300000
28959,1817558323,422916,1629.113964200,0.426090200,0.865000,-0.167000,0.513000,-4.800000,-7.600000,13.800000
28960,1817577581,442174,1629.130017500,0.442143500,0.872000,-0.197000,0.479000,-1.000000,-16.000000,15.500000
28961,1817596839,461432,1629.149774800,0.461900800,0.851000,-0.129000,0.475000,4.900000,-1.600000,-3.100000
28962,1817616127,480720,1629.168902300,0.481028300,0.824000,-0.271000,0.483000,-5.400000,-9.900000,18.900000
