meta_label,b
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
39783,483117532,0,4796.946255000,0.000000000,0.840000,0.012000,0.566000,2.700000,-7.500000,3.900000
39784,483136698,19166,4796.965241000,0.018986000,0.874000,0.002000,0.506000,4.000000,-5.800000,-0.200000
39785,483156017,38485,4796.986077400,0.039822400,0.855000,0.040000,0.495000,2.800000,-1.100000,1.000000
39786,483175306,57774,4797.004263100,0.058008100,0.843000,0.025000,0.524000,-0.600000,0.400000,-1.700000
39787,483194472,76940,4797.024193300,0.077938300,0.819000,-0.005000,0.553000,-0.700000,2.000000,-7.300000
39788,483213639,96107,4797.045993700,0.099738700,0.770000,-0.051000,0.598000,-2.100000,-4.100000,-16.000000
39789,483232928,115396,4797.061269800,0.115014800,0.764000,-0.055000,0.614000,0.600000,-9.900000,-32.200000
39790,483252094,134562,4797.081282000,0.135027000,0.916000,0.018000,0.544000,8.400000,-19.000000,-38.900000
39791,483271322,153790,4797.100496400,0.154241400,0.961000,0.325000,0.440000,-14.300000,-8.800000,4.400000
39792,483290549,173017,4797.119116500,0.172861500,0.890000,0.031000,0.449000,15.200000,0.900000,4.400000
39793,483309746,192214,4797.138402600,0.192147600,0.877000,0.318000,0.690000,11.400000,-25.800000,51.700000
39794,483329066,211534,4797.160838600,0.214583600,0.782000,-0.100000,0.439000,15.300000,-26.000000,52.100000
39795,483348293,230761,4797.177282100,0.231027100,0.907000,-0.014000,0.386000,17.800000,2.700000,-3.000000
39796,483367551,250019,4797.196300700,0.250045700,0.859000,-0.009000,0.555000,-11.000000,-17.000000,25.900000
39797,483386718,269186,4797.215236800,0.268981800,0.874000,-0.122000,0.496000,-11.800000,2.200000,-12.400000
39798,483406007,288475,4797.234474400,0.288219400,0.906000,-0.065000,0.428000,-3.400000,1.800000,-42.900000
39799,483425234,307702,4797.254962100,0.308707100,0.859000,0.145000,0.484000,-3.900000,1.900000,-39.200000
39800,483444462,326930,4797.274019400,0.327764400,0.861000,0.170000,0.495000,-0.100000,-2.700000,-25.300000
39801,483463659,346127,4797.292393600,0.346138600,0.888000,0.113000,0.575000,3.600000,-15.000000,3.000000
39802,483482947,365415,4797.311214700,0.364959700,0.841000,0.032000,0.520000,0.000000,-7.300000,9.600000
39803,483502114,384582,4797.332371800,0.386116800,0.838000,-0.044000,0.584000,-0.700000,-5.400000,-0.600000
39804,483521342,403810,4797.350396400,0.404141400,0.809000,0.049000,0.540000,1.200000,-3.000000,17.800000
39805,483540569,423037,4797.371470600,0.425215600,0.857000,0.025000,0.425000,5.500000,-2.400000,-11.300000
39806,483559766,442234,4797.388306000,0.442051000,0.857000,0.239000,0.343000,-9.200000,4.100000,-7.100000
39807,483579055,461523,4797.407257900,0.461002900,0.911000,0.171000,0.421000,-17.500000,9.500000,10.100000
39808,483598222,480690,4797.427146600,0.480891600,0.930000,-0.190000,0.542000,-3.900000,11.800000,8.600000
39809,483617571,500039,4797.446260100,0.500005100,0.953000,0.111000,0.519000,7.100000,3.700000,-18.800000
39810,483636738,519206,4797.465258200,0.519003200,0.946000,0.173000,0.415000,-12.700000,6.600000,0.700000
39811,483655996,538464,4797.489148700,0.542893700,0.828000,0.125000,0.513000,-20.500000,20.700000,9.800000
39812,483675193,557661,4797.504306800,0.558051800,0.801000,0.013000,0.573000,-17.500000,12.700000,14.800000
39813,483694360,576828,4797.523175700,0.576920700,0.801000,-0.096000,0.591000,-10.200000,5.300000,5.700000
39814,483713648,596116,4797.542190600,0.595935600,0.765000,-0.065000,0.612000,-6.300000,1.000000,-1.100000
39815,483732876,615344,4797.570046200,0.623791200,0.812000,-0.029000,0.593000,1.100000,-4.300000,-2.900000
39816,483752134,634602,4797.581103100,0.634848100,0.850000,0.052000,0.535000,2.700000,-4.600000,0.000000
39817,483771361,653829,4797.600244100,0.653989100,0.843000,0.060000,0.529000,3.100000,-6.900000,3.100000
39818,483790589,673057,4797.619599300,0.673344300,0.883000,0.044000,0.518000,2.800000,-3.500000,3.300000
39819,483809756,692224,4797.638262100,0.692007100,0.833000,0.012000,0.551000,1.200000,-5.100000,3.600000
39820,483828983,711451,4797.665895000,0.719640000,0.814000,-0.008000,0.575000,1.000000,-8.800000,4.000000
39821,483848211,730679,4797.677228000,0.730973000,0.872000,-0.078000,0.524000,8.400000,-12.600000,-2.700000
