meta_label,C
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
57194,3852641059,0,3871.667037400,0.000000000,0.857000,0.049000,0.539000,4.800000,-3.000000,-4.400000
57195,3852660287,19228,3871.687540600,0.020503200,0.869000,0.049000,0.550000,13.000000,-6.600000,-1.800000
57196,3852679515,38456,3871.706044900,0.039007500,0.853000,0.064000,0.539000,11.900000,-8.400000,-0.900000
57197,3852698712,57653,3871.725046400,0.058009000,0.850000,0.056000,0.532000,5.400000,-10.400000,-5.000000
57198,3852718031,76972,3871.744115500,0.077078100,0.823000,0.047000,0.559000,-1.700000,-14.400000,-14.200000
57199,3852737167,96108,3871.770784900,0.103747500,0.811000,0.043000,0.565000,-6.000000,-14.800000,-14.200000
57200,3852756516,115457,3871.783073600,0.116036200,0.859000,0.114000,0.534000,-19.000000,-8.800000,-7.900000
57201,3852775683,134624,3871.802786000,0.135748600,0.866000,0.068000,0.550000,-15.100000,-6.300000,-1.100000
57202,3852794972,153913,3871.822834700,0.155797300,0.831000,0.076000,0.501000,-8.400000,-4.800000,1.800000
57203,3852814138,173079,3871.839973600,0.172936200,0.824000,0.047000,0.512000,-4.500000,0.100000,4.900000
57204,3852833305,192246,3871.858996300,0.191958900,0.859000,-0.029000,0.620000,5.700000,2.800000,18.700000
57205,3852852593,211534,3871.879013500,0.211976100,0.862000,0.189000,0.490000,12.500000,-1.800000,24.100000
57206,3852871821,230762,3871.898058500,0.231021100,0.879000,0.114000,0.511000,14.900000,-14.800000,35.600000
57207,3852891079,250020,3871.920604900,0.253567500,0.859000,0.020000,0.428000,5.100000,-18.600000,30.800000
57208,3852910246,269187,3871.936100400,0.269063000,0.964000,0.134000,0.579000,-5.100000,-28.900000,24.200000
57209,3852929534,288475,3871.955974300,0.288936900,0.841000,-0.028000,0.413000,-26.400000,-19.900000,6.600000
57210,3852948701,307642,3871.979995700,0.312958300,0.840000,-0.183000,0.447000,-21.900000,-13.100000,-32.600000
57211,3852967929,326870,3871.994027500,0.326990100,0.827000,-0.012000,0.521000,-5.000000,8.900000,-21.200000
57212,3852987217,346158,3872.013349600,0.346312200,0.821000,0.022000,0.525000,6.500000,14.400000,-13.800000
57213,3853006384,365325,3872.035337400,0.368300000,0.914000,0.042000,0.448000,-11.900000,27.300000,-16.200000
57214,3853025672,384613,3872.052169100,0.385131700,0.893000,0.187000,0.553000,-22.800000,37.700000,4.700000
57215,3853044992,403933,3872.071282600,0.404245200,0.820000,0.077000,0.590000,-12.000000,24.100000,18.900000
57216,3853064158,423099,3872.090008400,0.422971000,0.760000,0.029000,0.639000,-4.200000,12.400000,18.300000
57217,3853083325,442266,3872.108902400,0.441865000,0.771000,-0.048000,0.602000,3.300000,3.700000,14.600000
57218,3853102613,461554,3872.135095600,0.468058200,0.829000,-0.059000,0.568000,7.100000,1.600000,4.400000
57219,3853121810,480751,3872.147919600,0.480882200,0.850000,-0.015000,0.545000,5.700000,2.600000,-2.400000
57220,3853141038,499979,3872.170931800,0.503894400,0.863000,0.026000,0.532000,3.500000,4.100000,-6.100000
57221,3853160235,519176,3872.186037900,0.519000500,0.861000,0.037000,0.539000,0.200000,4.900000,-7.800000
57222,3853179554,538495,3872.206083900,0.539046500,0.857000,0.018000,0.557000,2.200000,5.600000,-5.500000
57223,3853198721,557662,3872.225095000,0.558057600,0.857000,0.016000,0.558000,0.800000,5.300000,-11.600000
57224,3853217948,576889,3872.243919000,0.576881600,0.876000,0.035000,0.540000,0.100000,7.500000,-10.500000
57225,3853237176,596117,3872.267407900,0.600370500,0.900000,0.016000,0.529000,-2.100000,13.500000,-13.800000
57226,3853256404,615345,3872.282009300,0.614971900,0.891000,-0.003000,0.548000,-1.600000,18.400000,-19.200000
57227,3853275662,634603,3872.302042200,0.635004800,0.856000,0.022000,0.571000,-0.800000,19.300000,-25.100000
