meta_label,C
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
11381,4231914320,0,4250.873237800,0.000000000,0.885000,-0.065000,0.462000,-0.500000,-2.600000,-1.000000
11382,4231933487,19167,4250.896077900,0.022840100,0.877000,-0.096000,0.501000,-1.000000,-2.200000,-2.200000
11383,4231952806,38486,4250.911097400,0.037859600,0.876000,-0.106000,0.505000,2.000000,-4.800000,-1.000000
11384,4231972003,57683,4250.930743500,0.057505700,0.872000,-0.101000,0.498000,1.800000,-5.600000,-4.700000
11385,4231991292,76972,4250.950220800,0.076983000,0.879000,-0.092000,0.490000,-0.600000,-6.600000,-9.800000
11386,4232010580,96260,4250.969257500,0.096019700,0.847000,-0.113000,0.519000,0.000000,-10.300000,-15.300000
11387,4232029777,115457,4250.989338600,0.116100800,0.831000,-0.112000,0.469000,0.300000,-21.500000,-19.800000
11388,4232048944,134624,4251.010256600,0.137018800,0.976000,0.030000,0.428000,-10.900000,-8.600000,-5.500000
11389,4232068232,153912,4251.027159800,0.153922000,0.881000,-0.047000,0.466000,-12.800000,-4.100000,-3.000000
11390,4232087460,173140,4251.048841700,0.175603900,0.875000,-0.130000,0.512000,-11.100000,-4.400000,3.200000
11391,4232106657,192337,4251.065198600,0.191960800,0.860000,-0.123000,0.495000,-5.500000,-4.800000,-3.700000
11392,4232125885,211565,4251.084182700,0.210944900,0.853000,-0.097000,0.496000,-4.400000,-1.600000,2.200000
11393,4232145173,230853,4251.106714700,0.233476900,0.906000,-0.095000,0.519000,6.200000,-1.300000,-0.500000
11394,4232164340,250020,4251.123268800,0.250031000,0.877000,0.081000,0.490000,10.000000,-5.400000,7.700000
11395,4232183568,269248,4251.142119400,0.268881600,0.884000,-0.041000,0.483000,6.400000,-17.600000,37.400000
11396,4232202795,288475,4251.164042300,0.290804500,0.936000,0.004000,0.524000,15.400000,-27.400000,32.700000
11397,4232221992,307672,4251.180101200,0.306863400,0.917000,-0.096000,0.382000,3.000000,-7.600000,3.700000
11398,4232241250,326930,4251.200137200,0.326899400,0.953000,-0.065000,0.543000,-20.500000,-30.800000,11.300000
11399,4232260478,346158,4251.221811100,0.348573300,0.808000,-0.181000,0.322000,-26.700000,-21.900000,1.400000
11400,4232279736,365416,4251.238154400,0.364916600,0.929000,-0.205000,0.291000,-13.300000,-1.600000,-4.800000
11401,4232298964,384644,4251.260374400,0.387136600,0.857000,-0.058000,0.389000,-0.900000,14.400000,-9.100000
11402,4232318252,403932,4251.277216600,0.403978800,0.916000,-0.141000,0.505000,6.700000,23.900000,-8.300000
11403,4232337419,423099,4251.296128300,0.422890500,1.031000,0.102000,0.436000,-14.800000,20.200000,6.800000
11404,4232356585,442265,4251.318245400,0.445007600,0.933000,0.064000,0.432000,-21.400000,29.300000,32.100000
11405,4232375874,461554,4251.334208100,0.460970300,0.864000,-0.058000,0.512000,-21.600000,23.100000,45.200000
11406,4232395102,480782,4251.353144900,0.479907100,0.774000,-0.229000,0.559000,-19.200000,16.700000,38.400000
11407,4232414360,500040,4251.373280100,0.500042300,0.751000,-0.327000,0.580000,-15.000000,9.300000,22.600000
11408,4232433496,519176,4251.392760500,0.519522700,0.771000,-0.326000,0.563000,-2.600000,0.600000,4.800000
11409,4232452815,538495,4251.411259100,0.538021300,0.830000,-0.238000,0.509000,6.300000,-6.200000,-2.700000
11410,4232471982,557662,4251.430203300,0.556965500,0.875000,-0.165000,0.469000,10.400000,-7.100000,-2.100000
11411,4232491209,576889,4251.451945800,0.578708000,0.946000,-0.093000,0.425000,10.400000,-3.100000,3.700000
11412,4232510498,596178,4251.469207100,0.595969300,0.917000,-0.058000,0.440000,0.700000,5.700000,9.800000
11413,4232529756,615436,4251.488057300,0.614819500,0.873000,-0.126000,0.512000,1.300000,5.800000,12.700000
11414,4232548984,634664,4251.507256600,0.634018800,0.800000,-0.254000,0.544000,8.600000,1.400000,11.900000
11415,4232568120,653800,4251.526156500,0.652918700,0.765000,-0.275000,0.576000,14.300000,-4.800000,4.400000
11416,4232587439,673119,4251.548064500,0.674826700,0.812000,-0.289000,0.545000,21.700000,-13.800000,-6.000000
11417,4232606605,692285,4251.566179800,0.692942000,0.871000,-0.206000,0.476000,25.000000,-13.300000,-13.700000
11418,4232625894,711574,4251.584178300,0.710940500,0.906000,-0.119000,0.446000,19.800000,-7.700000,-17.500000
11419,4232645122,730802,4251.607728300,0.734490500,0.940000,-0.037000,0.413000,8.300000,-2.400000,-15.400000
11420,4232664349,750029,4251.623213100,0.749975300,0.922000,-0.008000,0.418000,-5.100000,4.600000,-9.200000
11421,4232683546,769226,4251.643109700,0.769871900,0.889000,-0.049000,0.472000,-9.600000,9.900000,-1.800000
