meta_label,c
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
25341,1747984198,0,1559.549364500,0.000000000,0.787000,-0.129000,0.600000,2.200000,-11.900000,2.500000
25342,1748003426,19228,1559.568319100,0.018954600,0.803000,-0.121000,0.549000,6.500000,-15.900000,-1.100000
25343,1748022714,38516,1559.587198500,0.037834000,0.855000,-0.070000,0.527000,8.600000,-13.500000,-3.200000
25344,1748041850,57652,1559.607575000,0.058210500,0.880000,-0.034000,0.511000,6.200000,-9.700000,-3.400000
25345,1748061047,76849,1559.626382400,0.077017900,0.886000,-0.025000,0.515000,3.600000,-5.800000,0.400000
25346,1748080336,96138,1559.645324000,0.095959500,0.873000,-0.069000,0.523000,2.600000,-3.800000,6.200000
25347,1748099655,115457,1559.668844300,0.119479800,0.856000,-0.083000,0.530000,3.600000,-1.900000,5.000000
25348,1748118822,134624,1559.683364900,0.134000400,0.840000,-0.063000,0.555000,0.500000,-0.500000,0.700000
25349,1748137988,153790,1559.703248600,0.153884100,0.831000,-0.071000,0.559000,-1.700000,-2.200000,0.400000
25350,1748157307,173109,1559.724273100,0.174908600,0.842000,-0.076000,0.552000,-1.800000,-2.900000,0.100000
25351,1748176596,192398,1559.741361900,0.191997400,0.836000,-0.088000,0.547000,-0.300000,-4.500000,1.000000
25352,1748195763,211565,1559.760682100,0.211317600,0.842000,-0.098000,0.541000,1.100000,-5.300000,2.300000
25353,1748214990,230792,1559.780361900,0.230997400,0.835000,-0.097000,0.542000,1.500000,-4.600000,0.100000
25354,1748234218,250020,1559.799403900,0.250039400,0.841000,-0.095000,0.538000,1.400000,-4.800000,-3.100000
25355,1748253445,269247,1559.819779200,0.270414700,0.836000,-0.088000,0.551000,1.500000,-5.800000,-4.300000
25356,1748272734,288536,1559.837338800,0.287974300,0.867000,-0.082000,0.536000,2.300000,-7.000000,-6.400000
25357,1748291870,307672,1559.856371800,0.307007300,0.849000,-0.065000,0.535000,2.200000,-7.300000,-6.200000
25358,1748311159,326961,1559.877294800,0.327930300,0.846000,-0.071000,0.540000,2.800000,-8.700000,-7.400000
25359,1748330356,346158,1559.895245100,0.345880600,0.844000,-0.076000,0.537000,-0.500000,-10.400000,-11.400000
25360,1748349675,365477,1559.915165500,0.365801000,0.900000,-0.057000,0.498000,-6.800000,-7.000000,-13.300000
25361,1748368842,384644,1559.933363200,0.383998700,0.832000,-0.062000,0.556000,-12.500000,-1.400000,-8.800000
25362,1748388008,403810,1559.953345900,0.403981400,0.840000,-0.086000,0.520000,-11.000000,-0.800000,-8.600000
25363,1748407297,423099,1559.976641400,0.427276900,0.861000,-0.093000,0.543000,-7.300000,-3.300000,-2.800000
25364,1748426524,442326,1559.991296000,0.441931500,0.853000,-0.139000,0.520000,-1.200000,2.900000,-3.400000
25365,1748445752,461554,1560.010401900,0.461037400,0.853000,-0.077000,0.540000,6.200000,-1.400000,12.900000
25366,1748464949,480751,1560.030224700,0.480860200,0.867000,0.007000,0.605000,21.500000,-12.400000,19.400000
25367,1748484238,500040,1560.049244200,0.499879700,0.893000,0.009000,0.552000,15.300000,-10.000000,13.000000
25368,1748503404,519206,1560.070944100,0.521579600,0.902000,0.068000,0.499000,-3.000000,-24.500000,17.500000
25369,1748522601,538403,1560.087365500,0.538001000,0.862000,-0.095000,0.519000,-19.300000,-20.500000,9.600000
25370,1748541859,557661,1560.106290100,0.556925600,0.808000,-0.152000,0.425000,-26.500000,-13.200000,-5.900000
25371,1748561087,576889,1560.126309800,0.576945300,0.788000,-0.344000,0.485000,-10.400000,3.800000,-16.700000
25372,1748580345,596147,1560.145303900,0.595939400,0.873000,-0.086000,0.508000,0.600000,12.600000,-12.500000
25373,1748599664,615466,1560.164569500,0.615205000,0.885000,0.038000,0.497000,1.500000,16.700000,-8.800000
25374,1748618709,634511,1560.183380700,0.634016200,1.001000,0.081000,0.488000,-16.500000,21.600000,10.200000
25375,1748638089,653891,1560.203308100,0.653943600,0.856000,-0.010000,0.555000,-24.500000,25.400000,24.400000
25376,1748657317,673119,1560.222305600,0.672941100,0.780000,-0.114000,0.594000,-20.100000,18.500000,19.000000
25377,1748676483,692285,1560.241257600,0.691893100,0.732000,-0.193000,0.631000,-16.000000,5.500000,5.500000
25378,1748695711,711513,1560.263946500,0.714582000,0.766000,-0.222000,0.606000,-5.000000,-8.100000,-0.700000
25379,1748714938,730740,1560.279399100,0.730034600,0.837000,-0.184000,0.555000,7.900000,-8.900000,-3.300000
25380,1748734166,749968,1560.299410900,0.750046400,0.851000,-0.084000,0.527000,6.700000,-7.000000,-5.300000
25381,1748753424,769226,1560.320285500,0.770921000,0.879000,-0.037000,0.520000,3.700000,-4.600000,-2.700000
25382,1748772713,788515,1560.337457800,0.788093300,0.850000,-0.047000,0.539000,-1.600000,-2.300000,1.600000
25383,1748791879,807681,1560.362096500,0.812732000,0.835000,-0.105000,0.545000,-4.700000,-4.900000,4.200000
25384,1748811107,826909,1560.376452900,0.827088400,0.840000,-0.133000,0.533000,1.600000,-3.200000,2.300000
25385,1748830396,846198,1560.395529500,0.846165000,0.830000,-0.145000,0.549000,2.000000,-4.600000,1.600000
25386,1748849532,865334,1560.415713500,0.866349000,0.838000,-0.146000,0.546000,2.100000,-5.200000,-0.900000
25387,1748868729,884531,1560.433310600,0.883946100,0.840000,-0.139000,0.530000,4.400000,-5.200000,-4.500000
25388,1748888017,903819,1560.457326100,0.907961600,0.852000,-0.087000,0.536000,6.600000,-4.300000,-4.900000
25389,1748907336,923138,1560.472461400,0.923096900,0.871000,-0.060000,0.523000,2.200000,-2.700000,-3.500000
25390,1748926503,942305,1560.491501200,0.942136700,0.858000,-0.066000,0.534000,-1.300000,-1.800000,1.500000
25391,1748945670,961472,1560.510441900,0.961077400,0.854000,-0.128000,0.527000,0.400000,0.200000,-3.100000
25392,1748964958,980760,1560.529433800,0.980069300,0.838000,-0.122000,0.535000,0.700000,0.100000,-3.200000
25393,1748984186,999988,1560.554671000,1.005306500,0.832000,-0.113000,0.544000,5.300000,-2.200000,-6.700000
25394,1749003413,1019215,1560.568480200,1.019115700,0.865000,-0.079000,0.524000,5.500000,-1.800000,-7.600000
25395,1749022611,1038413,1560.591101100,1.041736600,0.875000,-0.048000,0.529000,2.700000,1.500000,-4.600000
25396,1749041899,1057701,1560.606214000,1.056849500,0.871000,-0.081000,0.526000,-2.100000,4.300000,-2.600000
25397,1749061066,1076868,1560.625357700,1.075993200,0.859000,-0.088000,0.541000,-4.300000,7.200000,-4.100000
25398,1749080293,1096095,1560.653364800,1.104000300,0.836000,-0.095000,0.560000,-4.000000,6.000000,-3.900000
25399,1749099521,1115323,1560.664499000,1.115134500,0.830000,-0.108000,0.552000,-1.100000,2.400000,-5.000000
25400,1749118749,1134551,1560.683299500,1.133935000,0.843000,-0.094000,0.546000,1.000000,4.200000,-7.400000
