meta_label,c
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
49103,1408402952,0,2849.243416500,0.000000000,0.819000,0.052000,0.566000,-7.200000,-6.100000,-7.500000
49104,1408422272,19320,2849.265095800,0.021679300,0.811000,0.032000,0.587000,-6.900000,-11.300000,-10.100000
49105,1408441438,38486,2849.282577000,0.039160500,0.820000,0.032000,0.580000,-4.600000,-13.800000,-14.800000
49106,1408460605,57653,2849.301569600,0.058153100,0.888000,0.074000,0.528000,-1.800000,-7.800000,-11.400000
49107,1408479893,76941,2849.322058800,0.078642300,0.873000,0.120000,0.520000,-3.100000,-8.500000,-4.500000
49108,1408499121,96169,2849.339452800,0.096036300,0.821000,0.088000,0.506000,0.100000,-4.900000,-1.600000
49109,1408518318,115366,2849.360036700,0.116620200,0.839000,0.042000,0.582000,4.100000,0.200000,1.400000
49110,1408537546,134594,2849.380931400,0.137514900,0.840000,0.053000,0.512000,13.800000,-5.200000,-0.500000
49111,1408556834,153882,2849.397512700,0.154096200,0.881000,0.181000,0.554000,19.900000,-7.000000,23.400000
49112,1408576001,173049,2849.416436500,0.173020000,0.857000,0.098000,0.435000,0.700000,-2.300000,9.300000
49113,1408595228,192276,2849.435476100,0.192059600,0.956000,0.179000,0.646000,-24.200000,-20.000000,14.100000
49114,1408614456,211504,2849.455590100,0.212173600,0.889000,0.000000,0.439000,-38.400000,-13.500000,5.400000
49115,1408633653,230701,2849.477121800,0.233705300,0.833000,-0.103000,0.520000,-24.200000,-9.100000,-13.900000
49116,1408653003,250051,2849.493628800,0.250212300,0.797000,0.152000,0.482000,-7.700000,5.900000,-4.600000
49117,1408672139,269187,2849.512640100,0.269223600,0.922000,0.072000,0.471000,1.900000,8.100000,-3.500000
49118,1408691305,288353,2849.531445300,0.288028800,0.970000,0.154000,0.459000,-2.600000,26.200000,-3.400000
49119,1408710594,307642,2849.551427300,0.308010800,0.843000,0.086000,0.545000,-20.100000,31.400000,16.500000
49120,1408729913,326961,2849.570443700,0.327027200,0.792000,0.013000,0.595000,-17.900000,26.300000,8.900000
49121,1408749080,346128,2849.589518300,0.346101800,0.765000,0.022000,0.650000,-16.000000,16.100000,6.300000
49122,1408768246,365294,2849.612829600,0.369413100,0.754000,-0.033000,0.655000,-9.900000,4.600000,2.800000
49123,1408787565,384613,2849.628496300,0.385079800,0.775000,-0.031000,0.641000,-1.400000,-4.000000,-0.200000
49124,1408806854,403902,2849.647635700,0.404219200,0.816000,-0.020000,0.601000,6.400000,-9.500000,-4.000000
49125,1408826021,423069,2849.667966100,0.424549600,0.842000,0.030000,0.539000,10.900000,-8.200000,-3.500000
49126,1408845187,442235,2849.685807700,0.442391200,0.871000,0.091000,0.530000,7.200000,-4.600000,0.200000
49127,1408864506,461554,2849.705513200,0.462096700,0.843000,0.095000,0.531000,2.800000,-3.600000,3.700000
49128,1408883642,480690,2849.724665900,0.481249400,0.853000,0.058000,0.537000,-0.900000,-1.900000,4.300000
49129,1408902992,500040,2849.743529000,0.500112500,0.831000,0.035000,0.572000,-1.700000,-0.500000,3.500000
49130,1408922128,519176,2849.766979200,0.523562700,0.814000,0.013000,0.581000,-0.500000,-1.500000,1.800000
49131,1408941325,538373,2849.781431200,0.538014700,0.813000,0.011000,0.587000,1.800000,-5.500000,0.000000
49132,1408960614,557662,2849.801465400,0.558048900,0.834000,0.029000,0.565000,5.100000,-7.900000,-1.900000
49133,1408979902,576950,2849.820758000,0.577341500,0.862000,0.054000,0.537000,4.400000,-5.600000,-3.300000
49134,1408999100,596148,2849.839540000,0.596123500,0.860000,0.076000,0.532000,1.800000,-2.600000,-2.800000
49135,1409018266,615314,2849.858683300,0.615266800,0.857000,0.066000,0.537000,-0.200000,-0.500000,-0.400000
49136,1409037555,634603,2849.879782500,0.636366000,0.852000,0.060000,0.543000,-1.900000,0.600000,-1.400000
