meta_label,D
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
44408,57860815,0,1498.942515600,0.000000000,0.833000,-0.072000,0.561000,2.100000,-8.100000,-5.900000
44409,57880012,19197,1498.960937000,0.018421400,0.806000,-0.106000,0.573000,2.900000,-10.200000,-9.900000
44410,57899301,38486,1498.981356100,0.038840500,0.933000,-0.048000,0.511000,-2.800000,-6.000000,-15.300000
44411,57918467,57652,1499.000004400,0.057488800,0.853000,0.022000,0.534000,-16.200000,-3.800000,-8.600000
44412,57937725,76910,1499.018724300,0.076208700,0.848000,-0.076000,0.516000,-9.600000,-5.000000,-1.700000
44413,57956953,96138,1499.037914600,0.095399000,0.859000,-0.057000,0.543000,2.200000,-3.100000,-3.800000
44414,57976241,115426,1499.057096300,0.114580700,0.896000,0.094000,0.640000,-1.200000,-23.300000,24.000000
44415,57995408,134593,1499.076837000,0.134321400,0.813000,-0.094000,0.441000,4.200000,-7.000000,13.000000
44416,58014575,153760,1499.095825100,0.153309500,0.823000,-0.053000,0.606000,-6.600000,-0.100000,5.700000
44417,58033894,173079,1499.114958100,0.172442500,0.831000,-0.111000,0.577000,-16.000000,-3.100000,1.900000
44418,58053182,192367,1499.133876000,0.191360400,0.765000,-0.312000,0.412000,-13.600000,17.000000,-25.500000
44419,58072349,211534,1499.153831000,0.211315400,0.821000,-0.123000,0.669000,-6.000000,18.500000,-46.200000
44420,58091515,230700,1499.172830100,0.230314500,0.938000,-0.051000,0.606000,0.900000,6.100000,-34.000000
44421,58110835,250020,1499.191892200,0.249376600,0.868000,0.146000,0.480000,-1.400000,-9.200000,-18.000000
44422,58130032,269217,1499.210762400,0.268246800,0.853000,0.083000,0.455000,1.300000,1.900000,-4.800000
44423,58149320,288505,1499.231629500,0.289113900,0.950000,0.087000,0.666000,-3.700000,-5.300000,-0.100000
44424,58168456,307641,1499.249834600,0.307319000,0.829000,0.046000,0.536000,-5.800000,-20.500000,12.300000
44425,58187653,326838,1499.268983600,0.326468000,0.841000,-0.132000,0.544000,-9.700000,-23.200000,25.600000
44426,58206973,346158,1499.291139300,0.348623700,0.805000,-0.203000,0.614000,2.400000,-7.900000,11.500000
44427,58226109,365294,1499.306773100,0.364257500,0.799000,-0.256000,0.516000,1.000000,-4.500000,-13.900000
44428,58245428,384613,1499.326794600,0.384279000,0.773000,0.042000,0.660000,8.500000,-5.500000,21.300000
44429,58264594,403779,1499.345886200,0.403370600,0.771000,0.015000,0.498000,8.400000,0.000000,27.500000
44430,58283914,423099,1499.364827000,0.422311400,0.827000,0.115000,0.456000,11.100000,-1.100000,-4.900000
44431,58303202,442387,1499.387532100,0.445016500,0.921000,-0.046000,0.546000,1.100000,7.100000,17.100000
44432,58322369,461554,1499.403801000,0.461285400,0.924000,-0.146000,0.613000,4.100000,-0.100000,7.400000
44433,58341596,480781,1499.422784200,0.480268600,0.887000,-0.052000,0.455000,3.900000,-2.000000,-5.300000
44434,58360824,500009,1499.441805600,0.499290000,0.864000,0.003000,0.534000,-9.200000,15.700000,-1.100000
44435,58379991,519176,1499.470930400,0.528414800,0.797000,-0.023000,0.586000,-13.000000,9.500000,5.100000
44436,58399218,538403,1499.481706600,0.539191000,0.822000,-0.067000,0.566000,-12.200000,7.000000,11.000000
44437,58418446,557631,1499.499785300,0.557269700,0.816000,-0.124000,0.575000,-10.900000,7.800000,10.800000
44438,58437643,576828,1499.518784100,0.576268500,0.802000,-0.139000,0.584000,-6.200000,2.600000,5.400000
44439,58456992,596177,1499.538573300,0.596057700,0.833000,-0.094000,0.560000,-0.700000,-0.600000,8.100000
44440,58476129,615314,1499.556859600,0.614344000,0.831000,-0.068000,0.557000,1.600000,-1.300000,9.000000
44441,58495387,634572,1499.578011400,0.635495800,0.836000,-0.079000,0.560000,1.600000,-3.200000,8.300000
44442,58514614,653799,1499.595897800,0.653382200,0.860000,-0.073000,0.535000,-0.900000,-0.300000,5.800000
44443,58533903,673088,1499.617222800,0.674707200,0.829000,-0.089000,0.558000,-3.300000,0.300000,6.600000
44444,58553130,692315,1499.636769300,0.694253700,0.820000,-0.088000,0.581000,-2.300000,-2.800000,4.900000
44445,58572328,711513,1499.652830100,0.710314500,0.836000,-0.098000,0.559000,-2.200000,-4.800000,6.400000
44446,58591555,730740,1499.676017200,0.733501600,0.826000,-0.090000,0.570000,-0.500000,-3.800000,6.300000
44447,58610844,750029,1499.692101600,0.749586000,0.817000,-0.107000,0.579000,-1.300000,-7.200000,6.800000
