meta_label,d
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
39267,2015781145,0,1827.299288000,0.000000000,0.827000,-0.385000,0.399000,4.500000,-6.500000,-2.900000
39268,2015800433,19288,1827.325118700,0.025830700,0.840000,-0.371000,0.383000,3.800000,-4.000000,-4.300000
39269,2015819691,38546,1827.337398500,0.038110500,0.838000,-0.396000,0.400000,3.900000,-4.200000,-9.000000
39270,2015838888,57743,1827.357075000,0.057787000,0.815000,-0.417000,0.394000,3.500000,-2.200000,-12.200000
39271,2015858208,77063,1827.376229700,0.076941700,0.803000,-0.431000,0.402000,5.400000,-3.500000,-19.600000
39272,2015877374,96229,1827.395214000,0.095926000,0.970000,-0.209000,0.393000,-8.600000,0.600000,-8.700000
39273,2015896541,115396,1827.420453600,0.121165600,0.877000,-0.299000,0.393000,-11.700000,-5.100000,0.500000
39274,2015915799,134654,1827.433317800,0.134029800,0.853000,-0.380000,0.362000,-4.100000,-10.400000,0.800000
39275,2015935057,153912,1827.452298500,0.153010500,0.857000,-0.420000,0.332000,1.800000,-3.700000,4.300000
39276,2015954284,173139,1827.477378500,0.178090500,0.852000,-0.368000,0.414000,10.100000,-13.800000,10.600000
39277,2015973482,192337,1827.491451100,0.192163100,0.884000,-0.364000,0.353000,21.100000,-19.900000,-3.700000
39278,2015992770,211625,1827.513240700,0.213952700,0.834000,-0.217000,0.383000,7.600000,-4.500000,0.300000
39279,2016011937,230792,1827.529401800,0.230113800,0.925000,-0.373000,0.376000,-16.300000,-6.500000,-11.600000
39280,2016031164,250019,1827.549392600,0.250104600,0.847000,-0.239000,0.320000,-24.900000,18.900000,-23.700000
39281,2016050392,269247,1827.571006900,0.271718900,0.818000,-0.413000,0.388000,-31.500000,25.800000,-17.600000
39282,2016069620,288475,1827.587359800,0.288071800,0.799000,-0.466000,0.362000,-24.400000,23.500000,-11.100000
39283,2016088908,307763,1827.610317500,0.311029500,0.885000,-0.421000,0.375000,-16.400000,6.900000,-6.700000
39284,2016108044,326899,1827.625398700,0.326110700,0.877000,-0.358000,0.447000,-2.000000,5.400000,-1.200000
39285,2016127241,346096,1827.645328300,0.346040300,0.861000,-0.300000,0.353000,6.600000,1.800000,-2.300000
39286,2016146530,365385,1827.668404800,0.369116800,0.871000,-0.322000,0.487000,12.500000,-4.900000,3.500000
39287,2016165849,384704,1827.683255500,0.383967500,0.913000,-0.344000,0.465000,17.200000,-38.100000,16.300000
39288,2016185016,403871,1827.703090400,0.403802400,0.773000,-0.244000,0.244000,20.800000,-41.500000,5.100000
39289,2016204182,423037,1827.722275700,0.422987700,0.894000,-0.328000,0.302000,16.700000,-22.200000,9.400000
39290,2016223501,442356,1827.741223800,0.441935800,0.851000,-0.376000,0.335000,3.200000,-26.000000,-1.200000
39291,2016242790,461645,1827.760969100,0.461681100,0.860000,-0.423000,0.300000,0.600000,9.700000,1.500000
39292,2016261957,480812,1827.779261800,0.479973800,0.877000,-0.358000,0.311000,-3.500000,21.800000,-7.900000
39293,2016281245,500100,1827.799303800,0.500015800,0.932000,-0.234000,0.445000,-22.600000,27.400000,13.500000
39294,2016300412,519267,1827.818351600,0.519063600,0.838000,-0.345000,0.492000,-22.600000,11.500000,17.300000
39295,2016319639,538494,1827.837273100,0.537985100,0.799000,-0.405000,0.410000,-14.900000,-1.700000,15.700000
39296,2016338928,557783,1827.856327300,0.557039300,0.791000,-0.506000,0.404000,-10.800000,1.300000,7.300000
39297,2016358064,576919,1827.875358700,0.576070700,0.813000,-0.464000,0.360000,1.100000,-5.500000,-5.100000
39298,2016377261,596116,1827.895322200,0.596034200,0.873000,-0.366000,0.359000,1.700000,0.000000,-2.800000
39299,2016396550,615405,1827.914298100,0.615010100,0.885000,-0.301000,0.387000,-2.800000,2.100000,-1.000000
39300,2016415869,634724,1827.933320500,0.634032500,0.863000,-0.329000,0.413000,-8.300000,0.200000,3.500000
39301,2016435036,653891,1827.952371100,0.653083100,0.815000,-0.406000,0.399000,-6.900000,-4.000000,3.800000
39302,2016454202,673057,1827.972405700,0.673117700,0.798000,-0.442000,0.394000,-0.700000,-4.400000,0.800000
39303,2016473491,692346,1827.991348300,0.692060300,0.819000,-0.429000,0.386000,4.700000,-7.200000,-3.800000
39304,2016492718,711573,1828.010701600,0.711413600,0.857000,-0.376000,0.376000,4.900000,-5.600000,-3.900000
39305,2016511946,730801,1828.029394400,0.730106400,0.864000,-0.344000,0.385000,2.000000,-3.200000,-1.800000
39306,2016531143,749998,1828.048957900,0.749669900,0.849000,-0.352000,0.397000,-0.900000,-4.300000,0.400000
39307,2016550432,769287,1828.068533600,0.769245600,0.843000,-0.374000,0.390000,-1.900000,-5.900000,1.100000
39308,2016569598,788453,1828.087451600,0.788163600,0.843000,-0.392000,0.376000,-2.100000,-5.900000,0.700000
39309,2016588826,807681,1828.110614200,0.811326200,0.838000,-0.402000,0.378000,0.200000,-5.400000,-0.400000
