meta_label,d
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
44532,1320502606,0,2761.359019000,0.000000000,0.799000,0.101000,0.593000,-1.800000,-11.500000,-6.100000
44533,1320521833,19227,2761.378080600,0.019061600,0.817000,0.092000,0.579000,-1.200000,-14.600000,-7.700000
44534,1320541061,38455,2761.400768900,0.041749900,0.907000,0.120000,0.515000,-4.700000,-10.300000,-6.700000
44535,1320560258,57652,2761.416945900,0.057926900,0.823000,0.138000,0.532000,-8.100000,-6.200000,0.800000
44536,1320579546,76940,2761.440297100,0.081278100,0.837000,0.093000,0.566000,-4.000000,-1.400000,1.900000
44537,1320598805,96199,2761.455309300,0.096290300,0.813000,0.077000,0.541000,1.400000,-0.800000,2.100000
44538,1320618063,115457,2761.473944800,0.114925800,0.833000,0.087000,0.556000,8.600000,-2.200000,-0.900000
44539,1320637229,134623,2761.494083100,0.135064100,0.875000,0.063000,0.556000,9.400000,-2.500000,10.600000
44540,1320656518,153912,2761.512929000,0.153910000,0.824000,0.122000,0.531000,10.400000,-3.300000,-3.300000
44541,1320675684,173078,2761.532228900,0.173209900,0.837000,0.185000,0.559000,0.900000,-3.100000,3.500000
44542,1320694851,192245,2761.551136100,0.192117100,0.845000,0.177000,0.563000,-23.400000,-7.700000,5.600000
44543,1320714170,211564,2761.570927200,0.211908200,0.838000,0.119000,0.473000,-25.100000,-9.900000,-16.900000
44544,1320733398,230792,2761.591497700,0.232478700,0.828000,0.100000,0.589000,-30.900000,-1.500000,-18.100000
44545,1320752595,249989,2761.609063800,0.250044800,0.802000,0.067000,0.609000,-26.100000,-3.600000,-9.400000
44546,1320771792,269186,2761.628321200,0.269302200,0.840000,-0.064000,0.611000,-10.300000,-6.200000,9.300000
44547,1320791081,288475,2761.647045200,0.288026200,0.839000,0.029000,0.537000,5.900000,-4.500000,-5.100000
44548,1320810247,307641,2761.667020500,0.308001500,0.835000,0.069000,0.525000,9.400000,-1.900000,-7.900000
44549,1320829597,326991,2761.689341200,0.330322200,0.838000,0.093000,0.539000,17.600000,-0.400000,-8.600000
44550,1320848733,346127,2761.704871100,0.345852100,0.853000,0.304000,0.623000,22.900000,-2.200000,8.800000
44551,1320867930,365324,2761.723976800,0.364957800,0.776000,0.081000,0.519000,17.300000,-5.600000,59.300000
44552,1320887219,384613,2761.749386000,0.390367000,0.882000,0.030000,0.514000,31.400000,-2.700000,23.800000
44553,1320906507,403901,2761.763061200,0.404042200,0.821000,0.072000,0.543000,14.200000,2.900000,10.900000
44554,1320925643,423037,2761.781972500,0.422953500,0.856000,0.056000,0.557000,3.900000,2.200000,-6.100000
44555,1320944871,442265,2761.804577900,0.445558900,0.852000,0.041000,0.460000,-12.100000,10.900000,-24.800000
44556,1320964160,461554,2761.819858100,0.460839100,0.896000,0.199000,0.553000,-27.700000,17.200000,-13.600000
44557,1320983357,480751,2761.840829000,0.481810000,0.817000,0.141000,0.588000,-24.400000,12.900000,0.700000
44558,1321002584,499978,2761.858970200,0.499951200,0.814000,0.086000,0.592000,-15.100000,10.200000,8.600000
44559,1321021812,519206,2761.881707200,0.522688200,0.789000,0.026000,0.607000,-13.000000,7.700000,10.300000
44560,1321041100,538494,2761.896889900,0.537870900,0.771000,-0.034000,0.643000,-8.300000,4.100000,2.500000
44561,1321060267,557661,2761.916979200,0.557960200,0.774000,-0.006000,0.640000,1.100000,-2.500000,-3.800000
44562,1321079495,576889,2761.935879000,0.576860000,0.809000,0.031000,0.599000,5.600000,-6.000000,-4.100000
44563,1321098722,596116,2761.955726000,0.596707000,0.825000,0.096000,0.563000,6.300000,-5.300000,-6.800000
44564,1321117919,615313,2761.973957200,0.614938200,0.838000,0.132000,0.555000,1.900000,-4.300000,-3.600000
44565,1321137208,634602,2761.993695600,0.634676600,0.850000,0.118000,0.548000,0.000000,-1.000000,1.400000
44566,1321156405,653799,2762.012960200,0.653941200,0.819000,0.084000,0.572000,-2.500000,1.800000,3.900000
44567,1321175663,673057,2762.032012400,0.672993400,0.821000,0.057000,0.588000,-0.800000,0.600000,2.800000
44568,1321194891,692285,2762.050871900,0.691852900,0.804000,0.062000,0.601000,1.800000,-1.500000,3.300000
44569,1321214179,711573,2762.070009400,0.710990400,0.800000,0.054000,0.593000,3.000000,-3.900000,2.500000
44570,1321233346,730740,2762.090574500,0.731555500,0.838000,0.075000,0.562000,2.800000,-2.800000,-0.600000
44571,1321252512,749906,2762.108985700,0.749966700,0.819000,0.086000,0.571000,0.500000,-1.500000,0.800000
44572,1321271801,769195,2762.128172200,0.769153200,0.811000,0.069000,0.588000,1.100000,-1.800000,1.000000
44573,1321291029,788423,2762.149600500,0.790581500,0.823000,0.069000,0.584000,1.400000,-2.800000,1.000000
44574,1321310287,807681,2762.166917300,0.807898300,0.818000,0.069000,0.577000,-0.600000,-2.400000,0.400000
