meta_label,F
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
43104,3581690420,0,3600.769245200,0.000000000,0.826000,0.101000,0.538000,-0.700000,-2.000000,-11.200000
43105,3581709617,19197,3600.784281600,0.015036400,0.811000,0.098000,0.545000,2.400000,-4.200000,-11.400000
43106,3581728784,38364,3600.804007500,0.034762300,0.802000,0.073000,0.559000,1.300000,-2.100000,-11.400000
43107,3581748072,57652,3600.822167700,0.052922500,0.781000,0.007000,0.607000,4.900000,-5.900000,-19.500000
43108,3581767300,76880,3600.842125000,0.072879800,0.737000,-0.005000,0.664000,13.300000,-22.700000,-27.500000
43109,3581786497,96077,3600.864559500,0.095314300,0.981000,0.096000,0.409000,-1.300000,-24.900000,-33.800000
43110,3581805694,115274,3600.880181800,0.110936600,0.901000,0.237000,0.474000,-19.600000,-16.100000,-13.000000
43111,3581825013,134593,3600.905691700,0.136446500,0.866000,0.082000,0.430000,4.700000,-10.200000,-14.500000
43112,3581844180,153760,3600.918239900,0.148994700,0.862000,0.106000,0.515000,14.300000,-7.400000,-18.100000
43113,3581863408,172988,3600.938203100,0.168957900,0.861000,0.458000,0.583000,19.900000,-14.000000,-5.000000
43114,3581882605,192185,3600.963525100,0.194279900,0.842000,0.271000,0.271000,14.200000,-13.200000,64.900000
43115,3581901832,211412,3600.976243900,0.206998700,0.853000,0.122000,0.379000,1.100000,10.700000,38.900000
43116,3581921121,230701,3600.995327800,0.226082600,0.860000,-0.050000,0.632000,-9.600000,-0.700000,5.900000
43117,3581940440,250020,3601.020719100,0.251473900,0.811000,-0.227000,0.510000,-14.500000,13.800000,-64.200000
43118,3581959637,269217,3601.034292100,0.265046900,0.778000,0.131000,0.621000,-19.600000,6.300000,-60.800000
43119,3581978804,288384,3601.055098100,0.285852900,0.920000,0.227000,0.555000,-4.500000,1.300000,-43.400000
43120,3581998092,307672,3601.072317900,0.303072700,0.916000,0.281000,0.495000,-2.900000,-10.300000,-15.500000
43121,3582017259,326839,3601.097629100,0.328383900,0.857000,0.183000,0.458000,-10.700000,-9.900000,-3.000000
43122,3582036548,346128,3601.111205000,0.341959800,0.863000,0.140000,0.556000,-21.000000,-13.600000,-1.700000
43123,3582055714,365294,3601.132229700,0.362984500,0.909000,0.112000,0.505000,-28.500000,-20.400000,-19.000000
43124,3582074942,384522,3601.149171000,0.379925800,0.825000,0.246000,0.315000,-26.100000,-13.000000,-15.500000
43125,3582094200,403780,3601.168199500,0.398954300,0.874000,0.420000,0.328000,-17.300000,-2.700000,1.600000
43126,3582113427,423007,3601.190396300,0.421151100,0.861000,-0.013000,0.597000,-0.800000,8.200000,18.700000
43127,3582132655,442235,3601.210871100,0.441625900,0.862000,0.113000,0.575000,18.100000,9.200000,42.700000
43128,3582151852,461432,3601.226178300,0.456933100,0.941000,0.010000,0.470000,4.000000,17.400000,35.100000
43129,3582171141,480721,3601.248941100,0.479695900,0.700000,-0.054000,0.755000,20.800000,8.900000,25.700000
43130,3582190307,499887,3601.264226300,0.494981100,0.595000,-0.188000,0.604000,52.700000,-27.800000,12.300000
43131,3582209504,519084,3601.284284700,0.515039500,0.876000,0.418000,0.450000,17.600000,-7.600000,-20.500000
43132,3582228793,538373,3601.307027600,0.537782400,0.878000,0.293000,0.376000,-13.400000,-16.600000,0.700000
43133,3582248082,557662,3601.322258500,0.553013300,0.892000,0.050000,0.508000,-23.200000,-14.700000,2.800000
43134,3582267279,576859,3601.341056700,0.571811500,0.922000,0.041000,0.425000,-21.100000,-8.100000,-3.200000
43135,3582286445,596025,3601.362175500,0.592930300,0.857000,0.255000,0.320000,-4.200000,-8.900000,-15.200000
43136,3582305734,615314,3601.380069200,0.610824000,0.854000,0.216000,0.526000,-2.000000,6.200000,8.900000
43137,3582324962,634542,3601.398975200,0.629730000,1.077000,0.246000,0.323000,-18.200000,12.200000,28.500000
43138,3582344220,653800,3601.419239200,0.649994000,0.969000,0.208000,0.367000,-55.100000,23.200000,37.400000
43139,3582363447,673027,3601.438044300,0.668799100,0.795000,-0.059000,0.532000,-50.900000,40.400000,32.500000
43140,3582382675,692255,3601.457559300,0.688314100,0.694000,-0.159000,0.740000,-33.000000,39.900000,24.600000
43141,3582401841,711421,3601.476110200,0.706865000,0.642000,-0.224000,0.799000,-7.100000,-0.500000,11.800000
