meta_label,F
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
22314,147188683,0,4461.077763100,0.000000000,0.876000,0.055000,0.502000,6.000000,-1.900000,-2.500000
22315,147207850,19167,4461.096751200,0.018988100,0.879000,0.059000,0.501000,1.900000,-0.800000,-3.400000
22316,147227016,38333,4461.115808100,0.038045000,0.876000,0.036000,0.497000,1.800000,0.400000,-4.600000
22317,147246335,57652,4461.134689100,0.056926000,0.857000,0.054000,0.516000,1.500000,1.000000,-5.900000
22318,147265502,76819,4461.153706900,0.075943800,0.842000,0.094000,0.526000,0.600000,0.700000,-4.800000
22319,147284852,96169,4461.176387700,0.098624600,0.832000,0.058000,0.543000,0.000000,-1.200000,-4.200000
22320,147303988,115305,4461.192742700,0.114979600,0.797000,0.017000,0.576000,0.200000,-6.300000,-9.200000
22321,147323246,134563,4461.212276000,0.134512900,0.761000,-0.040000,0.620000,1.800000,-16.800000,-21.400000
22322,147342443,153760,4461.230673100,0.152910000,0.773000,-0.071000,0.658000,11.900000,-29.900000,-33.000000
22323,147361762,173079,4461.250734700,0.172971600,1.109000,0.233000,0.379000,-7.000000,-12.600000,-32.300000
22324,147380990,192307,4461.273256400,0.195493300,0.878000,0.167000,0.318000,-6.200000,-11.500000,-10.700000
22325,147400187,211504,4461.288748700,0.210985600,0.872000,0.185000,0.459000,5.800000,-3.900000,-1.600000
22326,147419414,230731,4461.307659800,0.229896700,0.929000,0.272000,0.593000,-0.200000,-18.300000,56.200000
22327,147438642,249959,4461.328451000,0.250687900,0.814000,-0.130000,0.362000,15.300000,3.700000,6.000000
22328,147457839,269156,4461.346699000,0.268935900,0.875000,0.351000,0.564000,-2.800000,-11.600000,51.700000
22329,147477036,288353,4461.365765600,0.288002500,0.866000,0.065000,0.442000,3.300000,11.300000,2.100000
22330,147496325,307642,4461.385028300,0.307265200,0.877000,-0.086000,0.496000,-11.200000,8.600000,-17.300000
22331,147515522,326839,4461.403742200,0.325979100,0.784000,0.009000,0.581000,-21.100000,18.700000,-46.100000
22332,147534749,346066,4461.423787800,0.346024700,0.874000,0.023000,0.691000,-8.000000,-6.200000,-39.100000
22333,147553977,365294,4461.443736400,0.365973300,0.841000,0.098000,0.549000,-11.400000,-12.500000,-24.900000
22334,147573174,384491,4461.462052800,0.384289700,0.944000,0.174000,0.507000,-3.200000,-16.300000,-26.900000
22335,147592463,403780,4461.480785000,0.403021900,0.862000,0.287000,0.352000,-24.200000,-18.100000,-10.200000
22336,147611629,422946,4461.499638800,0.421875700,0.936000,0.040000,0.421000,-38.100000,-13.200000,-5.400000
22337,147630948,442265,4461.523481500,0.445718400,0.857000,0.372000,0.247000,-26.300000,-14.900000,-36.700000
22338,147650115,461432,4461.538755600,0.460992500,0.908000,0.158000,0.476000,-15.400000,1.700000,7.100000
22339,147669434,480751,4461.562792400,0.485029300,0.819000,0.032000,0.588000,13.000000,5.100000,29.000000
22340,147688723,500040,4461.576751600,0.498988500,0.882000,0.083000,0.566000,14.700000,13.000000,57.100000
22341,147707889,519206,4461.596687600,0.518924500,0.939000,-0.034000,0.536000,1.400000,27.400000,33.200000
22342,147727117,538434,4461.623761900,0.545998800,0.711000,-0.130000,0.744000,12.700000,8.900000,22.800000
22343,147746345,557662,4461.634748900,0.556985800,0.620000,-0.280000,0.844000,42.600000,-30.400000,-0.400000
22344,147765511,576828,4461.654027700,0.576264600,1.080000,0.220000,0.262000,24.400000,-7.200000,-38.000000
22345,147784739,596056,4461.672726100,0.594963000,0.910000,0.354000,0.384000,-12.200000,-23.200000,-18.900000
22346,147803966,615283,4461.692853700,0.615090600,0.904000,0.241000,0.339000,-29.200000,-12.200000,4.400000
22347,147823163,634480,4461.711952900,0.634189800,0.967000,0.021000,0.480000,-39.500000,-16.600000,3.500000
22348,147842513,653830,4461.731522100,0.653759000,0.925000,-0.067000,0.313000,-12.900000,-9.900000,-5.400000
22349,147861802,673119,4461.749823400,0.672060300,0.779000,0.273000,0.314000,1.400000,4.300000,-14.900000
22350,147880968,692285,4461.769761500,0.691998400,0.909000,0.155000,0.617000,17.100000,5.100000,9.500000
22351,147900135,711452,4461.788714000,0.710950900,1.055000,0.189000,0.325000,-22.700000,26.600000,32.500000
22352,147919424,730741,4461.807971500,0.730208400,0.897000,0.116000,0.453000,-39.900000,47.700000,36.200000
22353,147938651,749968,4461.826600100,0.748837000,0.800000,0.031000,0.593000,-25.700000,31.900000,36.300000
22354,147957848,769165,4461.846753700,0.768990600,0.707000,-0.100000,0.678000,-12.900000,14.500000,28.500000
22355,147977076,788393,4461.866784500,0.789021400,0.718000,-0.125000,0.676000,1.000000,-1.100000,15.400000
22356,147996364,807681,4461.884735600,0.806972500,0.787000,-0.124000,0.617000,12.600000,-11.900000,5.000000
22357,148015531,826848,4461.904849200,0.827086100,0.823000,-0.065000,0.580000,20.300000,-16.400000,-3.400000
22358,148034698,846015,4461.922786200,0.845023100,0.861000,0.024000,0.526000,22.400000,-16.200000,-5.000000
22359,148054017,865334,4461.942777900,0.865014800,0.878000,0.068000,0.494000,20.500000,-12.600000,0.900000
22360,148073214,884531,4461.962270900,0.884507800,0.924000,0.084000,0.453000,17.900000,-9.300000,1.900000
22361,148092502,903819,4461.982419500,0.904656400,0.887000,0.096000,0.476000,10.500000,-4.200000,5.500000
22362,148111730,923047,4461.999651700,0.921888600,0.871000,0.005000,0.493000,4.800000,-3.800000,7.100000
22363,148130988,942305,4462.020260500,0.942497400,0.855000,0.009000,0.520000,3.300000,-2.600000,1.600000
22364,148150155,961472,4462.038686700,0.960923600,0.824000,-0.001000,0.561000,3.100000,-3.600000,-2.100000
22365,148169443,980760,4462.057736100,0.979973000,0.839000,-0.028000,0.558000,5.200000,-10.300000,-5.200000
